time,rss,small,huge,cached,total
0.00,805900288,4029050,7852,116531200,17179336704
0.68,850235392,4026960,7849,116539392,17179336704
2.36,1723170816,3854526,7522,156057600,17179336704
4.09,2374557696,3682385,7183,158965760,17179336704
5.81,2429083648,3718530,7079,161628160,17179336704
7.53,2439589888,3686526,7079,175558656,17179336704
9.27,2534129664,3604535,7031,175960064,17179336704
11.00,2525753344,3727671,7041,177549312,17179336704
12.73,2525814784,3654727,7037,178569216,17179336704
14.50,2565648384,3631343,7020,179232768,17179336704
16.40,2586624000,3633698,7008,179552256,17179336704
18.12,2699882496,3627294,6975,182083584,17179336704
19.83,2632904704,3670400,6983,210497536,17179336704
21.55,2635083776,3653895,6985,212766720,17179336704
23.28,2729459712,3683410,6939,215703552,17179336704
24.99,3205603328,3462940,6756,217051136,17179336704
26.71,3333566464,3478328,6647,218038272,17179336704
28.42,3757236224,3331857,6500,223420416,17179336704
30.12,4531118080,3146804,6139,224550912,17179336704
31.85,4535312384,3208449,6076,225734656,17179336704
33.56,4575158272,3159648,6076,226332672,17179336704
35.30,4761821184,3162008,5970,226992128,17179336704
37.02,4778627072,3124973,5957,228868096,17179336704
38.73,4797538304,3253198,5951,230023168,17179336704
40.48,4797538304,3191537,5947,230772736,17179336704
42.19,4803850240,3223889,5949,231280640,17179336704
44.83,4805951488,3281671,5955,230871040,17179336704
46.60,4820717568,3270431,5938,230100992,17179336704
48.31,4818628608,3245483,5945,230846464,17179336704
50.03,4814434304,3299642,5944,231579648,17179336704
51.77,4814434304,3281892,5948,232001536,17179336704
53.49,4801941504,3431755,5958,236969984,17179336704
55.21,4801941504,3423301,5950,238071808,17179336704
56.93,4825010176,3365890,5941,239083520,17179336704
58.65,4831367168,3380280,5938,239960064,17179336704
60.37,4831399936,3453636,5945,241020928,17179336704
62.08,4822941696,3456796,5939,242106368,17179336704
63.92,4808118272,3504591,5951,242929664,17179336704
65.63,4822773760,3382038,5937,243462144,17179336704
67.36,4833345536,3394219,5936,246624256,17179336704
69.08,4843831296,3394967,5931,247771136,17179336704
70.82,4780916736,3612147,5971,257355776,17179336704
72.52,4793339904,3572857,5955,260808704,17179336704
74.29,4789145600,3364069,5949,260952064,17179336704
76.00,4839133184,3442440,5941,264613888,17179336704
77.80,4860104704,3477991,5926,265273344,17179336704
79.73,4910383104,3417369,5892,265916416,17179336704
81.69,4931334144,3188146,5883,266645504,17179336704
83.44,4998262784,3059896,5859,267087872,17179336704
85.17,5205880832,2945344,5746,267096064,17179336704
86.88,5308641280,3142058,5715,267771904,17179336704
88.61,5338001408,3059082,5697,268713984,17179336704
90.33,5713391616,2837118,5536,270147584,17179336704
92.04,5730168832,3041409,5503,270983168,17179336704
93.77,5732265984,3100475,5538,271065088,17179336704
95.48,5684031488,3011598,5527,271814656,17179336704
97.20,5696569344,3145155,5545,272162816,17179336704
98.94,5574934528,3272560,5581,273805312,17179336704
100.66,5568655360,3248546,5581,274284544,17179336704
102.38,5583335424,3457442,5583,273887232,17179336704
104.10,5604306944,3288767,5577,274513920,17179336704
105.81,5604306944,3287087,5590,274935808,17179336704
107.54,5581115392,3389476,5584,275308544,17179336704
109.28,5591601152,3233717,5569,277659648,17179336704
110.99,5612580864,3267293,5575,278716416,17179336704
112.73,5652426752,3196970,5540,279957504,17179336704
114.45,5646135296,3029631,5543,280268800,17179336704
116.18,5698564096,2886376,5528,280739840,17179336704
117.90,5723729920,2894216,5516,281489408,17179336704
119.62,5694382080,3038675,5519,280961024,17179336704
121.33,5725839360,3066726,5503,282537984,17179336704
123.06,5736374272,3094539,5517,283242496,17179336704
124.78,5788803072,3097313,5475,284024832,17179336704
126.51,5790900224,2917331,5483,284504064,17179336704
128.21,5734277120,3045823,5511,284385280,17179336704
129.94,5725925376,3111706,5513,283869184,17179336704
131.67,5725925376,2897260,5510,284278784,17179336704
133.45,5723828224,3000703,5516,284418048,17179336704
135.17,5709156352,3042419,5514,284557312,17179336704
136.91,5711253504,3010445,5516,284880896,17179336704
138.64,5744807936,3284861,5505,285519872,17179336704
140.36,5746946048,2989605,5495,285712384,17179336704
142.09,5755334656,2845039,5497,286400512,17179336704
143.81,5895843840,2935638,5432,287211520,17179336704
145.54,5879066624,2973202,5437,287297536,17179336704
147.25,5885358080,2909399,5427,287870976,17179336704
149.41,5944135680,2811942,5417,288272384,17179336704
151.14,6118203392,3052695,5328,288821248,17179336704
152.86,6111965184,3012178,5321,289181696,17179336704
154.59,6114062336,3003797,5332,289308672,17179336704
156.30,6099382272,3331679,5342,289353728,17179336704
158.02,6101479424,3281601,5333,289853440,17179336704
159.74,6112018432,3019864,5320,290263040,17179336704
161.69,6118309888,2980137,5328,289886208,17179336704
163.42,6095241216,2838337,5331,289996800,17179336704
165.14,6101532672,2877188,5341,290709504,17179336704
166.88,6103629824,3081829,5325,291328000,17179336704
168.60,6103629824,2863919,5334,291856384,17179336704
170.33,6080708608,2912719,5332,292212736,17179336704
172.05,6095388672,3174425,5350,292323328,17179336704
173.78,6093291520,3003503,5334,292589568,17179336704
175.48,6087000064,2973410,5335,293249024,17179336704
177.20,6097485824,3029157,5339,293806080,17179336704
178.93,6080864256,3098233,5347,294158336,17179336704
180.66,6080462848,2985060,5338,294383616,17179336704
182.38,6109839360,3069764,5330,294809600,17179336704
184.08,6109839360,2781428,5331,295321600,17179336704
185.81,6103547904,2991288,5330,295186432,17179336704
187.52,6103588864,2810298,5326,295698432,17179336704
189.23,6279753728,2928169,5262,296370176,17179336704
190.96,6304894976,2821148,5239,297418752,17179336704
192.68,6304894976,2971884,5246,297922560,17179336704
194.39,6306992128,2980095,5245,298065920,17179336704
196.11,6306992128,2890659,5233,298184704,17179336704
197.84,6281826304,3073702,5255,298213376,17179336704
199.57,6294425600,2981960,5252,298598400,17179336704
201.27,6278356992,3105983,5255,299069440,17179336704
203.00,6284648448,3112851,5260,299294720,17179336704
204.89,6288842752,3155177,5253,299511808,17179336704
206.62,6276259840,2911691,5249,299909120,17179336704
208.38,6282551296,2923391,5258,300257280,17179336704
210.10,6282551296,3066041,5256,300879872,17179336704
211.82,6286745600,3004613,5261,300916736,17179336704
213.88,6265774080,3240575,5274,301060096,17179336704
215.60,6240608256,3028676,5261,301527040,17179336704
217.32,6282444800,3168698,5250,302432256,17179336704
219.04,6288736256,3185250,5242,302309376,17179336704
220.75,6334873600,3210188,5232,302317568,17179336704
222.47,6370525184,2972047,5206,302346240,17179336704
224.20,6366273536,2938821,5262,302530560,17179336704
225.92,6313799680,3109294,5242,302919680,17179336704
227.65,6313779200,2835901,5237,303472640,17179336704
229.37,6307414016,2827387,5245,303595520,17179336704
231.09,6311501824,3056272,5243,304640000,17179336704
232.82,6291759104,3108567,5243,304832512,17179336704
234.53,6293856256,3088942,5255,304979968,17179336704
236.26,6285467648,3021288,5246,305352704,17179336704
237.98,6287564800,3078764,5244,305700864,17179336704
239.70,6293856256,2913944,5241,307040256,17179336704
241.41,6306439168,3002894,5248,308310016,17179336704
243.14,6314827776,3166596,5258,309059584,17179336704
244.85,6312730624,3144539,5233,309809152,17179336704
246.61,6316924928,2903004,5232,309743616,17179336704
248.32,6310359040,2795363,5238,310267904,17179336704
250.15,6295678976,2773482,5241,310341632,17179336704
251.84,6905950208,2574507,5021,310685696,17179336704
253.57,7384100864,2440232,4759,311287808,17179336704
255.29,7392497664,2651512,4720,312987648,17179336704
257.01,7390400512,2735122,4719,314929152,17179336704
258.74,7396704256,2592850,4715,315539456,17179336704
260.49,7402995712,2851517,4721,315023360,17179336704
262.21,7407190016,2704766,4715,315146240,17179336704
264.17,7392514048,2605820,4718,315572224,17179336704
265.89,7392514048,2608976,4726,317075456,17179336704
267.61,7382032384,2616801,4719,317874176,17179336704
269.31,7396724736,2600257,4727,319303680,17179336704
271.02,7392530432,2597388,4723,318783488,17179336704
272.74,7405113344,2497751,4713,319811584,17179336704
274.46,7396724736,2471563,4715,320212992,17179336704
276.17,7358976000,2519904,4734,320483328,17179336704
