time,rss,small,huge,cached,total
0.00,827121664,4030188,7842,117608448,17179336704
0.68,867328000,4027077,7837,117608448,17179336704
2.35,1747542016,3846896,7506,157691904,17179336704
4.13,2409705472,3680629,7180,160497664,17179336704
5.86,2420334592,3723960,7085,163053568,17179336704
7.69,2441560064,3729435,7086,177516544,17179336704
9.42,2533883904,3653850,7063,177242112,17179336704
11.28,2536075264,3756429,7048,178561024,17179336704
13.02,2536091648,3677911,7043,179404800,17179336704
14.73,2527694848,3671634,7038,179810304,17179336704
16.44,2533818368,3655114,7033,180736000,17179336704
18.26,2756050944,3613656,6926,181895168,17179336704
19.98,2757914624,3665646,6941,212209664,17179336704
21.71,2738917376,3664479,6934,214491136,17179336704
24.53,2841579520,3663325,6887,216592384,17179336704
26.25,3059699712,3521071,6869,218222592,17179336704
27.96,3420409856,3396074,6625,219291648,17179336704
29.68,3560927232,3421022,6589,224575488,17179336704
31.39,4146044928,3251496,6343,225509376,17179336704
33.13,4450136064,3164744,6174,226275328,17179336704
35.06,4601135104,3257695,6052,227270656,17179336704
36.80,4754235392,3088491,6024,227495936,17179336704
38.53,4758671360,3115558,5969,228868096,17179336704
40.27,4764962816,3128076,5965,230801408,17179336704
41.99,4773515264,3133373,5962,231653376,17179336704
43.74,4788232192,3136588,5953,232120320,17179336704
45.51,4792426496,3212131,5960,232476672,17179336704
47.47,4786135040,3138902,5955,232472576,17179336704
49.21,4786135040,3303796,5962,232022016,17179336704
50.93,4786139136,3447918,5963,232620032,17179336704
52.65,4779847680,3259927,5958,233086976,17179336704
54.36,4800880640,3275866,5952,233308160,17179336704
56.08,4792516608,3394663,5952,239194112,17179336704
57.81,4798763008,3379624,5949,239570944,17179336704
59.54,4802789376,3334228,5946,240668672,17179336704
61.25,4800667648,3323938,5951,241991680,17179336704
62.97,4796473344,3422729,5949,242937856,17179336704
64.70,4853202944,3448624,5925,243585024,17179336704
66.43,4857397248,3490850,5944,244371456,17179336704
68.54,4821745664,3404208,5945,244789248,17179336704
70.27,4811259904,3398394,5943,248033280,17179336704
72.01,4811051008,3535318,5956,254554112,17179336704
73.76,4793839616,3666503,5979,259780608,17179336704
75.47,4800045056,3492450,5950,261922816,17179336704
77.20,4831518720,3469561,5938,263647232,17179336704
78.93,4858781696,3557817,5928,266711040,17179336704
80.65,4886081536,3421526,5916,266985472,17179336704
82.39,4896571392,3273294,5900,267448320,17179336704
84.53,4921741312,3093079,5888,267919360,17179336704
86.24,5081133056,3010747,5874,268603392,17179336704
87.97,5165031424,3169560,5789,268390400,17179336704
89.67,5223751680,3050031,5744,269180928,17179336704
91.39,5517352960,2880469,5619,270839808,17179336704
93.12,5515272192,3221071,5605,271618048,17179336704
94.83,5534228480,3119882,5612,271233024,17179336704
96.56,5506985984,2956264,5612,272429056,17179336704
98.28,5513277440,3085509,5614,273453056,17179336704
99.99,5454577664,3148998,5637,274100224,17179336704
101.71,5372788736,3259798,5675,274386944,17179336704
103.42,5402148864,3346358,5670,274866176,17179336704
105.15,5433606144,3226639,5649,275828736,17179336704
106.86,5425319936,3195334,5652,275881984,17179336704
108.59,5404348416,3295477,5669,276398080,17179336704
110.33,5391765504,3239831,5666,277323776,17179336704
112.05,5414842368,3164428,5658,279597056,17179336704
113.78,5450502144,3227921,5648,280723456,17179336704
115.50,5456793600,3144268,5634,281497600,17179336704
117.22,5456879616,2930831,5634,282124288,17179336704
119.31,5475758080,2942136,5625,282390528,17179336704
121.04,5601587200,2985033,5584,282042368,17179336704
122.78,5570068480,2927228,5580,282656768,17179336704
124.51,5595234304,3047709,5573,284119040,17179336704
126.24,5612011520,3107485,5577,284790784,17179336704
127.96,5605720064,3209717,5585,284733440,17179336704
129.69,5576359936,3057364,5585,284962816,17179336704
131.42,5582651392,2971570,5578,285536256,17179336704
133.15,5584748544,2988400,5576,285163520,17179336704
134.87,5586845696,3058521,5594,285298688,17179336704
136.57,5580554240,3099412,5584,285495296,17179336704
138.30,5591040000,3021619,5590,285827072,17179336704
140.02,5603622912,3301786,5570,286625792,17179336704
