time,rss,small,huge,cached,total
0.00,932626432,4029779,7855,117149696,17179336704
0.68,934584320,4029094,7855,117223424,17179336704
2.36,1785372672,3847667,7500,156561408,17179336704
4.09,2355023872,3674686,7168,159416320,17179336704
6.25,2367774720,3742310,7121,161419264,17179336704
7.99,2372055040,3662998,7118,172003328,17179336704
9.71,2552496128,3615050,7052,176615424,17179336704
11.52,2582040576,3713547,7020,177889280,17179336704
13.37,2611032064,3673827,7004,178204672,17179336704
15.09,2615234560,3702410,7009,179134464,17179336704
16.80,2615300096,3678347,7007,180092928,17179336704
18.50,2778935296,3651557,6934,182124544,17179336704
20.24,2783043584,3738683,6940,209690624,17179336704
21.96,2783301632,3677278,6933,213254144,17179336704
23.68,2798002176,3651855,6912,216121344,17179336704
25.41,2881843200,3551077,6880,216866816,17179336704
27.14,3416702976,3456325,6640,217948160,17179336704
29.16,3722887168,3332900,6502,218566656,17179336704
31.29,3917922304,3342695,6383,224149504,17179336704
33.31,4236697600,3248324,6232,224731136,17179336704
35.09,4540784640,3162396,6119,225873920,17179336704
36.80,4605804544,3150102,6050,227102720,17179336704
38.53,4685496320,3093821,6025,227168256,17179336704
40.25,4695982080,3183803,6007,229027840,17179336704
41.96,4733730816,3241455,5988,230572032,17179336704
43.67,4748410880,3189841,5981,231337984,17179336704
45.40,4861657088,3194107,5937,231522304,17179336704
47.14,4861657088,3337708,5931,231718912,17179336704
48.87,4863754240,3297185,5932,231403520,17179336704
50.61,4863758336,3320390,5940,232263680,17179336704
52.34,4865859584,3310726,5937,231923712,17179336704
54.22,4865859584,3307886,5937,232501248,17179336704
55.94,4865712128,3414393,5931,238133248,17179336704
57.67,4865712128,3376579,5926,238964736,17179336704
59.60,4874100736,3362476,5933,239652864,17179336704
61.47,4874096640,3451629,5933,240066560,17179336704
63.49,4874014720,3461451,5929,241606656,17179336704
65.67,4884586496,3515694,5924,242495488,17179336704
67.39,4899278848,3395894,5910,243286016,17179336704
69.11,4899278848,3432788,5924,243683328,17179336704
70.82,4899082240,3434636,5927,247279616,17179336704
72.54,4899082240,3383836,5922,248135680,17179336704
74.25,4899201024,3514335,5930,254054400,17179336704
75.97,4899201024,3532950,5943,258887680,17179336704
77.68,4899201024,3392652,5921,262926336,17179336704
79.40,4928552960,3445651,5894,265678848,17179336704
81.12,4934844416,3475986,5918,267517952,17179336704
82.84,4960010240,3317259,5884,268062720,17179336704
84.54,4966301696,3107775,5878,268914688,17179336704
86.29,4976787456,3090511,5885,268976128,17179336704
88.00,5014536192,3136315,5870,269180928,17179336704
89.74,5087936512,2993885,5826,270008320,17179336704
91.46,5324914688,2960828,5776,270733312,17179336704
93.17,5612244992,3110663,5585,271720448,17179336704
94.89,5633216512,3068501,5569,272752640,17179336704
96.62,5637410816,3093207,5582,273170432,17179336704
98.34,5637410816,3099194,5583,273649664,17179336704
100.06,5641605120,3299579,5609,274284544,17179336704
101.78,5641605120,3263017,5645,275177472,17179336704
103.50,5643665408,3207800,5623,275996672,17179336704
105.23,5643554816,3383736,5630,275922944,17179336704
106.95,5643554816,3249674,5613,276168704,17179336704
108.68,5643554816,3240483,5613,276971520,17179336704
110.41,5643341824,3251056,5627,277426176,17179336704
112.13,5643358208,3087833,5610,279617536,17179336704
113.90,5643358208,3320562,5597,281567232,17179336704
115.63,5643407360,3119245,5598,282091520,17179336704
117.36,5643522048,2893378,5589,282415104,17179336704
119.16,5643522048,2947875,5581,282542080,17179336704
120.87,5681270784,2889898,5583,283222016,17179336704
122.59,5773545472,2979482,5521,283037696,17179336704
124.61,5775642624,3006745,5518,284463104,17179336704
126.34,5775642624,3239095,5516,285073408,17179336704
128.38,5777739776,3079502,5493,285372416,17179336704
130.11,5777739776,2953223,5495,286142464,17179336704
131.82,5777739776,3081699,5507,286089216,17179336704
133.69,5777739776,2948186,5503,286183424,17179336704
135.44,5777739776,2993839,5516,285884416,17179336704
137.15,5779783680,2942056,5494,285974528,17179336704
138.94,5779705856,3018404,5514,286478336,17179336704
140.67,5779611648,3107300,5502,286965760,17179336704
142.39,5779554304,3056164,5491,287129600,17179336704
144.11,5779664896,2957278,5492,287604736,17179336704
145.84,5836288000,2826100,5463,288538624,17179336704
147.57,5853065216,2994128,5460,288657408,17179336704
149.29,5855244288,2919947,5457,289120256,17179336704
151.01,5855244288,2869301,5457,289689600,17179336704
152.74,6064959488,2963988,5372,290615296,17179336704
154.46,6067060736,3046916,5367,290705408,17179336704
156.19,6067060736,3161067,5385,290013184,17179336704
157.91,6069157888,3301437,5375,290783232,17179336704
159.64,6069157888,3079721,5363,291430400,17179336704
161.35,6069166080,3083044,5364,291536896,17179336704
163.07,6069166080,3068349,5377,291401728,17179336704
164.80,6069243904,2987440,5379,291708928,17179336704
166.53,6069243904,2854505,5381,291962880,17179336704
168.24,6069243904,2941927,5364,292851712,17179336704
169.96,6069243904,3080984,5371,293634048,17179336704
171.72,6069243904,3050625,5373,294117376,17179336704
173.45,6069243904,3033938,5384,293916672,17179336704
175.15,6069243904,3145781,5381,294023168,17179336704
176.87,6069243904,3064029,5371,294617088,17179336704
178.60,6069243904,2898205,5363,295411712,17179336704
180.31,6069243904,3012891,5375,295268352,17179336704
182.04,6069243904,3056713,5363,296157184,17179336704
183.77,6069243904,3042629,5365,296386560,17179336704
185.50,6069243904,2912071,5378,296771584,17179336704
187.23,6069243904,2916681,5384,296943616,17179336704
188.97,6069243904,2872916,5361,298029056,17179336704
190.68,6069243904,2933650,5370,298496000,17179336704
192.38,6069280768,2936388,5385,298684416,17179336704
194.11,6069280768,3083542,5378,299352064,17179336704
195.82,6069280768,2856739,5359,300122112,17179336704
197.55,6069280768,3070312,5371,299618304,17179336704
199.27,6069280768,2988647,5362,299798528,17179336704
200.99,6069280768,3040118,5384,300118016,17179336704
202.71,6069280768,2956777,5376,300707840,17179336704
204.43,6069338112,3098357,5374,300924928,17179336704
206.15,6069338112,3049466,5381,301105152,17179336704
207.87,6069338112,3102658,5393,301813760,17179336704
209.59,6069338112,3012851,5356,302551040,17179336704
211.31,6069338112,2991157,5388,302428160,17179336704
213.09,6069338112,3170120,5375,302292992,17179336704
214.81,6069338112,3153071,5378,302845952,17179336704
216.53,6069338112,3082192,5382,303198208,17179336704
218.25,6069338112,3066198,5374,304238592,17179336704
219.97,6075629568,3234275,5373,304119808,17179336704
221.67,6075629568,3103487,5373,303996928,17179336704
223.39,6075629568,2947265,5365,304050176,17179336704
225.11,6077755392,2970427,5376,304529408,17179336704
226.84,6077755392,2962443,5362,304635904,17179336704
228.59,6077755392,2900603,5354,305213440,17179336704
230.32,6077755392,3026263,5371,305754112,17179336704
232.05,6077755392,3081602,5375,306425856,17179336704
233.78,6077755392,3062100,5379,306565120,17179336704
235.49,6077755392,3196434,5388,307077120,17179336704
237.21,6077775872,3147179,5373,307105792,17179336704
238.93,6077775872,2923543,5352,307990528,17179336704
240.64,6077779968,3014615,5366,310050816,17179336704
242.35,6077784064,3116201,5385,310468608,17179336704
244.05,6077784064,3017070,5352,311365632,17179336704
245.77,6077784064,2985566,5360,311660544,17179336704
247.48,6077788160,2858717,5360,311877632,17179336704
249.41,6304280576,2733193,5332,312094720,17179336704
251.15,6746779648,2620255,5111,312016896,17179336704
252.88,7040380928,2544374,4888,313217024,17179336704
254.61,7308816384,2647733,4763,314904576,17179336704
256.34,7310913536,2571910,4760,315904000,17179336704
258.26,7313010688,2734952,4768,316473344,17179336704
259.97,7331885056,2753513,4758,316923904,17179336704
261.96,7331885056,2641853,4757,317460480,17179336704
263.68,7331885056,2674593,4755,318316544,17179336704
265.40,7331885056,2622452,4751,319111168,17179336704
267.11,7336013824,2602565,4755,320630784,17179336704
268.83,7338110976,2782759,4762,321892352,17179336704
270.55,7352791040,2643979,4743,321441792,17179336704
272.27,7352791040,2679353,4771,320950272,17179336704
273.99,7352791040,2648628,4769,321851392,17179336704
275.71,7352791040,2535911,4761,323153920,17179336704
277.43,7413608448,2457130,4714,324079616,17179336704
279.33,7891734528,2391964,4493,324734976,17179336704
281.05,7975579648,2302127,4475,325906432,17179336704
282.77,8164282368,2384180,4361,327327744,17179336704
284.68,8172670976,2780615,4363,328245248,17179336704
286.40,8193642496,2509285,4338,328736768,17179336704
288.12,8193642496,2329176,4339,330125312,17179336704
289.83,8195739648,2387001,4346,329908224,17179336704
291.55,8199933952,2381266,4344,330809344,17179336704
293.28,8208322560,2527003,4336,332296192,17179336704
295.01,8210423808,2786972,4356,331968512,17179336704
296.73,8210440192,2907004,4359,328962048,17179336704
298.45,8210440192,2834566,4360,329420800,17179336704
300.17,8210440192,2682059,4360,330326016,17179336704
301.88,8210440192,2913950,4369,329351168,17179336704
303.61,8210440192,2691916,4362,329990144,17179336704
305.40,8210599936,2674441,4353,330997760,17179336704
307.11,8210599936,2661702,4352,331849728,17179336704
308.83,8210599936,2802277,4366,331804672,17179336704
310.55,8210599936,2859211,4364,331677696,17179336704
312.29,8210599936,2799182,4368,332464128,17179336704
314.00,8210604032,2772110,4379,333230080,17179336704
315.72,8210604032,3010199,4410,334299136,17179336704
317.44,8210604032,3039287,4391,335028224,17179336704
319.16,8210604032,2950867,4393,336142336,17179336704
320.89,8210604032,3018505,4385,336404480,17179336704
322.60,8210604032,3166094,4391,336515072,17179336704
324.32,8210702336,3031075,4395,337158144,17179336704
326.04,8210702336,2879652,4389,338026496,17179336704
327.75,8210550784,3107501,4376,337801216,17179336704
329.48,8210518016,2908491,4371,338137088,17179336704
331.20,8210411520,3045236,4370,338714624,17179336704
332.92,8210411520,2877089,4361,339632128,17179336704
334.64,8210411520,2993783,4380,340049920,17179336704
336.36,8210411520,3078214,4367,340635648,17179336704
338.09,8210411520,3064038,4375,340676608,17179336704
339.81,8210411520,2931304,4367,341893120,17179336704
341.51,8210411520,2872929,4367,342720512,17179336704
343.24,8210411520,3005548,4365,344104960,17179336704
344.96,8210378752,3142984,4359,343498752,17179336704
346.67,8210288640,3042921,4352,343953408,17179336704
348.40,8210288640,3073869,4354,342736896,17179336704
350.11,8210288640,2885092,4369,342802432,17179336704
351.84,8210288640,2701704,4370,342851584,17179336704
353.56,8210272256,2620581,4368,343269376,17179336704
355.28,8210182144,2745678,4372,344231936,17179336704
357.00,8210145280,3004694,4368,344227840,17179336704
358.73,8210104320,2904897,4367,345096192,17179336704
360.45,8210104320,3288725,4382,345382912,17179336704
362.18,8210104320,3171155,4364,345153536,17179336704
363.90,8209924096,3148368,4366,345976832,17179336704
365.62,8209895424,3165695,4371,346238976,17179336704
367.35,8209883136,2974328,4372,346525696,17179336704
369.08,8209883136,3030914,4373,347176960,17179336704
370.81,8209883136,3166966,4393,348020736,17179336704
372.56,8209883136,3042439,4353,348557312,17179336704
374.28,8209883136,3067232,4360,348835840,17179336704
376.01,8209965056,3035455,4375,349151232,17179336704
377.72,8209965056,2960285,4361,349634560,17179336704
379.44,8209965056,2882363,4374,350117888,17179336704
381.18,8209965056,2758059,4364,350953472,17179336704
382.90,8209965056,2833662,4365,351952896,17179336704
384.63,8209965056,2734633,4351,353464320,17179336704
386.35,8209965056,2897099,4367,353763328,17179336704
388.08,8209965056,3130537,4371,353640448,17179336704
389.80,8210169856,3091560,4358,353705984,17179336704
391.53,8210169856,2904294,4358,353980416,17179336704
393.25,8210169856,2858476,4352,354177024,17179336704
394.97,8210169856,2722576,4354,354889728,17179336704
396.70,8210169856,2634906,4350,355803136,17179336704
398.43,8210169856,2617357,4351,356323328,17179336704
400.14,8210169856,2737859,4360,357732352,17179336704
401.87,8210169856,2762741,4362,358637568,17179336704
403.59,8210169856,2799355,4351,359424000,17179336704
405.31,8210169856,2739479,4353,359284736,17179336704
407.02,8210169856,3021416,4369,359235584,17179336704
408.74,8210169856,3031900,4373,360005632,17179336704
410.47,8210169856,2895405,4360,359907328,17179336704
412.20,8210169856,2982711,4373,360505344,17179336704
413.92,8210169856,3031806,4372,360312832,17179336704
415.65,8210169856,2967940,4372,360624128,17179336704
417.37,8210169856,3040349,4365,361046016,17179336704
419.09,8210169856,2782485,4362,361525248,17179336704
420.81,8210169856,2820978,4358,361697280,17179336704
422.53,8210169856,2920756,4364,362184704,17179336704
424.25,8210169856,2802749,4357,363040768,17179336704
425.98,8210169856,2987180,4371,363323392,17179336704
427.68,8210169856,2845197,4350,364056576,17179336704
429.40,8210169856,2850998,4361,363896832,17179336704
431.12,8210169856,2953498,4373,364240896,17179336704
432.86,8210169856,2933253,4364,364494848,17179336704
434.57,8210169856,2784106,4352,365162496,17179336704
436.29,8210169856,2877402,4364,364912640,17179336704
438.00,8210169856,2644791,4374,365473792,17179336704
439.73,8210206720,2932956,4380,366080000,17179336704
441.46,8210206720,2962198,4367,366059520,17179336704
443.17,8210206720,3099764,4373,366931968,17179336704
444.89,8210206720,3176169,4362,366981120,17179336704
446.60,8210206720,3020527,4373,367603712,17179336704
448.31,8210206720,2869885,4373,367939584,17179336704
450.06,8210206720,2708028,4362,368541696,17179336704
451.76,8210395136,2751573,4369,370098176,17179336704
453.49,8210395136,2827027,4360,369963008,17179336704
455.21,8210407424,2637648,4352,371019776,17179336704
456.92,8210407424,2801264,4367,371728384,17179336704
458.65,8210407424,3100517,4370,372105216,17179336704
460.38,8210407424,2998774,4369,372318208,17179336704
462.10,8210419712,2972938,4371,372486144,17179336704
463.82,8210419712,2965220,4371,372781056,17179336704
465.55,8210419712,2858334,4367,373309440,17179336704
467.28,8210440192,3063100,4380,373329920,17179336704
469.00,8210440192,3021159,4375,374181888,17179336704
470.71,8210440192,2805392,4366,374386688,17179336704
472.43,8210440192,2691060,4365,374534144,17179336704
474.16,8210440192,2645732,4363,375529472,17179336704
475.88,8210440192,2876696,4367,375922688,17179336704
477.59,8210440192,2859457,4368,376721408,17179336704
479.34,8210440192,2660398,4364,377139200,17179336704
481.06,8210440192,2744633,4356,377884672,17179336704
482.78,8210583552,2641516,4361,379035648,17179336704
484.57,8210583552,2633898,4362,380215296,17179336704
486.30,8210587648,2709178,4370,379363328,17179336704
488.02,8210587648,2742443,4357,380387328,17179336704
489.74,8210587648,2672944,4359,382328832,17179336704
491.46,8210554880,2756613,4352,382337024,17179336704
493.19,8210554880,2528261,4354,383086592,17179336704
494.96,8210554880,2351108,4353,383823872,17179336704
496.69,8210554880,2304874,4357,385187840,17179336704
498.41,8210554880,2361950,4359,385609728,17179336704
500.13,8569167872,2165432,4222,386457600,17179336704
501.85,8925683712,2067946,4033,387825664,17179336704
503.59,8992792576,2353270,3984,388931584,17179336704
505.31,8996794368,2543982,3974,386613248,17179336704
507.03,8996794368,2743017,3980,385982464,17179336704
508.75,8996794368,2793462,3974,386977792,17179336704
510.47,8996737024,2727361,3970,386945024,17179336704
512.23,8996716544,2984723,3976,387694592,17179336704
513.95,8996716544,2864316,3979,387178496,17179336704
515.67,8996716544,2924439,3987,387813376,17179336704
517.40,8996716544,2869600,3982,388370432,17179336704
519.11,8996716544,2790694,3982,389365760,17179336704
520.83,8996716544,2802263,3990,390144000,17179336704
522.85,8996716544,2726162,3979,391409664,17179336704
524.57,8996716544,2716091,3978,391831552,17179336704
526.29,8996716544,2753816,3966,392962048,17179336704
528.02,9017720832,2751809,3949,393555968,17179336704
529.73,9059704832,2918037,3936,392486912,17179336704
531.44,9059704832,3194133,3994,392880128,17179336704
533.16,9059704832,2986829,3984,393273344,17179336704
534.87,9059704832,2949421,3979,393609216,17179336704
536.58,9059721216,2909403,3971,393953280,17179336704
538.29,9059721216,2868519,3970,395182080,17179336704
540.01,9059721216,2911176,3982,396931072,17179336704
541.70,9059721216,3140002,3979,396431360,17179336704
