rss,small,huge,cached
994750464,4022137,7835,135032832
1007472640,4021410,7833,135036928
1603358720,3902152,7607,160473088
2415644672,3739508,7212,170553344
2663157760,3729658,7075,172806144
2621247488,3723197,7005,174379008
2818379776,3657064,7001,183992320
3202330624,3790669,6976,185434112
3298799616,3652561,6928,185860096
2871283712,3661872,6969,187023360
3070513152,3603244,6931,187424768
3261353984,3746406,6842,190775296
2969911296,3638004,6841,212344832
3079041024,3608826,6876,216182784
3163058176,3547937,6822,216674304
3500699648,3494142,6744,218673152
3754455040,3391693,6524,219148288
4222119936,3256281,6336,224911360
4507385856,3232616,6232,225968128
4796805120,3122652,5971,226078720
5000228864,3056458,5946,227745792
5170216960,3082668,5829,228364288
5132587008,3105593,5801,230473728
5233250304,3327771,5824,231120896
5258416128,3088392,5834,232390656
5300371456,3152608,5828,232566784
5182894080,3250741,5796,232722432
5266599936,3227036,5783,232337408
5300097024,3310369,5819,233148416
4954054656,3161207,5888,233275392
4985511936,3435705,5908,239267840
5163769856,3357347,5871,243286016
5272821760,3327187,5894,243851264
5000192000,3279269,5880,244953088
5042135040,3380301,5918,245739520
5172158464,3456494,5931,246947840
4874383360,3544584,5951,247664640
5019086848,3447450,5903,250318848
5149110272,3483714,5904,251084800
4884897792,3422478,5937,253513728
4924743680,3466345,6350,262090752
4989755392,3592092,6375,265011200
5048381440,3256424,6280,271253504
4266340352,3378371,6235,278392832
4471848960,3217812,6145,280514560
4836753408,3142444,5979,281350144
5356875776,2960728,5751,281931776
5694517248,3141150,5567,281632768
5732265984,3039251,5553,282120192
5761626112,2913317,5540,282824704
5786824704,2933913,5526,283967488
5906362368,3212716,5504,287293440
5950402560,3159115,5490,287952896
5887488000,2938950,5445,288702464
5921042432,2994144,5462,290394112
5994442752,3101296,5452,289873920
6032191488,3005128,5463,290668544
5866520576,2962850,5485,291545088
5935726592,3205978,5561,293089280
6019612672,3184092,5520,293728256
5642125312,3180737,5558,294686720
5763760128,3138965,5536,295477248
5835096064,3316075,5645,295030784
4912353280,3349068,5921,295366656
4977364992,3315779,5914,295415808
5134651392,3065498,5852,296361984
5233217536,3152186,5859,297205760
5128359936,3154308,5838,298119168
5231120384,3095882,5789,299184128
5642162176,2956488,5701,299966464
5854064640,2853412,5467,300277760
5933817856,3030118,5522,299884544
6053355520,2822746,5467,300179456
6089007104,3012927,5448,301989888
5938012160,2972905,5448,302223360
6032384000,3208091,5474,302288896
6128852992,3050023,5441,302997504
5896069120,3037172,5454,303202304
5963280384,2896924,5438,303665152
6097498112,2890929,5572,303239168
6256881664,2944617,5475,303521792
5908754432,2969390,5508,303620096
5996834816,3109333,5493,304410624
6011514880,2987279,5481,304623616
5837451264,2887371,5471,305348608
6336573440,2833906,5278,305799168
6424653824,2954771,5259,306700288
6286245888,2991721,5255,306847744
6321901568,2834231,5252,307535872
6468702208,2836149,5200,307834880
6531616768,2942546,5170,308137984
6479273984,3276359,5251,307429376
6533799936,3034314,5241,307843072
6695280640,3266121,5322,308723712
6164844544,3094926,5346,308948992
6219370496,2883349,5319,309374976
6431182848,2840899,5482,308875264
6575902720,2888600,5371,309858304
6133403648,2909516,5368,310210560
6181638144,2891370,5350,311140352
6215192576,2939652,5357,311566336
6083072000,2958087,5377,311627776
6187929600,3054851,5442,311431168
6267621376,2996673,5409,311975936
5971922944,2906918,5409,312754176
6066294784,2996177,5432,313020416
6127112192,2979901,5427,313737216
6248763392,3163271,5410,315904000
6009688064,2947865,5391,316510208
6091476992,2927427,5399,316510208
6284414976,3012737,5367,316846080
6334746624,2722027,5268,317403136
6406049792,2750511,5263,318304256
6525587456,2773103,5240,318685184
6546558976,2907341,5249,319127552
6523490304,2679504,5202,319705088
6642974720,2887426,5129,320368640
6731063296,3215710,5179,319361024
6464724992,3003015,5166,319905792
6477307904,2823918,5164,320274432
6510862336,2979523,5193,320806912
6533931008,3019453,5190,321695744
6452142080,3070759,5372,321298432
6485463040,3006937,5346,321822720
6491754496,3067474,5367,322265088
6126809088,3240786,5380,323063808
6208557056,3200762,5729,322732032
6311317504,3176716,5720,322969600
5740892160,2958793,5591,322994176
6151933952,2906350,5358,323395584
6237917184,3041059,5381,323686400
6296637440,2825547,5360,323817472
6435049472,2690451,5193,324747264
6462312448,2978214,5201,324911104
6510546944,2971240,5211,325558272
6424563712,3055756,5193,325488640
6521131008,3229677,5404,326201344
6588235776,3057362,5393,326225920
6634360832,2896052,5510,326709248
6252634112,2878955,5307,327860224
6359543808,3069798,5314,329580544
6386806784,3016531,5310,329773056
6185480192,2882997,5300,330657792
6254686208,2876986,5323,330809344
6313414656,2876375,5363,330616832
7026446336,2599731,5029,330678272
7238258688,2559103,4837,331870208
7301038080,2546368,4822,332935168
7301038080,2622548,4824,333471744
7187791872,2561160,4824,335282176
7489781760,2663131,4736,335605760
7535919104,2553015,4713,337235968
7418499072,2696981,4715,336465920
7452053504,2699398,4705,338337792
7544328192,2738095,4712,339017728
7561109504,2605894,4711,340193280
7538069504,2472107,4673,340750336
7619858432,2442841,4683,342319104
7942819840,2671788,4559,340598784
7804407808,2487659,4529,341712896
7846350848,2351523,4524,342286336
8060260352,2291505,4450,343478272
8414679040,2224377,4320,344920064
8519536640,2186404,4213,346132480
8620199936,2334842,4170,347508736
8664240128,2520664,4167,348266496
8578256896,2387443,4173,349614080
8578256896,2216871,4173,350400512
8645488640,2310139,4175,350826496
8582574080,2284007,4158,351633408
8660168704,2499511,4160,352608256
8689528832,2653245,4151,351383552
8704208896,2916882,4171,348102656
8452550656,2909707,4221,348205056
