time,rss,small,huge,cached,total
0.00,926158848,4031292,7854,130523136,17179336704
0.69,957739008,4029906,7852,130535424,17179336704
2.37,1725587456,3874662,7544,169570304,17179336704
4.11,2336382976,3713574,7213,172339200,17179336704
5.84,2441506816,3770207,7100,174211072,17179336704
7.56,2544480256,3694329,7062,189358080,17179336704
9.31,2599059456,3664916,7062,189689856,17179336704
11.05,2617933824,3759019,7017,190517248,17179336704
12.76,2678808576,3648843,7004,191471616,17179336704
14.50,2731307008,3717252,7016,192765952,17179336704
16.22,2743889920,3681442,6979,193462272,17179336704
17.92,2945245184,3557271,6893,195768320,17179336704
19.64,2886512640,3752486,6900,223203328,17179336704
21.38,2903289856,3660844,6990,226803712,17179336704
23.11,3127705600,3661377,6832,229318656,17179336704
24.84,3115167744,3532826,6787,230248448,17179336704
26.60,3463294976,3416065,6614,231329792,17179336704
28.38,3610091520,3385134,6553,237281280,17179336704
30.11,4040073216,3305526,6329,238174208,17179336704
31.83,4413370368,3207106,6207,238538752,17179336704
33.55,4516130816,3188539,6104,240283648,17179336704
35.30,4971233280,3078835,5886,240943104,17179336704
37.02,4971233280,3263569,5885,241422336,17179336704
38.74,4975443968,3223352,5880,242487296,17179336704
40.44,5006901248,3177491,5871,243953664,17179336704
42.15,5008998400,3156582,5868,245182464,17179336704
43.88,5002706944,3136349,5863,245063680,17179336704
45.60,5021581312,3399001,6005,244011008,17179336704
47.32,5021581312,3225043,6002,244789248,17179336704
49.05,4707008512,3364841,6012,245207040,17179336704
50.77,4738473984,3256392,6010,245768192,17179336704
52.54,4738514944,3419005,6020,250408960,17179336704
54.27,4698722304,3425993,6015,251789312,17179336704
55.98,4700819456,3385196,6014,252207104,17179336704
57.70,4700819456,3356775,6011,253804544,17179336704
59.42,4694532096,3372984,6014,255254528,17179336704
61.15,4715503616,3551220,6010,256106496,17179336704
62.88,4730187776,3450953,6007,256393216,17179336704
64.60,4719702016,3376259,5999,257339392,17179336704
66.31,4721700864,3455220,6005,260694016,17179336704
68.05,4721733632,3483982,6341,266412032,17179336704
69.75,4004425728,3619642,6366,272666624,17179336704
71.48,4079820800,3361840,6335,274735104,17179336704
73.23,4129976320,3509147,6316,277102592,17179336704
74.95,4127879168,3389779,6292,278396928,17179336704
76.66,4234833920,3328479,6285,279339008,17179336704
78.39,4593217536,3208308,6109,280150016,17179336704
80.10,5002190848,3089563,5874,280948736,17179336704
81.82,5209808896,3131953,5783,280236032,17179336704
83.54,5293694976,3033403,5727,281747456,17179336704
85.26,5388066816,2991119,5722,283123712,17179336704
86.99,5547454464,3046750,5623,283586560,17179336704
88.71,5530677248,3208403,5621,283529216,17179336704
90.44,5545357312,3111144,5623,284385280,17179336704
92.17,5566328832,3070890,5608,285622272,17179336704
93.92,5482565632,3130635,5635,286650368,17179336704
95.64,5499342848,3253723,5724,286679040,17179336704
97.36,5532897280,3237354,5883,287350784,17179336704
99.08,4916338688,3312092,5914,287801344,17179336704
100.78,4958281728,3296020,6017,288362496,17179336704
102.52,5050560512,3256767,5954,288432128,17179336704
104.25,4805193728,3220299,5964,289325056,17179336704
105.96,4897468416,3219342,5934,290664448,17179336704
107.68,5036015616,3233104,5898,292814848,17179336704
109.39,4962615296,3174486,5891,293711872,17179336704
111.11,5453352960,2948758,5697,294285312,17179336704
112.85,5677760512,2919011,5640,294584320,17179336704
114.57,5743034368,2900689,5514,294105088,17179336704
116.28,5810151424,2981695,5521,295534592,17179336704
118.01,5860483072,2961266,5511,296267776,17179336704
119.72,5755625472,3180704,5524,297066496,17179336704
121.46,5818540032,3146147,5529,297459712,17179336704
123.18,5870968832,3059628,5530,297791488,17179336704
124.91,5751431168,3077114,5727,297492480,17179336704
126.65,5833220096,3032237,5702,297508864,17179336704
128.36,5900328960,3038909,5700,297873408,17179336704
130.07,5449543680,3041891,5672,298262528,17179336704
131.79,5558595584,3152891,5685,298463232,17179336704
133.50,5657161728,3213522,5659,298975232,17179336704
135.22,5462126592,3057892,5654,299425792,17179336704
136.94,5778796544,2888256,5521,299782144,17179336704
138.67,5835419648,2940333,5515,300535808,17179336704
140.38,5785088000,3108301,5538,301019136,17179336704
142.09,5820739584,2954602,5523,301117440,17179336704
143.81,6124826624,2747136,5346,301690880,17179336704
145.54,6206615552,3023533,5321,302624768,17179336704
147.26,6217101312,3288747,5317,302632960,17179336704
148.98,6131118080,3136689,5328,301940736,17179336704
150.69,6187741184,3194158,5326,302714880,17179336704
152.44,6246461440,3183751,5334,303333376,17179336704
154.17,5334171648,3105283,5710,303423488,17179336704
155.91,5654974464,2927555,5636,303239168,17179336704
157.63,6007296000,2805863,5438,303685632,17179336704
159.35,6005198848,2869166,5404,304934912,17179336704
161.07,6021918720,2903973,5396,305446912,17179336704
162.78,6042849280,3079588,5388,305745920,17179336704
164.50,5988257792,3018947,5393,305774592,17179336704
166.22,6040616960,3046719,5481,305655808,17179336704
167.94,6059438080,3074607,5474,305971200,17179336704
169.65,5868556288,2899795,5463,306839552,17179336704
171.38,5937721344,3082277,5469,307134464,17179336704
173.11,5969178624,3034757,5456,307789824,17179336704
174.83,5845446656,3069997,5461,308039680,17179336704
176.57,5858037760,3004683,5455,308682752,17179336704
178.29,5860143104,3022365,5463,308912128,17179336704
180.05,5910474752,2900349,5445,308772864,17179336704
181.77,6030053376,2862709,5390,309432320,17179336704
183.49,6130716672,2822604,5333,310284288,17179336704
185.22,6183145472,2833055,5316,311590912,17179336704
186.92,6277517312,3041447,5265,311709696,17179336704
188.64,6292197376,2963367,5273,312045568,17179336704
190.37,6288003072,3060170,5278,311656448,17179336704
192.08,6292197376,3057458,5280,312213504,17179336704
193.82,6294294528,3057151,5276,312274944,17179336704
195.54,6279614464,3057989,5280,312799232,17179336704
197.27,6294294528,3157250,5667,312852480,17179336704
198.98,5470113792,3028869,5650,312832000,17179336704
200.70,5606428672,2967385,5596,313548800,17179336704
202.43,5606428672,3076201,5607,314052608,17179336704
204.16,5692411904,2882578,5527,314310656,17179336704
205.88,5728063488,3172873,5538,314413056,17179336704
207.59,5746937856,3058442,5540,314929152,17179336704
209.31,5721735168,3058979,5530,315760640,17179336704
211.03,5788844032,3201777,5541,315600896,17179336704
212.75,5860147200,3165101,5525,316076032,17179336704
214.49,5298139136,3058649,5725,315879424,17179336704
216.20,5851787264,2882342,5551,315932672,17179336704
217.93,6124273664,3071022,5411,316354560,17179336704
219.71,6036193280,3122438,5390,316690432,17179336704
221.44,6103302144,2844598,5387,317284352,17179336704
223.16,6151708672,2863232,5356,318107648,17179336704
224.89,6090932224,3107738,5366,318255104,17179336704
226.60,6124486656,3030640,5437,318513152,17179336704
228.33,6193696768,3292599,5469,319033344,17179336704
230.07,5602299904,3065554,5586,319135744,17179336704
231.79,5616979968,2980768,5579,319602688,17179336704
233.52,5847384064,2882997,5510,320937984,17179336704
235.24,5870452736,2972294,5457,322383872,17179336704
236.96,5870452736,3133230,5480,322981888,17179336704
238.68,5870604288,2967052,5473,323493888,17179336704
240.40,5870604288,2914659,5467,323833856,17179336704
242.13,6485069824,2699366,5242,323903488,17179336704
243.85,6925471744,2587906,4977,323878912,17179336704
245.58,7344902144,2449161,4760,324755456,17179336704
247.31,7351193600,2617104,4752,326451200,17179336704
249.01,7336513536,2712966,4773,327675904,17179336704
250.74,7351193600,2701245,4759,328691712,17179336704
252.44,7351193600,2507649,4752,330104832,17179336704
254.17,7309250560,2824830,4773,329523200,17179336704
255.89,7332364288,2600634,4754,330022912,17179336704
257.60,7386902528,2592755,4765,331763712,17179336704
259.33,7340765184,2768418,4752,332517376,17179336704
261.05,7365931008,2614625,4752,333262848,17179336704
262.76,7409971200,2628835,4755,333361152,17179336704
264.49,7321890816,2731819,4780,332943360,17179336704
266.21,7397388288,2561232,4749,333676544,17179336704
267.92,7611297792,2448663,4725,334344192,17179336704
269.66,8005562368,2298661,4459,335626240,17179336704
271.38,8106303488,2319879,4438,337506304,17179336704
273.11,8194383872,2362014,4389,338784256,17179336704
274.81,8104206336,2476963,4386,339320832,17179336704
276.52,8177606656,2558007,4379,340668416,17179336704
278.23,8177606656,2355724,4382,342466560,17179336704
279.96,8162926592,2530461,4388,341872640,17179336704
281.68,8167120896,2333032,4383,342880256,17179336704
283.45,8265940992,2411475,4363,344420352,17179336704
285.17,8213516288,2980240,4379,343302144,17179336704
286.87,8314179584,2984710,4361,342298624,17179336704
288.60,8333053952,2770841,4354,343068672,17179336704
290.32,8179961856,2732983,4363,343670784,17179336704
292.05,8224002048,2784781,4394,340905984,17179336704
293.77,8242876416,2793327,4407,341475328,17179336704
295.50,8119234560,2746368,4405,342667264,17179336704
297.22,8173760512,2725000,4391,343207936,17179336704
298.94,8184246272,2894698,5103,342876160,17179336704
300.67,6651228160,2773494,5095,343298048,17179336704
302.39,6665781248,2711181,5099,344461312,17179336704
304.12,6623838208,2695661,5102,345579520,17179336704
305.85,6669991936,2822428,5103,345870336,17179336704
307.57,6747582464,3135257,5105,347111424,17179336704
309.29,6600781824,2986253,5111,347815936,17179336704
311.00,6636433408,2993140,5108,347602944,17179336704
312.73,6661599232,3167675,5131,347947008,17179336704
314.46,6586101760,3136277,5124,348680192,17179336704
316.19,6644822016,2916824,5095,349483008,17179336704
317.91,6661599232,2859759,5088,349995008,17179336704
319.66,6250557440,3009361,5285,349974528,17179336704
321.38,6254751744,2973757,5273,350441472,17179336704
323.11,6267334656,2811472,5266,351793152,17179336704
324.84,6256848896,2841975,5270,351916032,17179336704
326.56,6351220736,3062492,5280,352301056,17179336704
