time,rss,small,huge,cached,total
0.00,904404992,4037728,7864,117272576,17179336704
0.67,908599296,4036756,7861,117280768,17179336704
2.34,1762562048,3863481,7525,156585984,17179336704
4.09,2381623296,3701644,7167,159350784,17179336704
5.89,2499158016,3734431,7079,161910784,17179336704
7.63,2604204032,3774890,7085,176381952,17179336704
9.37,2797158400,3641751,7019,176300032,17179336704
11.09,2864324608,3785345,6955,177737728,17179336704
12.80,2847444992,3658901,6927,178647040,17179336704
14.52,2899726336,3687770,7008,179265536,17179336704
16.24,2931007488,3632399,6969,179982336,17179336704
17.96,2964561920,3636195,6836,182644736,17179336704
19.67,2964619264,3648435,6839,211574784,17179336704
21.39,2685788160,3667121,6981,213184512,17179336704
23.11,2841051136,3640196,6885,216154112,17179336704
24.85,3084320768,3542119,6826,217497600,17179336704
26.60,3451400192,3407595,6622,218386432,17179336704
28.33,3690475520,3392093,6496,223502336,17179336704
30.06,4229472256,3240033,6308,225058816,17179336704
31.80,4390961152,3222049,6145,225521664,17179336704
33.53,4447649792,3265767,6128,226668544,17179336704
35.35,4693016576,3119043,6021,227086336,17179336704
37.08,4800000000,3104095,5961,228728832,17179336704
38.81,4804194304,3144244,5958,230690816,17179336704
40.52,4848234496,3344828,5933,230400000,17179336704
42.23,4833558528,3170039,5934,231145472,17179336704
43.94,4841947136,3144316,5936,232333312,17179336704
45.66,4862918656,3322239,5928,232017920,17179336704
47.36,4860821504,3259091,5932,231522304,17179336704
49.07,4860833792,3328391,5981,232173568,17179336704
50.80,4860833792,3227323,6008,232361984,17179336704
52.52,4689051648,3428965,6017,237522944,17179336704
54.25,4695343104,3431437,6015,238612480,17179336704
55.96,4695343104,3350113,6014,239394816,17179336704
57.68,4697440256,3343911,6002,240934912,17179336704
59.41,4697628672,3428666,6002,241291264,17179336704
61.14,4699725824,3589042,6012,242393088,17179336704
62.86,4699754496,3388421,6002,243552256,17179336704
64.54,4699754496,3431409,6003,243879936,17179336704
66.25,4699754496,3447145,6006,247201792,17179336704
67.99,4716273664,3327368,5991,248324096,17179336704
69.72,4716273664,3623574,6263,257933312,17179336704
71.43,4166680576,3562903,6255,261054464,17179336704
73.15,4187422720,3417502,6246,261943296,17179336704
74.86,4233375744,3363441,6222,264986624,17179336704
76.58,4166230016,3390201,6258,266424320,17179336704
78.30,4331995136,3304760,6211,266969088,17179336704
80.05,4791271424,3120715,5990,267669504,17179336704
81.77,5017772032,3100860,5851,267943936,17179336704
83.49,5036646400,3181141,5856,268120064,17179336704
85.22,5319761920,2972027,5756,268828672,17179336704
86.95,5462392832,2933820,5649,270036992,17179336704
88.67,5560999936,3101043,5609,271347712,17179336704
90.40,5560999936,3099863,5607,272121856,17179336704
92.11,5521154048,3141698,5626,271917056,17179336704
93.85,5533741056,3159527,5643,272330752,17179336704
95.57,5533741056,3341385,5689,273707008,17179336704
97.29,5154156544,3223099,5862,273809408,17179336704
99.00,5198196736,3237295,5836,274661376,17179336704
100.73,5217071104,3293082,5860,275169280,17179336704
102.45,5007355904,3381926,5885,274997248,17179336704
104.17,5043130368,3190696,5869,275668992,17179336704
105.90,5066199040,3222113,5880,276971520,17179336704
107.62,5009477632,3245089,5875,279449600,17179336704
109.35,5091266560,3125825,5837,280039424,17179336704
111.09,5328244736,3060903,5785,281178112,17179336704
112.82,5493940224,3067594,5655,281575424,17179336704
114.60,5781250048,2950148,5530,281026560,17179336704
116.31,5835776000,2962404,5524,281784320,17179336704
118.03,5781250048,3105698,5509,283267072,17179336704
119.78,5825327104,3009743,5512,284184576,17179336704
121.51,5712080896,3086976,5509,284299264,17179336704
123.23,5808549888,3156852,5511,284446720,17179336704
124.96,5858947072,3038957,5519,284930048,17179336704
126.67,5724729344,3106476,5517,285220864,17179336704
128.39,5775163392,2998432,5547,284762112,17179336704
130.14,5810814976,3003631,5561,285052928,17179336704
131.88,5647237120,3001814,5556,285126656,17179336704
133.63,5691277312,3108540,5548,286171136,17179336704
135.36,5764677632,3148352,5533,286257152,17179336704
137.09,5722734592,2941810,5517,286572544,17179336704
138.81,6127497216,2837618,5343,287236096,17179336704
140.54,6182068224,2897646,5343,287727616,17179336704
142.27,6054199296,2897413,5355,288051200,17179336704
143.99,6100582400,2884862,5347,288718848,17179336704
145.71,6155108352,2963719,5359,289525760,17179336704
147.44,6050250752,3061984,5367,289382400,17179336704
149.17,6111068160,3029026,5361,289837056,17179336704
150.90,6197051392,3257686,5465,289812480,17179336704
152.63,5857411072,3264495,5455,290295808,17179336704
154.38,5918253056,3121447,5450,290545664,17179336704
156.10,5935030272,2942548,5457,290369536,17179336704
157.82,5683388416,2912447,5548,290758656,17179336704
159.53,5784051712,2936510,5525,291225600,17179336704
161.26,6098624512,2839781,5374,291827712,17179336704
163.01,6067167232,2985775,5371,292954112,17179336704
164.73,6123827200,3103412,5391,292782080,17179336704
166.44,5962346496,3047477,5396,293007360,17179336704
168.16,6048329728,3129364,5389,293052416,17179336704
169.89,6125924352,3077293,5389,293642240,17179336704
171.61,6092369920,2829864,5345,294039552,17179336704
173.32,6180450304,2942776,5433,294166528,17179336704
175.05,6249656320,3114557,5450,294776832,17179336704
176.77,5800865792,3128136,5479,295645184,17179336704
178.49,5888958464,2864664,5461,296001536,17179336704
180.22,6000144384,2999201,5416,295989248,17179336704
182.08,5980905472,2939014,5410,296701952,17179336704
183.81,6217863168,2802399,5309,297766912,17179336704
185.54,6280704000,3078127,5304,297263104,17179336704
187.26,6194683904,2938468,5292,298287104,17179336704
188.99,6217711616,2790757,5290,298844160,17179336704
190.72,6234464256,2835207,5280,299417600,17179336704
192.44,6221815808,3117329,5307,298811392,17179336704
194.16,6221692928,2998997,5316,298921984,17179336704
195.89,6221643776,3098781,5310,299810816,17179336704
197.60,6081085440,3239338,5606,299954176,17179336704
199.32,6081085440,3004715,5592,299962368,17179336704
201.06,6240468992,2851306,5423,300326912,17179336704
202.79,5926608896,3026363,5433,301350912,17179336704
204.51,6190850048,2788731,5359,301658112,17179336704
206.22,6199238656,3108630,5319,301555712,17179336704
207.95,6167781376,3243811,5321,302272512,17179336704
209.67,6171975680,3107234,5332,302641152,17179336704
211.38,6201339904,3056041,5307,303075328,17179336704
213.13,6115356672,3297187,5777,302764032,17179336704
214.85,6134231040,3090356,5739,302936064,17179336704
216.56,5937098752,2884167,5450,303042560,17179336704
218.28,6205526016,3073181,5350,303255552,17179336704
220.00,6253592576,2899505,5314,303747072,17179336704
221.75,6142443520,2944188,5326,304693248,17179336704
223.48,6232014848,3162422,5329,304934912,17179336704
225.20,6250889216,2958538,5351,305434624,17179336704
226.92,5894373376,3094361,5448,305733632,17179336704
228.65,5959385088,3308291,5520,306089984,17179336704
230.37,6018105344,3021660,5496,306302976,17179336704
232.09,5860818944,2884990,5468,306905088,17179336704
233.82,5974065152,3108267,5463,308965376,17179336704
235.54,5999230976,2947007,5462,309211136,17179336704
237.27,5844058112,2987308,5476,310284288,17179336704
238.99,5890195456,3078588,5470,310464512,17179336704
240.71,5990858752,2949749,5467,310964224,17179336704
242.44,6389317632,2722723,5244,311033856,17179336704
244.16,6840205312,2608849,5068,310988800,17179336704
245.90,7423213568,2454137,4769,312221696,17179336704
247.63,7402242048,2649511,4735,313942016,17179336704
249.34,7406436352,2692171,4724,315002880,17179336704
251.06,7419019264,2822212,4751,315314176,17179336704
252.78,7354019840,2610977,4743,316522496,17179336704
254.50,7370833920,2632303,4748,316710912,17179336704
256.23,7381319680,2780676,4758,316846080,17179336704
257.96,7349862400,2578546,4749,318402560,17179336704
259.69,7364542464,2699794,4752,319619072,17179336704
261.43,7364567040,2759110,4739,319442944,17179336704
263.16,7364567040,2583945,4745,319918080,17179336704
264.88,7425384448,2549510,4736,320647168,17179336704
266.59,7718985728,2437883,4577,321380352,17179336704
268.31,7993712640,2378132,4453,322605056,17179336704
270.04,7993720832,2319589,4444,324411392,17179336704
271.76,7954079744,2400053,4462,325074944,17179336704
273.49,8147017728,2260705,4395,325808128,17179336704
275.21,8165892096,2404954,4365,327364608,17179336704
276.94,8136556544,2593472,4373,328732672,17179336704
278.65,8138715136,2421228,4371,329945088,17179336704
280.36,8145006592,2485763,4385,329465856,17179336704
282.09,8134504448,2301723,4373,330604544,17179336704
283.87,8149184512,2451781,4367,333082624,17179336704
285.59,8148193280,2793303,4371,331018240,17179336704
