time,rss,small,huge,cached,total
0.00,924545024,4035015,7859,130244608,17179336704
0.67,928739328,4034026,7858,130256896,17179336704
2.34,1787146240,3860754,7524,169394176,17179336704
4.08,2298851328,3735785,7175,171716608,17179336704
5.81,2491895808,3745515,7068,174477312,17179336704
7.53,2538127360,3705123,7052,175607808,17179336704
9.27,2733174784,3677967,7091,188903424,17179336704
11.02,2817159168,3793748,6984,190447616,17179336704
12.70,2869616640,3652849,6956,191512576,17179336704
14.43,2898989056,3717038,7006,192397312,17179336704
16.20,2982891520,3665066,6985,192618496,17179336704
17.92,3167440896,3602086,6887,194101248,17179336704
19.64,3167625216,3726873,6901,223649792,17179336704
21.38,3217776640,3671745,6986,226476032,17179336704
23.10,3370921984,3645905,6860,228798464,17179336704
24.85,3559686144,3563385,6734,230215680,17179336704
26.58,3821850624,3399185,6608,230948864,17179336704
28.31,4048347136,3383587,6444,236670976,17179336704
30.04,4421656576,3229926,6293,237727744,17179336704
31.76,4560072704,3201870,6170,238710784,17179336704
33.48,4627214336,3177464,6137,239616000,17179336704
35.21,4962766848,3174261,5974,239796224,17179336704
36.94,4981641216,3112587,5954,241479680,17179336704
38.75,5040410624,3106589,5924,243228672,17179336704
40.48,5050896384,3275466,5915,244637696,17179336704
42.20,5065580544,3235058,5925,244408320,17179336704
43.92,5065580544,3170837,5917,244617216,17179336704
45.65,5065580544,3265352,6064,244035584,17179336704
47.37,5065580544,3272646,6066,244748288,17179336704
49.09,5065580544,3243975,6068,244985856,17179336704
50.81,5065588736,3269333,6067,245432320,17179336704
52.54,5065469952,3540453,6078,250994688,17179336704
54.28,5065441280,3429902,6074,251543552,17179336704
56.01,5065482240,3364349,6072,252260352,17179336704
57.74,5080170496,3395533,6067,253628416,17179336704
59.47,5080203264,3530707,6068,254619648,17179336704
61.18,5080240128,3374250,6058,255078400,17179336704
62.92,5080240128,3523489,6064,256147456,17179336704
64.64,5080272896,3378293,6067,257224704,17179336704
66.41,5080297472,3399423,6065,260296704,17179336704
68.12,5080330240,3538047,6359,263876608,17179336704
69.85,5080350720,3678534,6423,270852096,17179336704
71.59,5080350720,3429244,6391,274694144,17179336704
73.32,5080350720,3460584,6405,276164608,17179336704
75.05,5080399872,3403272,6374,277401600,17179336704
76.77,5086732288,3381361,6420,279400448,17179336704
78.49,5252407296,3204376,6180,280199168,17179336704
80.22,5579612160,3047128,5933,280309760,17179336704
81.95,5705441280,3039002,5782,280657920,17179336704
83.66,5812400128,3118576,5756,281284608,17179336704
85.38,6024232960,2939431,5723,282894336,17179336704
87.12,6215073792,3009182,5587,283299840,17179336704
88.86,6267502592,3054908,5578,284262400,17179336704
90.59,6296862720,3191724,5581,284553216,17179336704
92.31,6307291136,3054623,5583,285163520,17179336704
94.02,6313582592,3095633,5597,287547392,17179336704
95.77,6342942720,3353919,5970,286158848,17179336704
