time,rss,small,huge,cached,total
0.00,2255171584,426513,822,117760000,2146951168
0.68,2255298560,425949,821,117772288,2146951168
2.37,2256207872,229539,444,158351360,2146951168
4.56,3330011136,320737,459,160448512,3220692992
6.30,4403773440,645951,873,162263040,4294434816
8.00,4403736576,619478,1016,176836608,4294434816
9.71,4403748864,543602,814,177229824,4294434816
11.43,4403785728,657753,822,178036736,4294434816
13.17,4403666944,561456,811,179126272,4294434816
14.88,4403679232,512331,810,180154368,4294434816
16.57,4403732480,538805,779,181121024,4294434816
18.30,4403732480,549135,732,182845440,4294434816
20.03,4403867648,609257,739,211361792,4294434816
21.75,4403892224,555640,748,215244800,4294434816
23.50,4403916800,577077,735,216637440,4294434816
25.26,4403941376,407131,608,217772032,4294434816
26.98,4403941376,361585,606,218857472,4294434816
28.72,4403859456,242953,442,224776192,4294434816
30.44,5477621760,384104,699,225546240,5368176640
32.65,5477556224,349630,562,226222080,5368176640
34.54,6551252992,701134,1037,226713600,6441918464
36.39,6551252992,543043,788,228016128,6441918464
38.12,6551252992,554408,708,228376576,6441918464
39.84,6551261184,645576,634,230068224,6441918464
41.56,6551261184,660392,626,231677952,6441918464
43.28,6551261184,552154,622,231776256,6441918464
44.99,6551261184,459132,550,232275968,6441918464
46.71,7625011200,995966,1071,232407040,7515660288
48.43,7625011200,946180,1287,231936000,7515660288
50.15,6551269376,734313,806,232308736,6441918464
51.85,6551269376,719023,805,232849408,6441918464
53.58,6551273472,755718,803,233861120,6441918464
55.29,6551273472,837451,793,238948352,6441918464
57.02,6551281664,802704,795,239980544,6441918464
58.73,6551281664,803877,796,241238016,6441918464
60.46,6551281664,888594,804,241504256,6441918464
62.18,6551281664,844188,795,242753536,6441918464
63.90,6551281664,786917,787,243933184,6441918464
65.61,6551281664,916376,787,244903936,6441918464
67.33,6551298048,983403,802,246333440,6441918464
69.18,6551105536,948917,808,257040384,6441918464
71.40,6551105536,1038635,800,259760128,6441918464
73.11,6551105536,893621,788,261189632,6441918464
74.86,6551105536,922180,780,262393856,6441918464
76.78,6551105536,877842,761,264327168,6441918464
78.49,6551117824,808573,731,264888320,6441918464
80.32,6551121920,562380,736,265465856,6441918464
82.04,6551121920,386426,611,266407936,6441918464
83.76,6551121920,437647,608,267022336,6441918464
85.48,6551228416,399694,561,267857920,6441918464
87.20,7624970240,738912,1077,268718080,7515660288
88.92,7624970240,725753,1079,269807616,7515660288
90.63,7625101312,945127,1081,269905920,7515660288
92.36,7625101312,673156,1070,270336000,7515660288
94.08,7625101312,676847,904,271282176,7515660288
95.81,7625101312,831241,923,272150528,7515660288
97.53,7625101312,1039032,971,272826368,7515660288
99.25,7625101312,910877,949,273174528,7515660288
100.98,7625101312,1008864,932,273862656,7515660288
102.70,7625101312,950800,927,274292736,7515660288
104.41,7625093120,931016,935,274264064,7515660288
106.11,7624974336,948375,940,275247104,7515660288
107.82,7624941568,865913,933,277704704,7515660288
109.55,7624941568,860193,930,278630400,7515660288
111.27,7624884224,872112,921,279461888,7515660288
113.00,7624884224,657631,918,280207360,7515660288
114.72,7624896512,636545,904,280465408,7515660288
116.43,7624900608,505948,801,280854528,7515660288
118.15,7624900608,698083,724,280965120,7515660288
119.90,7624900608,695773,722,282730496,7515660288
121.61,7624900608,713826,713,283119616,7515660288
123.48,7624900608,691929,709,283701248,7515660288
125.19,7624900608,1000076,736,283766784,7515660288
126.90,7624900608,795806,720,283508736,7515660288
128.61,7624900608,659832,720,283602944,7515660288
130.33,7624904704,684525,715,283807744,7515660288
132.06,7624904704,679346,720,284217344,7515660288
133.77,7624937472,792859,724,284475392,7515660288
135.49,7625084928,843703,714,285061120,7515660288
137.22,7625084928,821740,704,285331456,7515660288
138.95,7625117696,547774,704,285990912,7515660288
140.66,7625117696,554005,711,286896128,7515660288
142.39,7625117696,566700,720,286674944,7515660288
144.12,7625117696,593885,712,287408128,7515660288
145.83,7625117696,507578,671,288096256,7515660288
147.54,7625117696,584235,674,288763904,7515660288
149.26,7625117696,906042,703,287567872,7515660288
150.98,7625117696,904183,698,288141312,7515660288
152.70,7625179136,827119,694,289030144,7515660288
154.42,7625179136,1064628,698,289161216,7515660288
156.14,7625179136,757710,677,289558528,7515660288
157.96,7625179136,663000,685,289411072,7515660288
159.68,7625347072,514302,686,289435648,7515660288
161.64,7625347072,555580,683,290254848,7515660288
163.36,7625347072,598569,695,290684928,7515660288
165.10,7625347072,678255,672,291844096,7515660288
166.81,7625347072,769069,687,291971072,7515660288
168.66,7625347072,615778,687,292016128,7515660288
170.37,7625347072,901529,686,291942400,7515660288
172.06,7625347072,741690,686,292167680,7515660288
173.89,7625347072,497281,682,292880384,7515660288
175.61,7625347072,601641,675,293797888,7515660288
177.33,7625347072,807841,689,293822464,7515660288
179.05,7625347072,776092,685,294289408,7515660288
180.77,7625347072,707027,692,294699008,7515660288
182.51,7625347072,509759,686,295133184,7515660288
184.21,7625347072,618121,696,295153664,7515660288
185.91,7625379840,542668,677,295768064,7515660288
187.70,7625363456,449560,682,296669184,7515660288
189.43,7625396224,611262,616,297402368,7515660288
191.15,7625375744,474256,610,297652224,7515660288
192.87,7625342976,623350,616,298110976,7515660288
194.60,7625269248,914129,627,297725952,7515660288
196.35,7625244672,745671,625,297750528,7515660288
198.06,7625244672,768531,637,298184704,7515660288
199.77,7625244672,644224,618,299151360,7515660288
201.50,7625129984,766925,618,299044864,7515660288
203.22,7625125888,661050,613,299192320,7515660288
204.96,7625109504,625775,618,300048384,7515660288
206.69,7625109504,677404,620,300494848,7515660288
208.42,7625109504,781191,625,300183552,7515660288
210.14,7625109504,738250,619,300691456,7515660288
211.87,7625109504,756761,618,301658112,7515660288
213.58,7625109504,935189,630,302157824,7515660288
215.31,7625109504,960722,608,301895680,7515660288
217.03,7625109504,937383,609,302039040,7515660288
218.73,7625109504,630929,603,302133248,7515660288
220.45,7625109504,785575,624,302252032,7515660288
222.18,7625109504,725959,617,302616576,7515660288
223.91,7625109504,518451,605,302948352,7515660288
225.63,7625105408,562051,617,303730688,7515660288
227.35,7624904704,763881,612,304082944,7515660288
229.08,7624904704,654999,612,304750592,7515660288
230.79,7624904704,917733,633,304869376,7515660288
232.51,7624790016,879739,611,305188864,7515660288
234.25,7624785920,664447,609,305397760,7515660288
235.99,7624773632,566418,604,306679808,7515660288
237.71,7624720384,660104,596,308314112,7515660288
239.41,7624671232,826486,606,309022720,7515660288
241.13,7624671232,574321,597,309522432,7515660288
242.84,7624671232,681920,620,309850112,7515660288
244.56,7624671232,614585,605,309985280,7515660288
246.28,7624671232,326563,601,309985280,7515660288
248.00,7624675328,170019,324,310145024,7515660288
249.73,8698417152,371817,634,312057856,8589402112
251.46,8698417152,393197,538,313335808,8589402112
253.19,9772158976,912952,1017,314834944,9663143936
254.89,9772158976,1027467,1027,315621376,9663143936
256.61,9772158976,1031259,1028,315174912,9663143936
258.32,9772158976,806016,1020,315744256,9663143936
260.04,9772158976,880632,1002,316932096,9663143936
261.76,9772158976,818042,982,318713856,9663143936
263.48,9772281856,661626,942,319725568,9663143936
265.21,9772281856,807553,916,319520768,9663143936
266.93,9772281856,746113,919,320323584,9663143936
268.66,9772281856,910346,931,319959040,9663143936
270.39,9772281856,747849,927,320700416,9663143936
272.15,9772281856,679333,805,321634304,9663143936
273.87,9772281856,597664,748,323096576,9663143936
275.61,9772281856,521402,599,324370432,9663143936
277.32,9772281856,617141,600,325120000,9663143936
279.05,9772281856,661832,590,326541312,9663143936
280.78,9772212224,669607,590,327962624,9663143936
282.53,9772212224,549116,593,329097216,9663143936
284.25,9772212224,544241,352,328536064,9663143936
285.97,10845954048,1111469,881,329666560,10736885760
287.68,10845954048,1168622,866,329605120,10736885760
289.38,10845954048,1018135,848,330141696,10736885760
291.13,10845954048,1410210,1157,325836800,10736885760
292.86,9772212224,1210123,647,326463488,9663143936
294.57,9772212224,1016665,659,326934528,9663143936
296.30,9772212224,935959,644,327168000,9663143936
298.01,9772212224,889297,656,327880704,9663143936
299.74,9772212224,920375,652,329211904,9663143936
301.46,9772212224,860808,645,329953280,9663143936
303.19,9772212224,932352,666,329097216,9663143936
304.90,9772212224,1078917,667,330100736,9663143936
306.63,9772212224,996503,669,331014144,9663143936
308.36,9772212224,1189401,680,330555392,9663143936
310.07,9772212224,1080440,669,331620352,9663143936
311.79,9772212224,1095507,663,333058048,9663143936
313.50,9772212224,1040702,660,334536704,9663143936
315.22,9772212224,1039553,666,335245312,9663143936
317.13,9772326912,1430569,671,334503936,9663143936
318.85,9772326912,1269127,671,335253504,9663143936
320.57,9772343296,1147326,648,336146432,9663143936
322.29,9772343296,1200575,658,335314944,9663143936
324.01,9772343296,1161729,669,335888384,9663143936
325.72,9772343296,1074320,670,336408576,9663143936
327.45,9772343296,1161641,655,337158144,9663143936
329.17,9772343296,1148924,653,338059264,9663143936
330.89,9772343296,1344906,667,338206720,9663143936
332.60,9772605440,1297362,659,338694144,9663143936
334.72,9772605440,1093483,659,339103744,9663143936
336.43,9772638208,1043787,659,340291584,9663143936
338.36,9772642304,1238361,668,341041152,9663143936
340.08,9772642304,1166822,638,341897216,9663143936
341.81,9772642304,1211834,624,342421504,9663143936
343.54,9772642304,1236482,643,341692416,9663143936
345.25,9772642304,958988,647,341749760,9663143936
346.99,9772773376,1081207,678,340865024,9663143936
348.72,9772773376,868884,670,341049344,9663143936
350.43,9772773376,876121,656,341233664,9663143936
352.17,9772781568,1126130,645,341835776,9663143936
353.87,9772781568,1089680,650,342622208,9663143936
355.59,9772781568,1289960,685,343113728,9663143936
357.31,9772781568,1595041,659,343130112,9663143936
359.06,9772793856,1356684,647,343527424,9663143936
360.77,9772830720,1334505,651,344076288,9663143936
362.49,9772838912,1326326,660,343990272,9663143936
364.20,9772838912,1227490,655,344743936,9663143936
365.91,9772851200,1277202,670,345387008,9663143936
367.64,9772806144,1310205,648,346136576,9663143936
369.36,9772773376,1302722,655,346349568,9663143936
371.09,9772773376,1191475,656,346779648,9663143936
372.81,9772773376,1222670,657,347271168,9663143936
374.53,9772773376,1121845,656,347709440,9663143936
376.26,9772773376,1059487,661,348073984,9663143936
377.98,9772773376,975927,659,348950528,9663143936
379.68,9772867584,937265,650,350502912,9663143936
381.41,9772867584,947109,652,351105024,9663143936
383.13,9772867584,963661,637,351698944,9663143936
384.83,9772867584,1257568,658,352169984,9663143936
386.56,9772867584,1357622,653,352276480,9663143936
388.28,9772867584,1203640,648,352497664,9663143936
390.01,9772867584,1001631,654,352948224,9663143936
391.73,9772867584,1066967,667,352915456,9663143936
393.46,9772867584,946615,655,353349632,9663143936
395.16,9772867584,883070,654,354213888,9663143936
396.88,9772867584,967890,662,355586048,9663143936
398.60,9772904448,905258,657,357212160,9663143936
400.32,9772904448,908336,656,357597184,9663143936
402.04,9772904448,1036940,644,358612992,9663143936
403.76,9772904448,1286632,659,357371904,9663143936
405.47,9772904448,1143111,652,358121472,9663143936
407.20,9772904448,1139850,660,357859328,9663143936
408.91,9772924928,1005072,650,358772736,9663143936
410.69,9772924928,1170960,657,358576128,9663143936
412.40,9773035520,1275107,666,358309888,9663143936
414.12,9773035520,1096682,648,359120896,9663143936
415.83,9773035520,951127,654,359677952,9663143936
417.55,9773035520,1000068,665,359960576,9663143936
419.28,9772933120,1061115,656,360058880,9663143936
420.99,9772933120,1164100,678,360779776,9663143936
422.73,9772933120,1125001,651,361340928,9663143936
424.45,9772933120,876351,651,361889792,9663143936
426.16,9772933120,1028662,655,362242048,9663143936
427.90,9772892160,1191284,659,362295296,9663143936
429.61,9772740608,1044707,659,362561536,9663143936
431.35,9772740608,1046444,657,362766336,9663143936
433.05,9772740608,941150,672,363204608,9663143936
434.78,9772740608,980253,682,363876352,9663143936
436.50,9772740608,1267738,676,363393024,9663143936
438.21,9772740608,1193180,666,364466176,9663143936
439.93,9772740608,1270329,666,364920832,9663143936
441.67,9772740608,1361035,655,365424640,9663143936
443.38,9772740608,1186797,648,365867008,9663143936
445.09,9772740608,1047807,644,366497792,9663143936
446.80,9772740608,1029242,645,367353856,9663143936
448.53,9772740608,1097036,655,367734784,9663143936
450.26,9772740608,1093864,655,367886336,9663143936
451.97,9772740608,972297,658,368545792,9663143936
453.68,9772740608,943954,655,369213440,9663143936
455.40,9772740608,1323260,682,370061312,9663143936
457.12,9772740608,1246566,668,370413568,9663143936
458.82,9772740608,1135522,658,371154944,9663143936
460.54,9772740608,1037549,657,371847168,9663143936
462.26,9772789760,1135537,662,371466240,9663143936
463.98,9772789760,1365335,671,371568640,9663143936
465.69,9772789760,1384037,677,372080640,9663143936
467.41,9772789760,1048796,659,372203520,9663143936
469.14,9772789760,1012200,673,372637696,9663143936
470.86,9772789760,1033581,668,372568064,9663143936
472.58,9772789760,922021,642,373284864,9663143936
474.51,9772789760,979612,624,374427648,9663143936
476.45,9772781568,927693,620,374681600,9663143936
478.16,9772707840,926900,614,375590912,9663143936
479.87,9772707840,823024,605,376651776,9663143936
481.60,9772707840,740554,602,377700352,9663143936
483.30,9772707840,876960,610,378183680,9663143936
485.02,9772707840,1070575,663,378376192,9663143936
486.88,9772707840,953839,639,379912192,9663143936
488.73,9772707840,1026051,634,380456960,9663143936
490.49,9772707840,814531,626,380915712,9663143936
492.21,9772691456,643110,615,381620224,9663143936
493.92,9772425216,622865,592,382185472,9663143936
495.64,9772425216,726476,593,382963712,9663143936
497.38,9772425216,624016,577,383733760,9663143936
499.10,9772425216,431576,574,385200128,9663143936
500.83,9772425216,406700,600,386510848,9663143936
502.55,9772425216,845815,644,387473408,9663143936
504.28,9772425216,877565,642,384528384,9663143936
506.01,9772425216,854378,654,384458752,9663143936
507.72,9772425216,1173961,676,383782912,9663143936
509.45,9772425216,1122493,661,383574016,9663143936
511.18,9772425216,982662,661,384360448,9663143936
512.91,9772429312,1194397,680,384962560,9663143936
514.64,9772429312,1072854,648,385929216,9663143936
516.37,9772429312,890754,649,386658304,9663143936
518.09,9772429312,913914,649,387661824,9663143936
519.81,9772429312,992453,663,388947968,9663143936
521.53,9772429312,975104,650,390119424,9663143936
523.25,9772429312,934551,649,390348800,9663143936
524.98,9772437504,999159,645,391147520,9663143936
526.70,9772490752,1085237,658,392343552,9663143936
528.43,9772490752,1363583,678,390922240,9663143936
530.14,9772490752,1260943,663,391196672,9663143936
531.87,9772490752,1061733,667,391712768,9663143936
533.60,9772490752,1063757,657,393068544,9663143936
535.31,9772490752,1361149,674,393723904,9663143936
537.04,9772490752,1177772,651,394027008,9663143936
538.77,9772498944,1176474,662,394522624,9663143936
540.49,9772498944,1112409,652,395046912,9663143936
542.22,9772498944,878367,652,395415552,9663143936
543.94,9772498944,1385167,663,396206080,9663143936
545.66,9772650496,1350007,659,393768960,9663143936
547.44,9772650496,1165315,656,393924608,9663143936
549.17,9772650496,984267,656,394334208,9663143936
550.89,9772650496,1069986,657,395571200,9663143936
552.61,9772650496,1234979,657,396247040,9663143936
554.33,9772650496,1238745,660,395993088,9663143936
556.04,9772650496,1176752,643,397139968,9663143936
557.76,9772650496,1212269,670,397287424,9663143936
559.49,9772724224,1297588,663,396787712,9663143936
561.20,9772736512,1359093,672,397447168,9663143936
562.93,9772744704,1175696,673,398213120,9663143936
564.65,9772789760,1291706,668,398880768,9663143936
566.36,9772789760,1500801,653,399040512,9663143936
568.08,9772789760,1148348,653,399237120,9663143936
569.78,9772851200,1283134,677,399728640,9663143936
571.50,9772851200,1431635,687,400056320,9663143936
573.20,9772851200,1310499,674,400506880,9663143936
574.92,9772851200,1331537,658,400920576,9663143936
576.65,9772851200,1100354,640,401891328,9663143936
578.37,9772851200,1082386,650,401694720,9663143936
580.10,9772826624,1016592,674,401895424,9663143936
581.82,9772756992,918549,673,402382848,9663143936
583.55,9772756992,951828,678,403341312,9663143936
585.27,9772756992,943826,681,403615744,9663143936
586.99,9772756992,786964,673,404467712,9663143936
588.70,9772756992,751965,674,405303296,9663143936
590.42,9772756992,695278,671,405958656,9663143936
592.12,9772756992,1316658,702,407228416,9663143936
593.84,9772756992,1357705,695,407613440,9663143936
595.57,9772756992,1196334,699,408735744,9663143936
597.29,9772584960,1457614,695,409313280,9663143936
599.01,9772584960,1662539,679,409526272,9663143936
600.72,9772584960,1428025,669,410439680,9663143936
602.44,9772503040,1574699,709,409010176,9663143936
604.18,9772421120,1585240,721,409604096,9663143936
605.88,9772261376,1589001,718,410378240,9663143936
607.60,9771999232,1699082,730,410529792,9663143936
609.33,9771925504,1705946,722,410935296,9663143936
611.04,9771773952,1633807,710,411852800,9663143936
612.75,9771823104,1545473,705,412831744,9663143936
614.47,9771823104,1486239,708,413237248,9663143936
616.19,9771880448,1533407,699,413286400,9663143936
617.91,9771880448,1520276,704,414171136,9663143936
619.63,9771880448,1572401,716,414830592,9663143936
621.35,9771880448,1593173,716,414646272,9663143936
623.21,9772007424,1515790,709,414945280,9663143936
624.94,9772007424,1402603,707,415686656,9663143936
626.65,9772007424,1435554,703,417443840,9663143936
628.38,9772011520,1435453,714,418189312,9663143936
630.11,9772011520,1345928,712,420188160,9663143936
631.83,9772011520,1305848,703,421203968,9663143936
633.55,9772032000,1348971,704,421781504,9663143936
635.27,9772032000,1317084,703,422690816,9663143936
637.00,9772032000,1299025,702,422879232,9663143936
638.73,9772208128,1370848,705,423055360,9663143936
640.45,9772208128,1507853,710,422428672,9663143936
