time,rss,small,huge,cached,total
0.00,631848960,427144,823,117026816,2146951168
0.67,634142720,423135,816,117075968,2146951168
2.35,1512624128,238750,461,156823552,2146951168
4.06,2385137664,334995,495,159113216,3220692992
5.84,2548797440,693464,911,161570816,4294434816
7.58,2869661696,592872,838,162500608,4294434816
9.29,3142430720,538371,868,176144384,4294434816
11.02,3146166272,667534,835,177598464,4294434816
12.73,3150409728,567303,821,178462720,4294434816
14.54,3158798336,574070,821,179150848,4294434816
16.25,3163070464,565836,819,179716096,4294434816
17.95,3349721088,479200,730,182431744,4294434816
19.67,3370606592,582335,733,211103744,4294434816
21.39,3383107584,583076,741,213139456,4294434816
23.11,3385290752,574512,740,215752704,4294434816
24.83,3662163968,423757,646,216969216,4294434816
26.55,3666399232,363144,588,218116096,4294434816
28.27,3668508672,295649,570,223764480,4294434816
30.30,3672711168,282454,419,224116736,4294434816
32.03,4176027648,407773,774,224673792,5368176640
33.75,4641595392,325925,538,225832960,5368176640
35.49,4893253632,563370,918,225644544,6441918464
37.21,5094580224,526805,755,227037184,6441918464
38.93,5149106176,609323,727,228847616,6441918464
40.65,5172174848,716261,724,230166528,6441918464
42.39,5178466304,625279,743,230793216,6441918464
44.11,5178490880,661549,748,231292928,6441918464
45.93,5178490880,769660,761,231268352,6441918464
47.66,5178511360,732906,882,231104512,6441918464
49.39,5178515456,834780,894,231391232,6441918464
51.11,5178515456,713256,890,232194048,6441918464
53.35,5178396672,723742,891,232345600,6441918464
55.52,5178208256,835545,883,237301760,6441918464
57.24,5178208256,858485,887,237989888,6441918464
58.99,5178208256,736230,883,239288320,6441918464
60.69,5178208256,804162,879,240128000,6441918464
62.41,5178208256,917078,888,240893952,6441918464
64.14,5178208256,924107,901,242769920,6441918464
65.86,5178220544,816108,901,243003392,6441918464
67.56,5178220544,845473,894,244060160,6441918464
69.29,5178183680,837852,894,246616064,6441918464
71.01,5178216448,789185,892,247898112,6441918464
72.72,5178216448,941624,913,257376256,6441918464
74.42,5178216448,1030975,919,260485120,6441918464
76.14,5178216448,882403,911,262606848,6441918464
77.88,5215965184,841953,891,264482816,6441918464
