time,rss,small,huge,cached,total
1.02,750739456,4044922,7893,76468224,17179336704
1.71,782585856,4044432,7892,82722816,17179336704
3.41,906534912,4013126,7832,95805440,17179336704
5.10,972845056,3996392,7794,100360192,17179336704
6.80,1045069824,3974283,7755,169529344,17179336704
8.52,1108262912,3969152,7742,226717696,17179336704
10.22,1185386496,3941017,7688,298254336,17179336704
11.94,3121631232,3609994,6970,306446336,17179336704
13.69,4427829248,3147927,6134,306446336,17179336704
15.46,4924932096,3026969,5897,306479104,17179336704
17.23,5904314368,2822294,5498,306520064,17179336704
18.98,7101796352,2523454,4916,306569216,17179336704
20.73,7324217344,2442608,4759,306561024,17179336704
22.46,7328423936,2440801,4757,306700288,17179336704
24.21,7332618240,2439555,4754,306700288,17179336704
25.96,7334715392,2439853,4754,306700288,17179336704
27.71,7336816640,2439606,4753,306700288,17179336704
29.45,7359918080,2434444,4744,306700288,17179336704
31.20,7376723968,2428845,4733,306704384,17179336704
32.95,7399792640,2425065,4726,306700288,17179336704
34.69,7424958464,2417634,4712,306700288,17179336704
36.43,7443836928,2413231,4704,306692096,17179336704
38.17,7469006848,2407001,4692,306700288,17179336704
39.92,7498366976,2400393,4679,306835456,17179336704
41.66,7515152384,2394289,4668,306823168,17179336704
43.41,7550758912,2386484,4652,306962432,17179336704
45.15,7603175424,2374514,4629,306962432,17179336704
46.88,7640924160,2363496,4608,306950144,17179336704
48.64,7726923776,2353108,4588,306962432,17179336704
50.38,7806615552,2322805,4529,307306496,17179336704
52.13,7812907008,2321611,4527,307306496,17179336704
53.89,7873724416,2310705,4505,307691520,17179336704
55.65,7896793088,2300885,4486,307965952,17179336704
57.38,7896793088,2300688,4485,308428800,17179336704
59.14,7951405056,2288907,4463,308994048,17179336704
60.89,7957696512,2285631,4457,309116928,17179336704
62.63,7959863296,2284434,4455,309100544,17179336704
64.37,7959863296,2284718,4455,309108736,17179336704
66.10,7963959296,2284450,4455,309207040,17179336704
67.85,7970250752,2282686,4451,309297152,17179336704
69.59,7974445056,2281300,4449,309305344,17179336704
71.33,7974445056,2281529,4448,309305344,17179336704
73.08,7978639360,2282146,4448,309305344,17179336704
74.82,8031068160,2269738,4426,309317632,17179336704
76.58,8085594112,2255570,4399,309604352,17179336704
78.32,8089788416,2253123,4394,309641216,17179336704
80.05,8089788416,2253196,4393,309649408,17179336704
81.81,8094011392,2252188,4392,309649408,17179336704
83.55,8096108544,2251892,4391,309641216,17179336704
85.29,8096108544,2251317,4390,309649408,17179336704
87.03,8114982912,2248440,4384,309813248,17179336704
88.78,8127565824,2244352,4376,309886976,17179336704
90.53,8127565824,2244513,4375,309911552,17179336704
92.28,8127397888,2243323,4375,310050816,17179336704
94.02,8127397888,2245281,4376,310173696,17179336704
95.76,8127397888,2245664,4376,310304768,17179336704
97.50,8129495040,2244281,4375,310304768,17179336704
99.25,8160952320,2239510,4366,310317056,17179336704
100.99,8205029376,2227351,4342,310484992,17179336704
102.73,8213417984,2224075,4336,310501376,17179336704
104.47,8228098048,2222829,4334,310493184,17179336704
106.22,8305692672,2205252,4300,310575104,17179336704
107.96,8328761344,2195676,4281,310648832,17179336704
109.71,8353927168,2190713,4272,310640640,17179336704
111.46,8406499328,2178904,4248,310730752,17179336704
113.21,8469413888,2163854,4219,311107584,17179336704
114.95,8479903744,2158521,4209,311173120,17179336704
116.68,8482000896,2157324,4207,311173120,17179336704
118.43,8482000896,2159375,4207,311173120,17179336704
120.18,8482000896,2158066,4207,311173120,17179336704
121.92,8482000896,2158692,4207,311173120,17179336704
123.66,8484147200,2157495,4207,311173120,17179336704
125.39,8484147200,2157832,4206,311164928,17179336704
127.13,8484147200,2158272,4206,311173120,17179336704
128.87,8484147200,2157454,4206,311173120,17179336704
130.61,8486244352,2156764,4206,311164928,17179336704
132.34,8486244352,2157570,4205,311304192,17179336704
134.10,8486244352,2156817,4205,311304192,17179336704
135.84,8488341504,2157090,4204,311296000,17179336704
137.60,8488345600,2157403,4204,311304192,17179336704
139.34,8488394752,2156458,4204,311304192,17179336704
141.07,8488394752,2157161,4204,311304192,17179336704
142.81,8488394752,2157442,4204,311304192,17179336704
144.56,8486297600,2157862,4205,311304192,17179336704
146.30,8488394752,2156550,4204,311312384,17179336704
148.05,8490500096,2155731,4203,311304192,17179336704
149.78,8490508288,2156042,4203,311435264,17179336704
151.53,8490508288,2156461,4203,311427072,17179336704
153.28,8492605440,2155460,4202,311443456,17179336704
155.02,8492605440,2157264,4202,311435264,17179336704
156.76,8492605440,2156263,4202,311558144,17179336704
158.50,8492605440,2155444,4202,311566336,17179336704
160.23,8492613632,2157408,4202,311578624,17179336704
161.96,8492613632,2156401,4202,311566336,17179336704
163.70,8492613632,2156646,4202,311566336,17179336704
165.44,8492613632,2155893,4202,311566336,17179336704
167.18,8492613632,2157955,4202,311566336,17179336704
168.93,8492613632,2156885,4202,311570432,17179336704
170.68,8492613632,2157539,4202,311566336,17179336704
172.42,8492613632,2157882,4202,311558144,17179336704
174.16,8492613632,2156692,4202,311566336,17179336704
175.92,8492613632,2155817,4202,311578624,17179336704
177.67,8492625920,2156307,4202,311558144,17179336704
179.42,8492625920,2156878,4202,311566336,17179336704
181.15,8492625920,2157364,4202,311566336,17179336704
182.89,8492625920,2156237,4202,311578624,17179336704
184.63,8492630016,2156676,4202,311566336,17179336704
186.37,8492630016,2157095,4202,311566336,17179336704
188.12,8494727168,2157311,4202,311631872,17179336704
189.86,8494727168,2156065,4201,311631872,17179336704
191.61,8494727168,2156405,4201,311631872,17179336704
193.34,8494727168,2157254,4201,311623680,17179336704
195.08,8494727168,2156057,4201,311762944,17179336704
196.81,8494727168,2156515,4201,311762944,17179336704
198.56,8494727168,2157092,4201,311754752,17179336704
200.30,8494727168,2157199,4201,312012800,17179336704
202.04,8494727168,2157550,4201,312008704,17179336704
203.79,8494731264,2156416,4201,312000512,17179336704
205.53,8494731264,2155164,4201,312008704,17179336704
207.28,8511508480,2157116,4201,312016896,17179336704
209.02,8511508480,2156324,4193,312184832,17179336704
210.77,8511508480,2155456,4193,312184832,17179336704
212.51,8509411328,2157499,4194,312184832,17179336704
214.25,8509411328,2156309,4194,312328192,17179336704
215.98,8509411328,2156903,4194,312315904,17179336704
217.73,8526217216,2156158,4186,312315904,17179336704
219.47,8526217216,2156786,4186,312307712,17179336704
221.20,8526217216,2156785,4186,312324096,17179336704
222.94,8526217216,2157134,4186,312315904,17179336704
224.69,8526217216,2157551,4186,312307712,17179336704
226.44,8526221312,2156298,4186,312315904,17179336704
228.18,8543014912,2155916,4177,312315904,17179336704
229.92,8543019008,2154846,4177,312315904,17179336704
231.66,8543019008,2155350,4178,312315904,17179336704
233.41,8543019008,2157620,4178,312315904,17179336704
235.17,8543019008,2156683,4178,312315904,17179336704
236.90,8543019008,2156630,4178,312315904,17179336704
238.64,8559796224,2154819,4169,312381440,17179336704
240.39,8559796224,2155724,4169,312373248,17179336704
242.13,8559796224,2155234,4169,312381440,17179336704
243.89,8559796224,2157200,4170,312520704,17179336704
245.64,8559796224,2156451,4170,312504320,17179336704
247.38,8559796224,2157168,4170,312512512,17179336704
249.11,8576573440,2155196,4161,312512512,17179336704
250.85,8576573440,2154000,4161,312635392,17179336704
252.60,8576573440,2156079,4161,312643584,17179336704
254.34,8576573440,2155135,4161,312643584,17179336704
256.07,8576573440,2155335,4161,312774656,17179336704
257.81,8576573440,2155715,4161,312774656,17179336704
259.54,8593362944,2155581,4153,312774656,17179336704
261.29,8593375232,2155204,4153,312778752,17179336704
263.04,8593375232,2155807,4153,312774656,17179336704
264.78,8593375232,2154933,4153,312774656,17179336704
266.52,8593375232,2154877,4153,312766464,17179336704
268.28,8593375232,2153687,4153,312786944,17179336704
270.01,8610152448,2153993,4145,312774656,17179336704
271.75,8610152448,2153118,4145,312766464,17179336704
273.49,8610152448,2152173,4145,312774656,17179336704
275.22,8610152448,2153275,4145,312909824,17179336704
276.96,8610152448,2151959,4145,312905728,17179336704
278.70,8626929664,2152639,4145,312905728,17179336704
280.44,8626929664,2153089,4137,312905728,17179336704
282.18,8626929664,2151591,4137,312897536,17179336704
283.91,8626929664,2151563,4137,312913920,17179336704
285.65,8626929664,2151265,4137,312905728,17179336704
287.40,8626929664,2150576,4137,312897536,17179336704
289.12,8649056256,2150415,4137,313036800,17179336704
290.84,8649056256,2148863,4130,313036800,17179336704
292.59,8651153408,2146672,4129,313028608,17179336704
294.32,8651153408,2146486,4129,313036800,17179336704
296.06,8651153408,2144484,4129,313036800,17179336704
297.80,8651153408,2142972,4129,313028608,17179336704
299.56,8666451968,2141994,4124,313036800,17179336704
301.28,8666451968,2141381,4124,313176064,17179336704
303.03,8666451968,2140781,4124,313167872,17179336704
