time,rss,small,huge,cached,total
1.26,738848768,4053587,7901,75530240,17179336704
1.94,759889920,4052630,7900,82944000,17179336704
3.64,879419392,4020888,7844,95371264,17179336704
5.33,940822528,4005914,7812,98635776,17179336704
7.02,1015037952,3984723,7773,169873408,17179336704
8.71,1143615488,3976977,7757,297795584,17179336704
10.39,1202335744,3951602,7706,297787392,17179336704
12.19,3342249984,3617826,6936,304709632,17179336704
13.95,4569317376,3174260,6184,306188288,17179336704
15.74,4955275264,3034060,5896,306188288,17179336704
17.48,5985005568,2831819,5499,306180096,17179336704
19.22,7048261632,2551433,4957,306298880,17179336704
20.96,7320891392,2447662,4763,306298880,17179336704
22.71,7322988544,2447439,4762,306429952,17179336704
24.44,7322988544,2447327,4762,306429952,17179336704
26.18,7322988544,2447243,4762,306429952,17179336704
27.95,7325093888,2447194,4762,306421760,17179336704
29.69,7350259712,2441643,4753,306429952,17179336704
31.44,7371231232,2434832,4741,306429952,17179336704
33.19,7381725184,2430956,4734,306446336,17179336704
34.94,7413248000,2423750,4721,306462720,17179336704
36.67,7432122368,2419953,4713,306487296,17179336704
38.42,7457333248,2414324,4701,306479104,17179336704
40.16,7488790528,2407371,4688,306487296,17179336704
41.91,7505567744,2401216,4676,306495488,17179336704
43.65,7545397248,2393117,4660,306618368,17179336704
45.40,7593603072,2380968,4636,306618368,17179336704
47.18,7637643264,2370176,4615,306618368,17179336704
48.95,7711092736,2363192,4602,306667520,17179336704
50.69,7797075968,2329531,4538,306962432,17179336704
52.42,7799173120,2329526,4537,306962432,17179336704
54.18,7866281984,2318721,4516,307109888,17179336704
55.93,7887253504,2307631,4494,307765248,17179336704
57.68,7901933568,2305575,4490,308178944,17179336704
59.42,7943757824,2295380,4471,308375552,17179336704
61.16,7947952128,2293037,4465,308764672,17179336704
62.91,7947952128,2292910,4465,308895744,17179336704
64.63,7950049280,2292880,4465,308912128,17179336704
66.36,7956340736,2291722,4463,308944896,17179336704
68.11,7960535040,2290503,4460,309092352,17179336704
69.85,7960555520,2290489,4459,309100544,17179336704
71.60,7960506368,2290483,4459,309092352,17179336704
73.35,7973089280,2287665,4454,309092352,17179336704
75.09,8036003840,2274704,4429,309178368,17179336704
76.85,8082141184,2261454,4403,309436416,17179336704
78.60,8082141184,2261416,4402,309436416,17179336704
80.34,8080052224,2261422,4402,309436416,17179336704
82.09,8080052224,2261084,4402,309436416,17179336704
83.83,8084246528,2260221,4400,309444608,17179336704
85.57,8092545024,2258270,4397,309485568,17179336704
87.31,8107225088,2255353,4391,309501952,17179336704
89.05,8115613696,2252570,4385,309698560,17179336704
90.78,8115613696,2252530,4385,309698560,17179336704
92.53,8115589120,2252490,4385,309837824,17179336704
94.28,8115589120,2252515,4385,309829632,17179336704
96.02,8115589120,2252498,4385,309829632,17179336704
97.76,8126074880,2250131,4381,309960704,17179336704
99.51,8161726464,2243515,4367,310018048,17179336704
101.24,8205721600,2233420,4347,310042624,17179336704
102.98,8205721600,2231222,4343,310157312,17179336704
104.73,8232984576,2224036,4330,310194176,17179336704
106.47,8297971712,2212991,4309,310226944,17179336704
108.22,8329428992,2201014,4285,310304768,17179336704
109.97,8360886272,2194515,4272,310321152,17179336704
111.71,8419540992,2182942,4249,310452224,17179336704
113.46,8467775488,2167493,4219,310566912,17179336704
115.20,8471969792,2165826,4215,310697984,17179336704
116.95,8471969792,2165863,4215,310697984,17179336704
118.71,8471969792,2165878,4215,310829056,17179336704
120.45,8472064000,2165845,4215,310829056,17179336704
122.21,8471982080,2165840,4215,310829056,17179336704
123.95,8471982080,2165841,4215,310829056,17179336704
125.70,8471982080,2165812,4215,310845440,17179336704
127.43,8471982080,2165765,4215,310845440,17179336704
129.16,8471982080,2165809,4215,310857728,17179336704
130.89,8471982080,2165795,4215,310861824,17179336704
132.62,8471912448,2165800,4215,310857728,17179336704
134.37,8471912448,2165795,4215,310857728,17179336704
136.11,8471912448,2165786,4215,310923264,17179336704
137.84,8471912448,2165744,4215,310931456,17179336704
139.58,8471912448,2165673,4215,311054336,17179336704
141.31,8471912448,2165719,4215,311054336,17179336704
143.05,8471912448,2165731,4215,311054336,17179336704
144.79,8471912448,2165684,4215,311185408,17179336704
146.54,8471912448,2165696,4215,311193600,17179336704
148.27,8471851008,2165648,4215,311185408,17179336704
150.01,8471851008,2165671,4215,311185408,17179336704
151.74,8471851008,2165667,4215,311185408,17179336704
153.49,8471851008,2165667,4215,311185408,17179336704
155.24,8471851008,2165647,4215,311185408,17179336704
156.98,8471851008,2165664,4215,311185408,17179336704
158.71,8471851008,2165649,4215,311185408,17179336704
160.46,8471851008,2165640,4215,311185408,17179336704
162.20,8471851008,2165632,4215,311185408,17179336704
163.94,8471851008,2165640,4215,311185408,17179336704
