time,rss,small,huge,cached,total
0.00,774537216,4027281,7846,130273280,17179336704
0.68,846790656,4026351,7846,130285568,17179336704
2.36,1622724608,3860255,7532,170201088,17179336704
4.46,2250145792,3719706,7246,172736512,17179336704
6.21,2063040512,3743905,7091,174436352,17179336704
7.99,1970995200,3789280,7104,189259776,17179336704
9.75,2040967168,3694069,7088,189325312,17179336704
13.74,2173042688,3660122,7031,189755392,17179336704
15.54,1931018240,3748129,7035,191053824,17179336704
17.34,2422321152,3643615,7023,191733760,17179336704
19.09,2481360896,3679173,7031,192507904,17179336704
20.84,2211770368,3723499,6975,193040384,17179336704
22.64,2510331904,3560912,6948,194322432,17179336704
24.41,2211127296,3641205,6939,212013056,17179336704
26.13,2131734528,3707537,6944,224006144,17179336704
28.25,2402725888,3603106,6933,224329728,17179336704
30.78,2769977344,3600187,6936,227340288,17179336704
32.70,2456633344,3628314,6899,229175296,17179336704
34.51,2917404672,3567123,6898,230846464,17179336704
36.23,3290066944,3467184,6764,231370752,17179336704
38.23,3242811392,3401235,6527,231510016,17179336704
39.95,4133941248,3251164,6342,237531136,17179336704
41.66,4012658688,3280436,6266,238510080,17179336704
43.38,4301455360,3208415,6172,238989312,17179336704
45.12,4387848192,3194536,6080,240005120,17179336704
46.86,4840288256,3066480,5887,240656384,17179336704
48.60,4277628928,3201282,5887,242262016,17179336704
50.32,4375998464,3117201,5874,243240960,17179336704
52.03,3734503424,3359146,5872,243712000,17179336704
53.85,4542361600,3161132,5861,244715520,17179336704
55.55,4372213760,3178895,5861,245088256,17179336704
57.41,3990122496,3199591,5855,244838400,17179336704
59.15,3922337792,3262104,5853,244359168,17179336704
60.86,3514966016,3383454,5854,244969472,17179336704
62.60,3674316800,3310142,5867,245309440,17179336704
64.33,3965071360,3300549,5857,245682176,17179336704
66.10,3496304640,3396599,5859,250122240,17179336704
67.93,3294396416,3436959,5847,251559936,17179336704
70.02,3271622656,3454332,5857,252067840,17179336704
73.07,3553357824,3386320,5849,252731392,17179336704
75.30,3616530432,3388892,5847,253739008,17179336704
77.12,3221680128,3429835,5838,253792256,17179336704
79.07,3290030080,3395189,5834,254701568,17179336704
80.98,3164606464,3473080,5835,255262720,17179336704
82.72,3694153728,3347997,5833,256208896,17179336704
85.15,3050733568,3502478,5821,256503808,17179336704
87.01,3544363008,3353948,5820,257552384,17179336704
88.72,3287855104,3460740,5825,260513792,17179336704
90.69,3527254016,3355830,5812,261234688,17179336704
92.68,3676139520,3322703,5812,262213632,17179336704
94.43,3056648192,3589702,5834,264830976,17179336704
96.20,3481964544,3427180,5824,271372288,17179336704
97.92,3138506752,3503745,5841,273973248,17179336704
99.64,3739246592,3362243,5819,276373504,17179336704
101.37,3382636544,3411274,5817,279048192,17179336704
103.09,3682238464,3328269,5794,280670208,17179336704
104.82,3476541440,3396949,5786,282398720,17179336704
106.54,3486584832,3428846,5755,282251264,17179336704
110.78,4617990144,3153486,5747,282660864,17179336704
112.51,4560764928,3130838,5766,282615808,17179336704
114.68,5007667200,3026605,5747,283316224,17179336704
116.79,4486483968,3092632,5729,283488256,17179336704
118.56,5177114624,3002770,5683,285061120,17179336704
121.38,5817638912,2839876,5539,286142464,17179336704
123.42,4729573376,3077913,5395,286687232,17179336704
125.28,4290129920,3212819,5417,286048256,17179336704
127.06,4647002112,3057224,5408,286973952,17179336704
128.80,4789272576,3091608,5421,287232000,17179336704
130.53,4697784320,3066113,5416,288276480,17179336704
132.93,4049055744,3199304,5420,288206848,17179336704
134.66,4388495360,3143552,5439,288206848,17179336704
136.41,3995557888,3398785,5487,289755136,17179336704
138.35,4517941248,3158969,5459,290127872,17179336704
140.07,3863355392,3312499,5446,290099200,17179336704
141.98,4132667392,3268752,5461,290623488,17179336704
143.72,4146917376,3269426,5450,291102720,17179336704
145.43,4105216000,3255855,5457,291663872,17179336704
147.19,4628275200,3124236,5441,292003840,17179336704
148.97,4459560960,3171006,5442,294420480,17179336704
150.75,4122468352,3256019,5429,295284736,17179336704
152.71,4083204096,3235496,5415,296128512,17179336704
154.46,4856328192,3089233,5409,296865792,17179336704
156.19,5027196928,3026516,5392,296796160,17179336704
157.93,5048782848,2997390,5413,296312832,17179336704
159.70,5325021184,2902662,5420,296722432,17179336704
161.46,5891207168,2823722,5413,297627648,17179336704
163.19,5601886208,2890788,5386,298528768,17179336704
164.95,4564426752,3105966,5380,299323392,17179336704
166.75,4255985664,3145757,5347,299831296,17179336704
168.49,4613664768,3159378,5367,299532288,17179336704
170.24,4855517184,3079852,5365,299925504,17179336704
171.99,5393764352,2951411,5358,300539904,17179336704
173.72,5078388736,3072048,5375,300195840,17179336704
175.51,4793376768,3145133,5374,300494848,17179336704
177.30,4820586496,3105483,5352,300474368,17179336704
179.05,5107564544,3021176,5360,300572672,17179336704
180.82,4931915776,3073396,5354,301035520,17179336704
182.69,4244127744,3178927,5341,301342720,17179336704
184.49,4665962496,3151141,5341,301641728,17179336704
186.22,5631721472,2884303,5334,301887488,17179336704
187.95,5211443200,2932873,5337,302563328,17179336704
190.65,4984963072,3061934,5346,303009792,17179336704
193.10,5767360512,2812880,5328,303001600,17179336704
194.87,5425491968,2905404,5342,303480832,17179336704
196.70,5540237312,2909184,5324,303804416,17179336704
198.43,5457088512,2928530,5331,304357376,17179336704
200.23,5700669440,2863112,5329,304562176,17179336704
201.98,5107179520,3034626,5322,304795648,17179336704
203.71,4876378112,3014668,5322,305319936,17179336704
205.54,4809408512,3062874,5331,305647616,17179336704
207.38,3947606016,3377583,5358,305340416,17179336704
209.19,4462215168,3197503,5357,305545216,17179336704
210.96,4048302080,3290752,5366,305541120,17179336704
213.38,4661084160,3131637,5354,305639424,17179336704
215.42,5407858688,2950599,5353,305704960,17179336704
217.13,5758820352,2855748,5356,305889280,17179336704
218.87,5738577920,2854617,5345,306524160,17179336704
220.64,5668458496,2860888,5349,306937856,17179336704
222.60,4959801344,3022993,5351,307785728,17179336704
224.38,4583526400,3090020,5336,308477952,17179336704
226.24,4748271616,3073861,5331,308379648,17179336704
227.98,5117120512,3036295,5356,308256768,17179336704
229.79,5171343360,2984145,5355,308195328,17179336704
231.92,4828016640,3106897,5344,308441088,17179336704
233.77,4886011904,3141713,5362,308772864,17179336704
235.63,5297266688,2971400,5347,309493760,17179336704
237.39,5428973568,2949021,5340,309956608,17179336704
239.61,5833445376,2789424,5321,310161408,17179336704
241.38,5084942336,3076962,5323,310390784,17179336704
243.17,4957913088,3068933,5347,310620160,17179336704
244.93,5099859968,3035315,5341,310988800,17179336704
246.71,5603901440,2828561,5338,311484416,17179336704
248.45,5537755136,2891987,5333,311558144,17179336704
250.26,5634359296,2890566,5328,311758848,17179336704
252.06,5486833664,2908911,5325,312561664,17179336704
254.66,5854179328,2839291,5332,313094144,17179336704
257.70,6144061440,2729022,5323,313737216,17179336704
259.42,5570805760,2823458,5275,313667584,17179336704
261.16,5470937088,2923695,5268,314085376,17179336704
262.88,5770735616,2856921,5277,314720256,17179336704
264.65,5412913152,2788717,5267,314400768,17179336704
267.46,4600446976,3111321,5274,314564608,17179336704
269.25,4943323136,3048903,5277,314531840,17179336704
271.00,5249064960,2914400,5273,315183104,17179336704
273.83,5030432768,3049296,5276,315482112,17179336704
275.96,4555997184,3130622,5281,315445248,17179336704
278.17,4798017536,3097908,5275,315502592,17179336704
279.89,5076017152,3021794,5262,315670528,17179336704
281.62,5668442112,2827693,5258,316436480,17179336704
