time,rss,small,huge,cached,total
0.00,899948544,4028098,7850,123437056,17179336704
0.67,862658560,4027342,7849,123437056,17179336704
2.35,1773465600,3841378,7496,163471360,17179336704
4.08,2382811136,3688043,7195,165421056,17179336704
5.87,2422931456,3745698,7089,167952384,17179336704
7.64,2425118720,3721782,7095,182255616,17179336704
9.38,2618101760,3642034,7085,182657024,17179336704
11.11,2613866496,3751591,6992,183726080,17179336704
12.84,2624413696,3637884,6991,184733696,17179336704
14.58,2637041664,3654980,6988,185753600,17179336704
16.29,2651754496,3636670,6978,186658816,17179336704
18.24,2691604480,3672454,6966,189120512,17179336704
20.00,2664198144,3731204,6974,215900160,17179336704
21.71,2655510528,3669978,6971,219709440,17179336704
23.44,2770903040,3656523,6913,222117888,17179336704
25.53,2995306496,3542652,6812,223383552,17179336704
27.25,3219869696,3476269,6704,224526336,17179336704
28.99,3456860160,3424277,6588,230178816,17179336704
31.24,3937107968,3365281,6365,230748160,17179336704
32.96,4379607040,3190747,6224,231075840,17179336704
34.81,4497047552,3176838,6103,232099840,17179336704
36.54,4497096704,3159529,6091,233209856,17179336704
38.25,4650188800,3097394,6041,234504192,17179336704
39.98,4658589696,3167620,6016,235081728,17179336704
41.70,4723630080,3096240,6010,236937216,17179336704
43.43,4757164032,3326870,5972,237711360,17179336704
45.17,4767649792,3152697,5966,237588480,17179336704
46.90,4778213376,3249974,5958,237645824,17179336704
48.63,4778213376,3290928,5965,237490176,17179336704
50.37,4767727616,3260945,5963,237936640,17179336704
52.11,4761436160,3234567,5966,238166016,17179336704
53.88,4763549696,3264511,5969,239042560,17179336704
55.80,4776230912,3405054,5953,244125696,17179336704
57.67,4784738304,3441914,5956,245313536,17179336704
59.90,4784738304,3369333,5960,246091776,17179336704
62.02,4788936704,3447374,5959,246214656,17179336704
63.75,4784742400,3434294,5957,247943168,17179336704
65.47,4791037952,3414975,5965,248979456,17179336704
67.19,4803620864,3475299,5958,249393152,17179336704
68.89,4805722112,3405258,5952,249946112,17179336704
70.62,4793143296,3458522,5956,253587456,17179336704
72.33,4751249408,3507992,5968,262664192,17179336704
74.18,4770119680,3601870,5967,266813440,17179336704
75.90,4791091200,3545427,5968,266715136,17179336704
77.63,4843524096,3562195,5957,269332480,17179336704
79.35,4898058240,3582118,5921,271400960,17179336704
81.08,4902260736,3295299,5900,271851520,17179336704
82.81,5074370560,3019878,5890,272392192,17179336704
84.54,5183422464,3003218,5776,273149952,17179336704
86.26,5374263296,3220604,5677,273317888,17179336704
87.98,5458153472,3145971,5636,273838080,17179336704
89.72,5504290816,2909962,5632,275546112,17179336704
91.46,5529456640,3124675,5602,276758528,17179336704
93.17,5529448448,3044951,5613,276086784,17179336704
94.90,5586071552,2882016,5618,276615168,17179336704
96.60,5682540544,3246547,5552,277921792,17179336704
98.36,5640597504,3108855,5552,279937024,17179336704
100.09,5539934208,3325084,5607,279535616,17179336704
101.82,5571391488,3259566,5583,279175168,17179336704
103.56,5590265856,3234427,5571,280137728,17179336704
105.27,5592363008,3221867,5579,280346624,17179336704
107.00,5588172800,3239296,5570,280928256,17179336704
108.74,5592375296,3204464,5578,282206208,17179336704
110.45,5600763904,3105287,5566,284205056,17179336704
112.17,5638230016,3230802,5550,285421568,17179336704
114.65,5638201344,3148994,5551,286060544,17179336704
116.37,5633970176,2897740,5548,286425088,17179336704
118.07,5621358592,2889617,5530,286081024,17179336704
119.88,5650726912,2938730,5562,286470144,17179336704
121.60,5621366784,3058219,5568,287838208,17179336704
123.57,5636050944,2941126,5553,288464896,17179336704
125.31,5631856640,3046079,5555,289165312,17179336704
127.04,5652828160,3130969,5564,289640448,17179336704
128.79,5617201152,3109632,5559,289656832,17179336704
