time,rss,small,huge,cached,total
0.00,947408896,4026055,7848,123699200,17179336704
0.67,950091776,4024478,7845,123699200,17179336704
2.36,1801666560,3834559,7483,163086336,17179336704
4.12,2366418944,3668885,7158,166023168,17179336704
6.19,2452615168,3744442,7083,168120320,17179336704
7.92,2467569664,3649304,7075,183226368,17179336704
9.66,2671128576,3622626,7062,182931456,17179336704
11.73,2694234112,3733132,6969,184348672,17179336704
13.45,2694422528,3649364,6965,184774656,17179336704
15.17,2694488064,3614420,6969,186003456,17179336704
16.89,2694524928,3650515,6962,186638336,17179336704
18.61,2727997440,3616758,6948,189165568,17179336704
20.33,2738511872,3697010,6961,217677824,17179336704
22.46,2740621312,3682155,6949,218288128,17179336704
24.49,2742673408,3630875,6962,221712384,17179336704
26.20,2933526528,3520987,6869,223084544,17179336704
27.91,3290058752,3444214,6719,224428032,17179336704
29.64,3715858432,3373468,6554,225591296,17179336704
31.37,3913027584,3294658,6385,231108608,17179336704
33.10,4210794496,3278793,6238,231895040,17179336704
35.28,4464521216,3145175,6132,232169472,17179336704
37.20,4638552064,3137750,6115,233521152,17179336704
39.07,4814712832,3161603,5950,233926656,17179336704
40.81,4816809984,3139529,5953,235544576,17179336704
42.53,4827299840,3102685,5943,236843008,17179336704
44.24,4831457280,3261898,5944,237563904,17179336704
45.95,4831416320,3138701,5945,237834240,17179336704
47.68,4831379456,3201095,5952,238657536,17179336704
49.39,4844011520,3293586,5941,238010368,17179336704
51.11,4844011520,3246780,5938,238247936,17179336704
52.83,4844077056,3265195,5942,238931968,17179336704
54.54,4844077056,3267952,5946,238878720,17179336704
56.25,4844220416,3272520,5942,244568064,17179336704
58.03,4844220416,3406305,5940,245698560,17179336704
59.74,4852609024,3358075,5933,246128640,17179336704
61.46,4856803328,3344402,5936,247271424,17179336704
63.34,4856827904,3418460,5932,247431168,17179336704
65.21,4856836096,3471090,5942,248643584,17179336704
66.91,4856836096,3408501,5931,249733120,17179336704
68.64,4858937344,3468074,5929,250408960,17179336704
70.37,4873625600,3442234,5937,253210624,17179336704
72.10,4873625600,3630734,5954,257953792,17179336704
73.80,4873625600,3519507,5954,263680000,17179336704
75.51,4873625600,3519230,5942,267583488,17179336704
77.23,4873736192,3463306,5936,269201408,17179336704
78.93,4884221952,3360042,5918,271060992,17179336704
80.66,4942942208,3313527,5887,272973824,17179336704
82.37,4953493504,3249676,5893,273240064,17179336704
84.09,4955582464,3052638,5889,273997824,17179336704
85.80,5161136128,3014433,5785,274452480,17179336704
87.51,5194690560,3116005,5770,274395136,17179336704
89.23,5265838080,3051827,5743,276123648,17179336704
90.95,5500719104,2998139,5630,277049344,17179336704
92.66,5525884928,3128271,5608,277520384,17179336704
94.38,5527982080,3047525,5636,277905408,17179336704
96.09,5534273536,3107517,5646,278245376,17179336704
97.82,5536337920,3140810,5642,279511040,17179336704
99.54,5536337920,3171344,5674,279183360,17179336704
101.27,5536346112,3224520,5705,280485888,17179336704
103.00,5536350208,3166329,5686,281104384,17179336704
104.76,5536350208,3432181,5692,281354240,17179336704
106.48,5536354304,3262919,5679,281223168,17179336704
108.30,5536354304,3290673,5677,281739264,17179336704
