time,rss,small,huge,cached,total
0.00,918695936,4034822,7858,124076032,17179336704
0.67,948101120,4033156,7857,124088320,17179336704
2.35,1788354560,3868241,7535,163848192,17179336704
4.08,2321285120,3719426,7207,166621184,17179336704
5.93,2474848256,3721426,7088,168316928,17179336704
7.64,2571460608,3742736,7051,182947840,17179336704
9.38,2745659392,3666458,7020,183439360,17179336704
11.10,2812858368,3748813,6928,184188928,17179336704
12.87,2976440320,3637145,6911,185151488,17179336704
14.61,2984828928,3654908,6835,186580992,17179336704
16.33,2993221632,3737816,6921,187092992,17179336704
18.05,3213422592,3566294,6836,187752448,17179336704
19.80,3043368960,3754792,6845,216354816,17179336704
21.56,3076972544,3699757,6957,219668480,17179336704
23.31,3240689664,3694506,6838,222892032,17179336704
25.02,3179790336,3573884,6748,223404032,17179336704
26.73,3391606784,3448969,6651,224886784,17179336704
28.46,3884437504,3309671,6401,235810816,17179336704
30.20,4089888768,3331889,6308,231051264,17179336704
31.91,4435939328,3211292,6140,232394752,17179336704
33.65,4473688064,3227286,6123,233689088,17179336704
35.38,4870049792,3058879,5929,234147840,17179336704
37.11,4870066176,3170669,5928,234930176,17179336704
38.83,4878454784,3144448,5928,236580864,17179336704
40.60,4953952256,3329517,5919,237694976,17179336704
42.33,4985409536,3198318,5909,238157824,17179336704
44.06,4974923776,3173080,5880,238067712,17179336704
45.78,5021065216,3261548,5897,238399488,17179336704
47.50,5060911104,3219325,5897,239296512,17179336704
49.23,4607926272,3237699,6056,239165440,17179336704
50.96,4647714816,3344029,6071,239124480,17179336704
52.71,4647649280,3343451,6069,240209920,17179336704
54.43,4609699840,3410816,6057,245846016,17179336704
56.14,4609699840,3373417,6055,246403072,17179336704
57.88,4609839104,3339546,6059,247447552,17179336704
59.59,4599353344,3439046,6063,248475648,17179336704
61.31,4632907776,3494704,6063,249753600,17179336704
63.05,4632907776,3376598,6059,250224640,17179336704
64.78,4605661184,3446493,6061,251023360,17179336704
66.52,4607758336,3451732,6066,254222336,17179336704
68.26,4618244096,3562471,6477,260513792,17179336704
69.99,3729133568,3647234,6482,266670080,17179336704
71.74,3750113280,3478177,6510,268439552,17179336704
73.46,3752247296,3462995,6497,270553088,17179336704
75.17,3748052992,3532388,6475,271618048,17179336704
76.91,4054503424,3345130,6425,272912384,17179336704
78.63,4828430336,3098570,6020,273534976,17179336704
80.36,5214306304,2986599,5801,274550784,17179336704
82.08,5289803776,3214217,5747,273936384,17179336704
83.81,5373726720,3041147,5691,274841600,17179336704
85.54,5390503936,2992424,5688,276291584,17179336704
87.27,5390503936,3126614,5693,277151744,17179336704
89.01,5382152192,3078916,5682,277639168,17179336704
90.73,5415706624,2938989,5674,278212608,17179336704
92.44,5596065792,3172255,5625,279023616,17179336704
94.16,5466042368,3309376,5650,278487040,17179336704
95.89,5499596800,3304580,5680,280113152,17179336704
97.66,5522665472,3241193,5667,281026560,17179336704
99.39,5329768448,3265022,5707,281235456,17179336704
101.10,5407330304,3283895,6057,281382912,17179336704
102.83,5445025792,3225029,6057,281894912,17179336704
104.56,4681662464,3232319,6016,282763264,17179336704
106.28,4748550144,3223060,5997,285106176,17179336704
107.99,5031665664,3188456,5872,285794304,17179336704
109.73,5037961216,3244379,5852,287158272,17179336704
111.47,5383991296,2960268,5725,287592448,17179336704
113.20,5530791936,3070575,5644,286859264,17179336704
114.92,5482557440,2997523,5644,287453184,17179336704
116.64,5717438464,2955777,5539,288641024,17179336704
118.37,5721526272,3020918,5525,289751040,17179336704
120.09,5719375872,3059464,5524,290181120,17179336704
121.81,5742379008,3278326,5533,290316288,17179336704
123.53,5752864768,3150398,5524,290783232,17179336704
125.26,5744476160,2990366,5531,291278848,17179336704
126.98,6050525184,2936878,5449,290615296,17179336704
128.74,6052560896,3049189,5437,291012608,17179336704
130.47,5928796160,2960432,5445,291540992,17179336704
132.20,5939204096,3070542,5441,292200448,17179336704
133.93,6000021504,3153308,5432,292098048,17179336704
135.64,5937123328,3013761,5427,292634624,17179336704
137.36,5953748992,2938523,5430,293433344,17179336704
139.10,5924388864,2900760,5415,293838848,17179336704
140.86,5995692032,3054345,5422,294240256,17179336704
142.56,6037635072,2864520,5414,294703104,17179336704
144.27,6083792896,2789932,5364,295419904,17179336704
146.01,6176067584,2915280,5344,295809024,17179336704
147.72,6285119488,3383931,5391,294932480,17179336704
149.44,6016684032,3130643,5379,295440384,17179336704
