time,rss,small,huge,cached,total
0.00,944832512,4034380,7856,129601536,17179336704
0.68,880005120,4030979,7847,129613824,17179336704
2.36,1749151744,3864752,7530,168394752,17179336704
4.11,2336989184,3713472,7175,171597824,17179336704
5.92,2450284544,3719878,7092,174268416,17179336704
7.63,2544730112,3698392,7060,188821504,17179336704
9.36,2691534848,3653365,7061,188731392,17179336704
11.09,2605555712,3764119,7020,190242816,17179336704
12.81,2718744576,3630726,6995,191188992,17179336704
14.54,2771099648,3664833,6992,191614976,17179336704
16.27,2657853440,3667488,6988,192393216,17179336704
17.99,2999689216,3656566,6831,195330048,17179336704
19.70,3016355840,3672133,6839,224161792,17179336704
21.43,2687148032,3659566,7024,225820672,17179336704
23.15,2926272512,3682220,6865,228458496,17179336704
24.87,3062636544,3554677,6806,229679104,17179336704
26.61,3542896640,3426255,6634,230162432,17179336704
28.33,3796652032,3341830,6500,231219200,17179336704
30.05,4000251904,3326839,6364,237342720,17179336704
31.78,4348379136,3224669,6200,238219264,17179336704
33.58,4870590464,3176750,5937,239312896,17179336704
35.30,4876881920,3145787,5929,239480832,17179336704
37.01,5021585408,3067215,5911,241004544,17179336704
38.75,5034168320,3176677,5849,243265536,17179336704
40.46,5042556928,3352861,5847,242843648,17179336704
42.18,5059334144,3211729,5845,243978240,17179336704
43.91,5059334144,3224021,5847,243572736,17179336704
45.61,5027868672,3228983,5850,244228096,17179336704
47.34,5036064768,3364350,5990,244359168,17179336704
49.05,5036007424,3301666,5983,244502528,17179336704
50.77,4727681024,3230402,5998,245288960,17179336704
52.49,4727476224,3375987,6001,249651200,17179336704
54.24,4748451840,3391671,5996,251146240,17179336704
55.97,4723286016,3371123,5999,251990016,17179336704
57.71,4742172672,3499332,6012,253018112,17179336704
59.42,4742135808,3462685,6013,253841408,17179336704
61.14,4719067136,3538027,6004,255025152,17179336704
62.88,4719075328,3546877,6014,256118784,17179336704
64.62,4719177728,3394517,6000,256454656,17179336704
66.33,4719202304,3466023,6006,259665920,17179336704
68.04,4719202304,3533173,6418,265154560,17179336704
69.75,4719202304,3651309,6455,272146432,17179336704
71.46,3844718592,3464978,6448,273920000,17179336704
73.17,3884470272,3460738,6422,276160512,17179336704
74.88,3999821824,3392648,6375,277262336,17179336704
76.61,4087902208,3291192,6330,279408640,17179336704
78.34,4366905344,3239506,6222,279306240,17179336704
80.05,4922650624,3063093,5952,280031232,17179336704
81.77,5256097792,2961070,5765,280956928,17179336704
83.50,5285457920,3016204,5741,280825856,17179336704
85.21,5350469632,3100226,5710,282013696,17179336704
86.92,5440647168,3063340,5675,283254784,17179336704
88.63,5463715840,3139570,5660,283131904,17179336704
90.35,5463703552,3120126,5657,283750400,17179336704
92.08,5492973568,2991364,5653,284626944,17179336704
93.80,5501288448,3193043,5657,285642752,17179336704
95.51,5258002432,3296737,5741,285687808,17179336704
97.23,5297848320,3294108,5818,286773248,17179336704
98.96,5308334080,3239869,5817,287592448,17179336704
100.67,4568039424,3202594,6109,287641600,17179336704
102.37,4601536512,3309488,6065,287571968,17179336704
104.11,4612022272,3281542,6076,288600064,17179336704
105.82,4586856448,3229551,6075,291082240,17179336704
107.54,4670742528,3187766,6037,291393536,17179336704
109.25,4830126080,3141175,6000,292708352,17179336704
110.98,5186650112,3024566,5859,293548032,17179336704
112.70,5591556096,3013047,5595,294014976,17179336704
114.40,5753090048,2873449,5586,294391808,17179336704
116.12,5855850496,2953136,5478,294289408,17179336704
117.85,5901987840,3049988,5462,295784448,17179336704
119.57,5910376448,3150630,5474,296116224,17179336704
121.30,5820198912,3188998,5472,296222720,17179336704
123.02,5839073280,3048550,5475,296587264,17179336704
124.74,5878927360,3046876,5464,297308160,17179336704
126.47,5881024512,3048709,5617,297037824,17179336704
128.21,5931356160,3022099,5606,297086976,17179336704
129.92,6004772864,3141803,5597,297369600,17179336704
131.63,5589643264,2944950,5595,297578496,17179336704
133.35,5688209408,3073141,5578,298184704,17179336704
135.08,5788872704,3150695,5575,298549248,17179336704
136.79,5828718592,2861058,5542,298860544,17179336704
138.54,5952450560,2916611,5443,299147264,17179336704
140.25,6009073664,3009890,5444,300109824,17179336704
141.98,5906313216,2865452,5442,300892160,17179336704
143.72,5975519232,2831754,5433,301350912,17179336704
145.45,5925187584,2982044,5413,301432832,17179336704
147.17,6072094720,3147053,5401,301973504,17179336704
148.89,6097260544,3009266,5401,302399488,17179336704
150.62,5719773184,3275355,5515,301547520,17179336704
152.34,5782687744,3266188,5511,302280704,17179336704
154.07,5849796608,3021586,5489,302731264,17179336704
155.80,5971419136,2870867,5418,303046656,17179336704
157.52,6046863360,2875292,5438,302931968,17179336704
159.26,6113959936,2820774,5440,303783936,17179336704
160.98,5965062144,3114734,5416,304226304,17179336704
162.70,5969166336,2890119,5403,305270784,17179336704
164.42,6011109376,2988427,5389,304979968,17179336704
166.15,6013206528,3097658,5408,305414144,17179336704
167.87,6017400832,2959325,5391,305786880,17179336704
169.59,6017400832,3058509,5403,306106368,17179336704
171.31,5923037184,3117337,5500,306511872,17179336704
173.04,5927231488,2965346,5518,306585600,17179336704
174.77,5935624192,3102634,5645,307478528,17179336704
176.50,5499416576,3032587,5648,307580928,17179336704
178.24,5730103296,2893780,5548,308391936,17179336704
179.96,5730103296,2950452,5536,308314112,17179336704
181.68,5868515328,2856813,5494,309268480,17179336704
183.49,6067748864,2813806,5371,309755904,17179336704
185.23,6361350144,2841176,5231,310173696,17179336704
186.97,6367641600,2939705,5213,310829056,17179336704
188.69,6373933056,2866305,5230,311672832,17179336704
190.40,6373933056,2953627,5221,310849536,17179336704
192.12,6332018688,3180295,5243,310996992,17179336704
193.82,6346481664,2907486,5243,311394304,17179336704
195.54,6325510144,3108199,5232,312012800,17179336704
197.26,6338093056,3068890,5232,312303616,17179336704
