time,rss,small,huge,cached,total
0.00,940371968,4036363,7862,123424768,17179336704
0.67,944615424,4035273,7862,123432960,17179336704
2.36,1814683648,3864590,7514,162226176,17179336704
4.12,2405462016,3677501,7149,165355520,17179336704
5.84,2418098176,3735861,7106,168026112,17179336704
7.58,2546036736,3720574,7045,182382592,17179336704
9.31,2730586112,3614719,7012,182444032,17179336704
11.02,2785128448,3768473,6965,183881728,17179336704
12.72,2801913856,3636738,6966,184664064,17179336704
14.44,2885861376,3674708,6974,185454592,17179336704
16.16,2969800704,3633140,6945,186220544,17179336704
17.88,3106119680,3647821,6856,189059072,17179336704
19.60,3105923072,3683945,6879,217198592,17179336704
21.33,3231862784,3616617,6943,219942912,17179336704
23.05,3323904000,3589062,6879,222248960,17179336704
24.78,3466776576,3543863,6782,223678464,17179336704
26.53,3867332608,3394985,6565,224534528,17179336704
28.23,4081332224,3323707,6444,229724160,17179336704
29.96,4347682816,3215487,6264,231051264,17179336704
31.68,4546912256,3170816,6178,231804928,17179336704
33.40,4546920448,3212186,6152,233144320,17179336704
35.15,4720988160,3151906,6092,233373696,17179336704
36.89,4802789376,3167821,6024,235225088,17179336704
38.63,4932898816,3302697,5974,236310528,17179336704
40.35,4932898816,3254821,5958,236716032,17179336704
42.07,4932907008,3135630,5959,237486080,17179336704
43.80,4933042176,3098744,5958,238505984,17179336704
45.57,4949934080,3300910,5962,237547520,17179336704
47.29,4949934080,3323120,6008,237920256,17179336704
49.04,4960419840,3355771,5992,238354432,17179336704
50.75,4966711296,3245517,5994,238964736,17179336704
52.48,4966735872,3443197,5994,244477952,17179336704
54.19,4983648256,3452023,5997,245063680,17179336704
55.92,4983648256,3322840,5993,246022144,17179336704
57.65,4983562240,3321080,5992,247377920,17179336704
59.36,5000290304,3477517,5993,247808000,17179336704
61.08,5012873216,3421594,5984,248918016,17179336704
62.81,5017083904,3467133,5985,250064896,17179336704
64.58,5017092096,3453308,5996,252997632,17179336704
66.29,5017092096,3621293,6457,252678144,17179336704
68.00,5017092096,3508827,6466,263020544,17179336704
69.73,5025431552,3554634,6446,267382784,17179336704
