time,rss,small,huge,cached,total
0.00,2246836224,423581,816,120184832,2146951168
0.67,2246836224,420715,811,120328192,2146951168
2.36,2247864320,291549,567,159551488,2146951168
4.28,3321696256,377123,598,162639872,3220692992
6.02,3321733120,400328,432,164933632,3220692992
7.77,4395560960,620411,919,179167232,4294434816
9.47,4395565056,582078,983,179429376,4294434816
11.19,4395614208,649874,847,180563968,4294434816
13.03,4395614208,589865,838,181145600,4294434816
14.77,4395614208,564534,840,182099968,4294434816
16.49,4395618304,627885,847,183037952,4294434816
18.22,4395724800,483782,740,184623104,4294434816
19.93,4395765760,648424,745,212230144,4294434816
21.70,4395835392,511279,723,214704128,4294434816
24.24,4395835392,514492,751,217935872,4294434816
26.10,4395737088,548021,743,219283456,4294434816
27.81,4395659264,416744,606,220352512,4294434816
29.53,4395405312,348860,602,221446144,4294434816
31.24,4395405312,234917,414,227319808,4294434816
32.98,5469151232,448606,713,228012032,5368176640
34.71,5469151232,391603,540,228536320,5368176640
36.43,6542893056,494655,806,230178816,6441918464
38.16,6542893056,446526,684,231653376,6441918464
39.87,6542553088,576265,625,232595456,6441918464
41.56,6542553088,720517,615,233480192,6441918464
43.30,6542565376,646808,609,234586112,6441918464
45.02,6542569472,541024,607,234442752,6441918464
46.75,6542577664,737303,609,234541056,6441918464
48.49,6542577664,676303,722,234311680,6441918464
50.20,6542561280,769826,763,234889216,6441918464
51.92,6542565376,733753,760,235024384,6441918464
54.29,6542565376,584046,758,235716608,6441918464
56.04,6542565376,826837,772,240644096,6441918464
57.76,6542606336,804248,758,241401856,6441918464
59.49,6542614528,733400,763,242573312,6441918464
61.22,6542614528,800542,765,243720192,6441918464
62.95,6542618624,865456,764,244072448,6441918464
64.66,6542618624,825869,752,245288960,6441918464
66.37,6542651392,854682,756,246276096,6441918464
68.08,6542651392,800947,758,247136256,6441918464
69.78,6542774272,847920,762,249876480,6441918464
71.49,6542774272,977240,782,251658240,6441918464
73.21,6542815232,1098830,799,260976640,6441918464
74.92,6543060992,840026,771,264388608,6441918464
76.63,6543060992,901898,774,266760192,6441918464
78.35,6543060992,866662,748,268201984,6441918464
80.06,6543089664,747845,718,269201408,6441918464
81.97,6543216640,591991,707,270213120,6441918464
83.94,6543216640,526940,705,270049280,6441918464
85.67,6543216640,411399,638,271065088,6441918464
87.39,6543220736,587993,618,270925824,6441918464
89.12,6543159296,440226,572,272568320,6441918464
90.84,6543138816,307147,572,272744448,6441918464
92.56,6543245312,570747,590,273846272,6441918464
94.29,6543245312,586800,581,273977344,6441918464
96.01,6543245312,403055,578,274075648,6441918464
97.72,6543245312,482176,579,274759680,6441918464
99.61,6543245312,563329,612,275984384,6441918464
101.35,6543261696,503556,633,278478848,6441918464
103.08,6543245312,746418,657,277663744,6441918464
104.80,6543224832,651191,656,277590016,6441918464
106.53,6543224832,768275,659,278466560,6441918464
108.25,6543228928,687398,651,278614016,6441918464
109.99,6543228928,633767,654,279293952,6441918464
111.70,6543228928,554958,649,281518080,6441918464
113.42,6543233024,763806,643,283176960,6441918464
115.15,6543233024,639648,619,283832320,6441918464
116.86,6543233024,354493,574,284139520,6441918464
118.58,6543233024,380333,485,284037120,6441918464
120.30,7616974848,656222,982,284401664,7515660288
122.01,7616974848,605757,894,285261824,7515660288
123.74,7616974848,728230,903,286306304,7515660288
125.46,7616974848,862530,903,287051776,7515660288
127.19,7616974848,756330,895,286941184,7515660288
128.91,7616974848,700035,900,287191040,7515660288
130.63,7616974848,695527,901,287879168,7515660288
132.35,7616974848,621751,985,287621120,7515660288
134.07,7617126400,612103,985,287879168,7515660288
135.78,7617126400,793107,938,288083968,7515660288
137.51,7617126400,760738,936,288432128,7515660288
139.22,7617159168,896326,920,289087488,7515660288
140.91,7617159168,733738,916,289288192,7515660288
142.62,7617159168,575849,850,289771520,7515660288
144.34,7617159168,681762,859,290910208,7515660288
146.07,7617167360,673150,855,291127296,7515660288
147.79,7617167360,645054,760,291254272,7515660288
149.53,7617167360,597024,766,292102144,7515660288
151.25,7617167360,769869,761,292601856,7515660288
152.96,7617179648,895632,776,291749888,7515660288
154.66,7617220608,819759,780,292016128,7515660288
156.39,7617220608,898064,756,292913152,7515660288
158.09,7617220608,900667,740,293269504,7515660288
159.83,7617220608,667865,743,293568512,7515660288
161.56,7617220608,652917,751,293179392,7515660288
163.28,7617183744,475391,751,293851136,7515660288
165.00,7617048576,619432,646,293924864,7515660288
166.73,7617048576,716963,625,294723584,7515660288
168.46,7617048576,572282,626,295931904,7515660288
170.14,7617048576,700498,647,295895040,7515660288
171.86,7617048576,896338,649,295792640,7515660288
173.58,7617048576,825098,660,296189952,7515660288
175.27,7617048576,563644,638,296914944,7515660288
176.99,7617048576,560467,646,297263104,7515660288
178.71,7617048576,856249,660,297578496,7515660288
180.43,7617048576,721259,637,298344448,7515660288
182.14,7617048576,663244,650,298913792,7515660288
183.86,7617048576,609525,650,298897408,7515660288
185.58,7617048576,648651,635,299253760,7515660288
187.31,7617048576,598738,640,300462080,7515660288
189.06,7617048576,523316,645,300552192,7515660288
190.78,7617048576,658089,636,300982272,7515660288
192.51,7617048576,604347,639,301588480,7515660288
194.22,7617048576,486442,639,302325760,7515660288
195.95,7617048576,747230,621,302346240,7515660288
197.67,7617048576,770951,647,302047232,7515660288
199.39,7617048576,664550,636,302542848,7515660288
201.10,7617048576,968480,657,302825472,7515660288
202.82,7617048576,833140,647,303075328,7515660288
204.55,7617048576,634200,623,303247360,7515660288
206.26,7617048576,743390,646,304066560,7515660288
207.99,7617048576,560319,635,304373760,7515660288
209.70,7617048576,775860,645,304234496,7515660288
211.42,7617048576,972493,654,304603136,7515660288
213.14,7617048576,725383,649,305475584,7515660288
214.85,7617064960,785351,648,306008064,7515660288
216.63,7617064960,1024057,650,305913856,7515660288
218.37,7617064960,877142,640,305852416,7515660288
220.09,7617064960,665347,630,306028544,7515660288
221.81,7617064960,569249,648,306110464,7515660288
223.55,7617064960,713777,662,306589696,7515660288
225.28,7617064960,725709,641,306839552,7515660288
227.00,7617064960,594975,623,307281920,7515660288
228.72,7617064960,732573,651,307716096,7515660288
230.45,7616962560,724859,633,308420608,7515660288
232.52,7616966656,843779,639,308547584,7515660288
234.29,7616966656,975158,654,308858880,7515660288
236.01,7616847872,771228,642,309145600,7515660288
237.85,7616847872,664853,628,309624832,7515660288
239.56,7616847872,574277,624,310566912,7515660288
241.28,7616802816,639104,626,312303616,7515660288
243.00,7616778240,632042,639,312532992,7515660288
244.73,7616716800,712625,630,313307136,7515660288
246.45,7616647168,576592,631,313872384,7515660288
248.19,7616643072,519070,632,313946112,7515660288
249.91,7616643072,281722,546,314134528,7515660288
251.64,8690384896,363188,706,314576896,8589402112
253.35,8690384896,351074,630,316280832,8589402112
255.08,8690384896,560708,634,317935616,8589402112
256.80,8690384896,835569,652,318320640,8589402112
258.51,8690388992,686307,620,319451136,8589402112
260.23,8690388992,587590,631,319569920,8589402112
261.95,8690388992,553324,638,319709184,8589402112
263.67,8690388992,581875,577,321335296,8589402112
265.39,8690388992,548230,568,322682880,8589402112
267.11,9764130816,959379,1061,323674112,9663143936
268.83,9764130816,687605,1051,324005888,9663143936
270.55,9764020224,859725,1022,322777088,9663143936
272.27,9764020224,830699,1024,324034560,9663143936
273.99,9764020224,675464,1018,324616192,9663143936
275.72,9764020224,515613,759,325677056,9663143936
277.44,9763917824,855339,771,327196672,9663143936
279.19,9763917824,629293,758,328704000,9663143936
280.92,9763835904,667101,758,329310208,9663143936
282.65,9763835904,795861,765,330702848,9663143936
284.36,9763835904,664920,752,332005376,9663143936
286.08,9763835904,543991,750,333115392,9663143936
287.81,9763835904,641973,651,332304384,9663143936
289.53,9763835904,660202,647,333586432,9663143936
291.23,9763835904,860794,646,333492224,9663143936
292.95,9763835904,748378,631,333975552,9663143936
294.67,9763835904,1131110,763,330665984,9663143936
296.38,9763835904,1130270,739,330919936,9663143936
298.10,9763835904,943176,743,331345920,9663143936
299.83,9763835904,988940,741,331702272,9663143936
301.55,9763835904,920426,746,332345344,9663143936
303.25,9763835904,875676,743,333684736,9663143936
304.95,9763848192,1045259,762,333131776,9663143936
306.68,9763848192,1082611,761,333467648,9663143936
308.40,9763848192,988107,760,333791232,9663143936
310.12,9763848192,1002971,774,334577664,9663143936
311.85,9763844096,1104596,785,335220736,9663143936
