time,rss,small,huge,cached,total
0.00,651931648,423447,814,130101248,2146951168
0.68,654028800,421744,811,130105344,2146951168
2.36,1502470144,235509,457,169480192,2146951168
4.08,2399453184,363369,558,172138496,3220692992
5.91,2614001664,652016,889,174747648,4294434816
7.63,2840121344,578630,775,189018112,4294434816
9.36,3238584320,515555,841,189149184,4294434816
11.09,3238625280,664387,809,190701568,4294434816
12.82,3247071232,579640,824,191500288,4294434816
14.64,3247071232,575189,827,192430080,4294434816
16.35,3247177728,560270,824,192831488,4294434816
18.07,3415035904,565424,743,195264512,4294434816
19.78,3419250688,625529,747,223633408,4294434816
21.49,3419463680,542014,739,226082816,4294434816
23.21,3423657984,547769,729,228937728,4294434816
24.93,3658539008,410163,650,230322176,4294434816
26.66,3664863232,303144,562,231276544,4294434816
28.38,4189208576,489292,897,236908544,5368176640
30.13,4528967680,421769,704,237674496,5368176640
31.87,4730294272,335361,559,238358528,5368176640
33.60,4929638400,607859,1063,239771648,6441918464
35.32,5216948224,520545,831,239841280,6441918464
37.03,5221142528,593344,828,241168384,6441918464
38.77,5256802304,562941,824,243044352,6441918464
40.61,5311332352,603020,793,243757056,6441918464
42.36,5311332352,663688,804,244047872,6441918464
44.10,5315526656,599924,806,244350976,6441918464
45.82,5363740672,642209,783,245182464,6441918464
47.52,5363642368,767743,827,244281344,6441918464
49.25,5372026880,768782,834,244482048,6441918464
50.98,5372026880,605518,831,245374976,6441918464
52.70,5372026880,809383,839,245932032,6441918464
54.43,5372026880,817585,834,250691584,6441918464
56.14,5372026880,767234,833,251744256,6441918464
57.87,5372026880,713446,830,252821504,6441918464
59.60,5376221184,813559,826,253857792,6441918464
61.32,5384609792,872301,822,254599168,6441918464
63.05,5388812288,811143,826,256204800,6441918464
64.77,5388857344,844949,821,256581632,6441918464
66.67,5388607488,828444,829,259715072,6441918464
68.36,5392777216,803380,827,260812800,6441918464
70.62,5405368320,770032,815,262152192,6441918464
72.34,5407465472,1022474,856,270893056,6441918464
74.06,5409316864,937346,833,274153472,6441918464
75.81,5409320960,944517,835,276742144,6441918464
77.51,5411393536,903564,816,278052864,6441918464
79.23,5463724032,843374,791,279531520,6441918464
80.95,5495140352,736026,765,279629824,6441918464
82.67,5702492160,465252,749,280305664,6441918464
84.39,5794770944,465119,644,280195072,6441918464
86.12,5819936768,566866,631,280481792,6441918464
87.84,5836713984,455339,583,282267648,6441918464
89.59,5836570624,429083,597,283701248,6441918464
91.31,5836570624,607449,580,283533312,6441918464
93.04,5836570624,498763,588,283648000,6441918464
94.77,5836570624,343042,589,285151232,6441918464
96.49,5836570624,544244,596,285089792,6441918464
98.20,5836570624,522975,618,287416320,6441918464
99.91,5836570624,664257,651,286961664,6441918464
101.65,5836574720,550443,632,287342592,6441918464
103.35,5836587008,737784,646,287772672,6441918464
105.21,5836648448,675020,636,287944704,6441918464
106.93,5836648448,601229,634,288481280,6441918464
108.64,5836632064,693250,653,291266560,6441918464
110.36,5836632064,634908,632,291356672,6441918464
112.08,5836632064,671342,612,293113856,6441918464
113.80,5836632064,520912,610,293777408,6441918464
115.50,5836636160,305375,579,294203392,6441918464
117.21,5836636160,461603,551,293740544,6441918464
118.94,5981483008,519790,972,294236160,7515660288
120.92,6134583296,695328,898,295849984,7515660288
122.64,6138777600,651926,891,296648704,7515660288
124.64,6145073152,913603,931,297332736,7515660288
126.44,6145073152,746811,917,297545728,7515660288
128.16,6147170304,781342,940,297476096,7515660288
129.86,6147178496,727691,929,297807872,7515660288
131.58,6147178496,617256,984,297394176,7515660288
133.31,6147178496,925470,1001,297828352,7515660288
135.05,6147178496,791499,1004,297897984,7515660288
136.77,6166118400,577851,961,298336256,7515660288
138.51,6195482624,941740,940,298819584,7515660288
140.25,6195482624,678245,932,298848256,7515660288
141.97,6281465856,602430,890,299253760,7515660288
143.68,6518452224,529826,868,299589632,7515660288
145.42,6518484992,551756,791,299884544,7515660288
147.14,6520610816,684697,785,300494848,7515660288
148.86,6520610816,602105,782,301330432,7515660288
150.60,6793248768,601505,665,302202880,7515660288
152.32,6801764352,854082,651,302080000,7515660288
154.03,6801764352,641116,643,302567424,7515660288
155.75,6814347264,759123,644,303636480,7515660288
157.46,6818541568,771143,644,303861760,7515660288
159.17,6822744064,630527,641,304189440,7515660288
160.88,6822744064,654316,662,303083520,7515660288
162.61,6822961152,488183,653,303493120,7515660288
164.33,6822961152,462408,651,304181248,7515660288
166.06,6822961152,683863,662,305270784,7515660288
167.78,6822961152,978595,697,305737728,7515660288
169.49,6822961152,733500,668,305537024,7515660288
171.20,6822961152,773619,678,305459200,7515660288
172.93,6822961152,794719,662,306290688,7515660288
174.64,6823165952,664569,670,306946048,7515660288
176.37,6823165952,564171,665,306974720,7515660288
178.07,6823165952,719181,663,307269632,7515660288
179.79,6823170048,732837,678,308072448,7515660288
181.51,6823170048,701334,670,308162560,7515660288
183.24,6823387136,501931,658,308592640,7515660288
184.96,6823387136,466132,658,309444608,7515660288
186.67,6823387136,558404,666,310231040,7515660288
188.41,6871621632,418793,641,310743040,7515660288
190.14,6873718784,833955,638,310706176,7515660288
191.86,6890496000,646252,610,311484416,7515660288
193.58,6890496000,701417,630,311324672,7515660288
195.31,6890496000,842545,630,311021568,7515660288
197.03,6890496000,656917,615,311533568,7515660288
198.75,6890496000,517894,618,312541184,7515660288
200.47,6892597248,915739,630,312147968,7515660288
202.20,6892462080,812572,621,312455168,7515660288
203.93,6892462080,663456,620,312909824,7515660288
205.65,6892457984,591862,616,313618432,7515660288
207.37,6894497792,736765,630,314191872,7515660288
209.11,6894469120,653805,621,314306560,7515660288
210.85,6902804480,729910,604,314359808,7515660288
212.57,6906953728,815354,598,315117568,7515660288
214.28,6906925056,831692,588,315568128,7515660288
215.99,6909026304,993180,619,315428864,7515660288
217.91,6911123456,917166,615,315703296,7515660288
219.62,6911123456,700373,606,315658240,7515660288
221.53,6911139840,585561,606,315789312,7515660288
223.35,6911139840,718533,621,315981824,7515660288
225.05,6911139840,714786,614,316440576,7515660288
226.78,6911139840,584547,596,316866560,7515660288
228.50,6911139840,611758,600,316977152,7515660288
230.20,6911139840,803315,600,317980672,7515660288
231.98,6911139840,743663,606,318390272,7515660288
233.69,6911139840,862215,606,318619648,7515660288
235.42,6911139840,790229,629,319262720,7515660288
237.14,6911139840,717885,615,319246336,7515660288
238.85,6911139840,679538,624,320385024,7515660288
240.58,6911139840,556879,611,322232320,7515660288
242.30,6923071488,865950,623,322682880,7515660288
244.03,6923026432,678209,592,323112960,7515660288
245.75,6923026432,536046,600,323395584,7515660288
247.46,6923026432,546756,619,323842048,7515660288
249.19,6922956800,384005,614,323674112,7515660288
250.91,7069757440,180681,348,324206592,7515660288
252.63,7407325184,325200,633,325959680,8589402112
254.35,7434579968,514266,623,326819840,8589402112
256.06,7440871424,831690,634,327823360,8589402112
257.78,7440871424,754948,621,328736768,8589402112
259.51,7447162880,802793,618,328458240,8589402112
261.22,7447162880,561434,614,329252864,8589402112
262.94,7499591680,550992,589,330678272,8589402112
264.67,7528693760,552289,567,332075008,8589402112
266.41,7537082368,768359,1070,332914688,9663143936
268.13,7795032064,810307,964,332845056,9663143936
