time,rss,small,huge,cached,total
0.00,892788736,nan,nan,nan,nan
0.85,892788736,4031781,7856,17179336704,118493184
2.20,1123274752,nan,nan,nan,nan
3.70,1554587648,3972640,7752,17179336704,149618688
4.70,1850937344,nan,nan,nan,nan
6.20,2004041728,3791872,7362,17179336704,160481280
7.20,2004545536,nan,nan,nan,nan
8.71,2007126016,3738310,7288,17179336704,162566144
9.71,2014048256,nan,nan,nan,nan
11.21,2026692608,3858740,7288,17179336704,176992256
12.21,2041147392,nan,nan,nan,nan
13.71,2051600384,3809284,7268,17179336704,177651712
14.71,2135523328,nan,nan,nan,nan
16.21,2133499904,3802243,7231,17179336704,178405376
17.21,2173407232,nan,nan,nan,nan
18.72,2188087296,3733569,7204,17179336704,179404800
19.72,2188091392,nan,nan,nan,nan
21.22,2202791936,3768835,7199,17179336704,179998720
22.22,2148278272,nan,nan,nan,nan
23.72,2158661632,3767420,7224,17179336704,181280768
24.72,2280300544,nan,nan,nan,nan
26.22,2282434560,3706764,7157,17179336704,181841920
27.22,2278256640,nan,nan,nan,nan
28.73,2276159488,3795341,7162,17179336704,183771136
29.73,2276499456,nan,nan,nan,nan
31.23,2303832064,3747092,7170,17179336704,212209664
32.23,2308030464,nan,nan,nan,nan
33.74,2280767488,3714259,7145,17179336704,213692416
34.74,2308141056,nan,nan,nan,nan
36.24,2423476224,3737861,7142,17179336704,217939968
37.24,2551246848,nan,nan,nan,nan
38.74,2624651264,3604591,7033,17179336704,218214400
39.74,2626768896,nan,nan,nan,nan
41.24,2666614784,3667960,6988,17179336704,224649216
42.25,3169931264,nan,nan,nan,nan
43.75,3304296448,3460500,6751,17179336704,225406976
44.75,3306401792,nan,nan,nan,nan
46.25,3306401792,3496363,6671,17179336704,226275328
47.25,3302240256,nan,nan,nan,nan
48.75,3570692096,3438279,6668,17179336704,227557376
50.26,3751055360,nan,nan,nan,nan
51.76,3855912960,3348923,6454,17179336704,228335616
53.18,3912560640,nan,nan,nan,nan
54.68,3933536256,3324187,6377,17179336704,229502976
56.18,4013228032,nan,nan,nan,nan
57.69,4013228032,3522519,6333,17179336704,230596608
58.69,4013228032,nan,nan,nan,nan
60.68,4019523584,3343567,6329,17179336704,231268352
61.68,4044689408,nan,nan,nan,nan
63.19,4044689408,3568579,6316,17179336704,232288256
64.19,4036308992,nan,nan,nan,nan
65.69,4036308992,3512685,6318,17179336704,231690240
66.76,4040503296,nan,nan,nan,nan
68.26,4036308992,3430503,6318,17179336704,232026112
69.26,4042600448,nan,nan,nan,nan
70.76,4036313088,3385782,6315,17179336704,232480768
71.77,4053090304,nan,nan,nan,nan
73.27,4025819136,3478741,6328,17179336704,233308160
74.27,4057202688,nan,nan,nan,nan
75.77,4055072768,3474604,6312,17179336704,233443328
76.77,4031774720,nan,nan,nan,nan
78.27,4031774720,3419559,6320,17179336704,233811968
79.27,4025344000,nan,nan,nan,nan
80.78,4025344000,3449335,6323,17179336704,234549248
81.78,4044251136,nan,nan,nan,nan
83.28,4044312576,3494208,6315,17179336704,240660480
84.28,4044324864,nan,nan,nan,nan
85.78,4048519168,3477570,6314,17179336704,241041408
86.79,4042235904,nan,nan,nan,nan
88.29,4042235904,3463502,6315,17179336704,242028544
89.29,4046438400,nan,nan,nan,nan
90.79,4046438400,3499104,6313,17179336704,243204096
91.79,4063137792,nan,nan,nan,nan
93.29,4027363328,3607935,6308,17179336704,243462144
94.29,3993866240,nan,nan,nan,nan
95.79,4008554496,3906212,6351,17179336704,256978944
96.79,4014845952,nan,nan,nan,nan
98.30,4054691840,3637332,6326,17179336704,259260416
99.30,4067430400,nan,nan,nan,nan
100.80,4084117504,3612961,6300,17179336704,261545984
101.80,4138582016,nan,nan,nan,nan
103.30,4138573824,3453025,6271,17179336704,261898240
104.49,4130185216,nan,nan,nan,nan
106.49,4132290560,3315525,6273,17179336704,262373376
107.49,4121722880,nan,nan,nan,nan
108.99,4125917184,3338326,6277,17179336704,262651904
110.49,4207734784,nan,nan,nan,nan
111.99,4207742976,3249663,6240,17179336704,264290304
113.06,4220325888,nan,nan,nan,nan
114.56,4224520192,3295807,6230,17179336704,265539584
115.56,4264366080,nan,nan,nan,nan
117.06,4287434752,3343680,6213,17179336704,265830400
118.06,4287434752,nan,nan,nan,nan
119.57,4270657536,3333641,6205,17179336704,266092544
120.57,4272754688,nan,nan,nan,nan
122.07,4289536000,3423978,6212,17179336704,266387456
123.57,4308385792,nan,nan,nan,nan
125.07,4310425600,3244249,6184,17179336704,267718656
126.19,4306231296,nan,nan,nan,nan
127.69,4157263872,3504809,6235,17179336704,267792384
128.69,4182708224,nan,nan,nan,nan
130.19,4161740800,3555707,6257,17179336704,268947456
131.19,4163837952,nan,nan,nan,nan
132.69,4163837952,3389277,6257,17179336704,269860864
133.69,4176433152,nan,nan,nan,nan
135.20,4176461824,3412428,6255,17179336704,269836288
136.20,4184911872,nan,nan,nan,nan
137.70,4189106176,3454967,6245,17179336704,270594048
138.70,4203835392,nan,nan,nan,nan
140.20,4187058176,3578770,6251,17179336704,270573568
141.71,4195446784,nan,nan,nan,nan
143.21,4199653376,3332968,6243,17179336704,270884864
144.21,4210139136,nan,nan,nan,nan
145.71,4203847680,3484871,6241,17179336704,272044032
146.71,4218527744,nan,nan,nan,nan
148.21,4191281152,3463658,6242,17179336704,272576512
149.22,4197572608,nan,nan,nan,nan
150.72,4210208768,3389840,6243,17179336704,274886656
152.22,4222791680,nan,nan,nan,nan
153.72,4231180288,3440251,6254,17179336704,275234816
154.72,4235374592,nan,nan,nan,nan
156.23,4241666048,3467792,6227,17179336704,276123648
157.23,4241666048,nan,nan,nan,nan
159.23,4489134080,3247497,6219,17179336704,276541440
160.73,4925341696,nan,nan,nan,nan
162.23,4925341696,3188409,5909,17179336704,277258240
163.24,4927438848,nan,nan,nan,nan
164.74,4927438848,3392904,5901,17179336704,278179840
165.89,4904484864,nan,nan,nan,nan
167.39,4904484864,3359960,5901,17179336704,278736896
168.89,4906582016,nan,nan,nan,nan
170.39,4910780416,3364261,5913,17179336704,279425024
171.40,4977889280,nan,nan,nan,nan
172.90,5007249408,3411788,5870,17179336704,279793664
174.40,5063770112,nan,nan,nan,nan
175.90,5114101760,3285513,5834,17179336704,280449024
176.90,5168627712,nan,nan,nan,nan
178.91,5170659328,3202985,5775,17179336704,280055808
179.91,5166432256,nan,nan,nan,nan
181.41,5168365568,3174095,5778,17179336704,280453120
182.41,5170327552,nan,nan,nan,nan
183.92,5172424704,3316304,5777,17179336704,280756224
184.92,5183025152,nan,nan,nan,nan
186.42,5183025152,3229039,5770,17179336704,281120768
187.42,5172539392,nan,nan,nan,nan
188.92,5172539392,3238783,5776,17179336704,281538560
189.92,5162057728,nan,nan,nan,nan
191.42,5189320704,3383910,5787,17179336704,282357760
192.43,5191417856,nan,nan,nan,nan
193.93,5193515008,3363886,5775,17179336704,282755072
195.43,5204189184,nan,nan,nan,nan
196.93,5206294528,3104708,5759,17179336704,283172864
198.12,5202104320,nan,nan,nan,nan
199.62,5202104320,3129459,5764,17179336704,283971584
200.62,4910608384,nan,nan,nan,nan
202.12,4914774016,3372395,5902,17179336704,283041792
203.56,4910501888,nan,nan,nan,nan
205.48,4918812672,3185784,5900,17179336704,283795456
206.48,4920807424,nan,nan,nan,nan
207.99,4920807424,3329352,5901,17179336704,284164096
208.99,4904034304,nan,nan,nan,nan
210.49,4904034304,3379122,5913,17179336704,284270592
211.63,4900081664,nan,nan,nan,nan
213.13,4902178816,3366044,5905,17179336704,284401664
214.13,4904275968,nan,nan,nan,nan
215.63,4912672768,3330292,5902,17179336704,285061120
216.63,4914769920,nan,nan,nan,nan
218.14,4866535424,3491097,5912,17179336704,285429760
219.14,4904284160,nan,nan,nan,nan
220.64,4904284160,3467596,5900,17179336704,285708288
221.64,4908478464,nan,nan,nan,nan
223.14,4891705344,3385629,5909,17179336704,286003200
224.15,4904247296,nan,nan,nan,nan
226.15,4927279104,3166670,5902,17179336704,285872128
227.15,4927275008,nan,nan,nan,nan
228.65,4927275008,3116520,5893,17179336704,286433280
229.65,4916830208,nan,nan,nan,nan
231.15,4929417216,3192978,5902,17179336704,287211520
232.15,4929417216,nan,nan,nan,nan
233.66,4904251392,3464436,5915,17179336704,288051200
234.66,4904419328,nan,nan,nan,nan
236.48,4919099392,3241520,5904,17179336704,288288768
237.48,4912824320,nan,nan,nan,nan
238.98,4912832512,3411408,5905,17179336704,288354304
239.98,4910739456,nan,nan,nan,nan
241.66,4914937856,3207135,5900,17179336704,288399360
242.66,4912807936,nan,nan,nan,nan
244.16,4916989952,3297812,5908,17179336704,288538624
245.16,4933734400,nan,nan,nan,nan
246.67,4935831552,3202771,5890,17179336704,289415168
247.67,4912783360,nan,nan,nan,nan
249.17,4919074816,3286226,5899,17179336704,289767424
250.17,4908609536,nan,nan,nan,nan
251.67,4908609536,3329486,5902,17179336704,290041856
253.17,4908609536,nan,nan,nan,nan
254.67,4912807936,3205638,5904,17179336704,290418688
255.78,4929249280,nan,nan,nan,nan
257.29,4922957824,3312428,5889,17179336704,291074048
258.78,4931346432,nan,nan,nan,nan
260.29,4914577408,3216055,5898,17179336704,291131392
261.29,4916674560,nan,nan,nan,nan
262.79,4914581504,3151887,5898,17179336704,291442688
263.79,4914581504,nan,nan,nan,nan
265.48,4927188992,3035756,5898,17179336704,292663296
266.48,4922994688,nan,nan,nan,nan
267.98,4927246336,3216278,5905,17179336704,293007360
268.98,4931444736,nan,nan,nan,nan
270.98,4933607424,3197320,5891,17179336704,293167104
271.98,4937805824,nan,nan,nan,nan
273.49,4923125760,3044808,5893,17179336704,294236160
274.49,4912648192,nan,nan,nan,nan
275.99,4929425408,3245106,5899,17179336704,294563840
277.22,4931534848,nan,nan,nan,nan
278.72,4921049088,3342760,5904,17179336704,294019072
279.72,4921229312,nan,nan,nan,nan
281.22,4912877568,3339006,5899,17179336704,294150144
282.22,4925464576,nan,nan,nan,nan
283.73,4921270272,3278269,5894,17179336704,294694912
285.23,4921282560,nan,nan,nan,nan
286.73,4912898048,3270920,5902,17179336704,295366656
287.73,4919267328,nan,nan,nan,nan
289.23,4923465728,3374899,5896,17179336704,295055360
290.28,4912992256,nan,nan,nan,nan
291.78,4912992256,3269864,5899,17179336704,295391232
292.78,4910895104,nan,nan,nan,nan
294.33,4919283712,3149086,5899,17179336704,295837696
295.33,4915089408,nan,nan,nan,nan
296.83,4915089408,3194192,5898,17179336704,296853504
298.21,4925575168,nan,nan,nan,nan
299.71,4904603648,3322997,5905,17179336704,297164800
300.71,4904603648,nan,nan,nan,nan
302.21,4900409344,3318826,5906,17179336704,296792064
303.71,4908797952,nan,nan,nan,nan
305.21,4908797952,3275655,5909,17179336704,297091072
306.22,4900409344,nan,nan,nan,nan
307.72,4912992256,3414406,5906,17179336704,297672704
309.13,4929789952,nan,nan,nan,nan
310.63,4919304192,3327294,5896,17179336704,298528768
311.64,4929855488,nan,nan,nan,nan
313.14,4925673472,3588554,5912,17179336704,298143744
314.40,4938334208,nan,nan,nan,nan
315.90,4938334208,3373079,5887,17179336704,298414080
317.35,4950937600,nan,nan,nan,nan
319.36,4948840448,3159172,5889,17179336704,298577920
320.83,4955131904,nan,nan,nan,nan
322.33,4938366976,3303989,5889,17179336704,299249664
323.33,4938366976,nan,nan,nan,nan
324.83,4915306496,3340653,5901,17179336704,299409408
325.83,4919472128,nan,nan,nan,nan
327.33,4917387264,3402960,5903,17179336704,299790336
328.33,4934164480,nan,nan,nan,nan
330.34,4934164480,3290243,5888,17179336704,299700224
331.84,4936261632,nan,nan,nan,nan
333.34,4934164480,3226107,5889,17179336704,300634112
334.34,4936261632,nan,nan,nan,nan
335.84,4911095808,3380030,5901,17179336704,300929024
337.12,4911095808,nan,nan,nan,nan
338.62,4925775872,3563751,5919,17179336704,301469696
339.83,4925775872,nan,nan,nan,nan
341.33,4908998656,3336886,5901,17179336704,301473792
342.84,4930035712,nan,nan,nan,nan
344.34,4917452800,3156067,5890,17179336704,302649344
345.34,4923744256,nan,nan,nan,nan
346.84,4955201536,3279383,5896,17179336704,303288320
347.84,4990844928,nan,nan,nan,nan
349.34,5007622144,3345220,5863,17179336704,304009216
350.34,4990844928,nan,nan,nan,nan
351.85,4999233536,3309469,5872,17179336704,305139712
352.85,4992929792,nan,nan,nan,nan
354.35,4997128192,3299679,5860,17179336704,305561600
355.85,4999086080,nan,nan,nan,nan
357.35,4927713280,3156131,5894,17179336704,305897472
358.36,4942393344,nan,nan,nan,nan
360.36,5284233216,3028139,5887,17179336704,306405376
361.36,5472985088,nan,nan,nan,nan
363.36,5816918016,2895065,5647,17179336704,306401280
364.72,5858762752,nan,nan,nan,nan
366.22,5852471296,2922999,5452,17179336704,307580928
367.22,5858766848,nan,nan,nan,nan
369.23,5862961152,2919289,5450,17179336704,308715520
370.23,5858779136,nan,nan,nan,nan
371.73,5860876288,3010732,5448,17179336704,309833728
372.84,5867167744,nan,nan,nan,nan
374.40,5862973440,2956857,5445,17179336704,310968320
375.43,5862973440,nan,nan,nan,nan
377.43,5858754560,2961611,5446,17179336704,311799808
378.43,5837725696,nan,nan,nan,nan
379.93,5871263744,3000235,5461,17179336704,312913920
380.94,5875191808,nan,nan,nan,nan
382.44,5875154944,3026956,5439,17179336704,314146816
383.94,5881393152,nan,nan,nan,nan
385.44,5858324480,3093652,5451,17179336704,314478592
386.94,5858299904,nan,nan,nan,nan
388.44,5854105600,3174459,5465,17179336704,315875328
389.95,5873037312,nan,nan,nan,nan
391.45,5873049600,2956827,5442,17179336704,317124608
392.45,5868855296,nan,nan,nan,nan
393.95,5868855296,3062471,5444,17179336704,316530688
395.45,5868855296,nan,nan,nan,nan
397.07,5878972416,2796442,5445,17179336704,316985344
398.57,6004801536,nan,nan,nan,nan
400.08,6002704384,2847480,5386,17179336704,318341120
401.08,6023675904,nan,nan,nan,nan
403.08,6181040128,2814481,5369,17179336704,319942656
404.58,6569013248,nan,nan,nan,nan
406.48,6638219264,2625817,5122,17179336704,322277376
407.48,6638219264,nan,nan,nan,nan
408.98,6638219264,2855889,5075,17179336704,323567616
410.48,6644527104,nan,nan,nan,nan
411.98,6623555584,2845089,5086,17179336704,322060288
413.49,6623563776,nan,nan,nan,nan
414.99,6615175168,2768052,5097,17179336704,323067904
416.05,6619369472,nan,nan,nan,nan
417.56,6617276416,2849907,5095,17179336704,324435968
418.56,6621470720,nan,nan,nan,nan
420.06,6621470720,3035748,5086,17179336704,324214784
421.06,6623571968,nan,nan,nan,nan
422.56,6623571968,3220722,5084,17179336704,321605632
424.03,6587924480,nan,nan,nan,nan
426.03,6592118784,3138972,5101,17179336704,321138688
427.03,6592151552,nan,nan,nan,nan
428.54,6592151552,3252232,5111,17179336704,321789952
429.54,6585860096,nan,nan,nan,nan
431.04,6646706176,3351811,5105,17179336704,321982464
432.04,6680272896,nan,nan,nan,nan
433.92,6682374144,3119754,5055,17179336704,322170880
435.03,6678179840,nan,nan,nan,nan
436.54,6678179840,3226485,5091,17179336704,322899968
438.04,6623809536,nan,nan,nan,nan
440.04,6623809536,2944622,5083,17179336704,323657728
441.28,6638489600,nan,nan,nan,nan
442.82,6644781056,2882757,5077,17179336704,324542464
443.83,6640586752,nan,nan,nan,nan
445.33,6640586752,3082691,5075,17179336704,325808128
446.33,6640586752,nan,nan,nan,nan
447.83,6590271488,3338551,5117,17179336704,325287936
449.14,6590283776,nan,nan,nan,nan
450.64,6590283776,3149728,5099,17179336704,326111232
451.64,6596575232,nan,nan,nan,nan
453.14,6581895168,3260973,5102,17179336704,326017024
454.14,6590283776,nan,nan,nan,nan
455.64,6598672384,3122362,5104,17179336704,326590464
456.64,6594478080,nan,nan,nan,nan
458.15,6594478080,3081141,5097,17179336704,327204864
459.28,6594387968,nan,nan,nan,nan
460.79,6567129088,3033226,5107,17179336704,327725056
461.79,6581809152,nan,nan,nan,nan
463.29,6541963264,3184434,5120,17179336704,328171520
464.29,6544060416,nan,nan,nan,nan
465.79,6539874304,3411208,5143,17179336704,329138176
466.79,6562942976,nan,nan,nan,nan
468.29,6571331584,3260264,5111,17179336704,330313728
469.30,6554562560,nan,nan,nan,nan
470.80,6571339776,3450979,5116,17179336704,330739712
471.80,6575534080,nan,nan,nan,nan
473.41,6577434624,3341663,5103,17179336704,330088448
474.41,6581628928,nan,nan,nan,nan
475.91,6596141056,3359873,5103,17179336704,330973184
476.91,6575194112,nan,nan,nan,nan
478.41,6585679872,3266621,5106,17179336704,331382784
479.41,6589874176,nan,nan,nan,nan
480.92,6591979520,3198164,5098,17179336704,331464704
481.92,6627631104,nan,nan,nan,nan
483.42,6627631104,3272486,5081,17179336704,332382208
484.92,6627631104,nan,nan,nan,nan
486.42,6621339648,3087937,5080,17179336704,333078528
487.47,6631825408,nan,nan,nan,nan
488.97,6610853888,3104621,5091,17179336704,333496320
489.97,6612951040,nan,nan,nan,nan
491.47,6623440896,3129381,5090,17179336704,335564800
492.47,6612967424,nan,nan,nan,nan
493.97,6615064576,3299298,5088,17179336704,335192064
494.98,6623453184,nan,nan,nan,nan
496.48,6623453184,3178990,5083,17179336704,336232448
497.48,6621392896,nan,nan,nan,nan
498.98,6621392896,3102765,5082,17179336704,337002496
499.98,6621392896,nan,nan,nan,nan
501.49,6589943808,3174521,5104,17179336704,337371136
502.49,6549987328,nan,nan,nan,nan
503.99,6556131328,3417880,5118,17179336704,336244736
505.05,6568620032,nan,nan,nan,nan
506.56,6564401152,3343476,5112,17179336704,336797696
507.56,6576984064,nan,nan,nan,nan
509.06,6591664128,3531094,5105,17179336704,336928768
510.06,6591664128,nan,nan,nan,nan
511.60,6595858432,3328635,5098,17179336704,337264640
513.10,6612635648,nan,nan,nan,nan
514.60,6614732800,3098333,5089,17179336704,337346560
515.60,6621024256,nan,nan,nan,nan
517.61,6621028352,3038371,5086,17179336704,337453056
518.61,6616834048,nan,nan,nan,nan
520.61,6616834048,2981915,5086,17179336704,337965056
521.61,6610579456,nan,nan,nan,nan
523.39,6621065216,2981210,5089,17179336704,338890752
524.48,6577025024,nan,nan,nan,nan
525.99,6593802240,3229898,5105,17179336704,338833408
526.99,6579122176,nan,nan,nan,nan
528.49,6581219328,3441468,5114,17179336704,339341312
529.61,6579122176,nan,nan,nan,nan
531.12,6579122176,3355879,5110,17179336704,339292160
532.12,6568640512,nan,nan,nan,nan
533.62,6598004736,3468899,5121,17179336704,340033536
534.62,6581309440,nan,nan,nan,nan
536.12,6583414784,3400003,5103,17179336704,340045824
537.12,6583508992,nan,nan,nan,nan
538.62,6575120384,3371944,5115,17179336704,340275200
539.63,6581592064,nan,nan,nan,nan
541.63,6581592064,3218215,5106,17179336704,340811776
542.63,6581592064,nan,nan,nan,nan
544.13,6581592064,3449126,5110,17179336704,341676032
545.13,6579494912,nan,nan,nan,nan
546.64,6579638272,3305262,5105,17179336704,341790720
547.64,6581735424,nan,nan,nan,nan
549.14,6581735424,3247048,5114,17179336704,342528000
550.14,6592221184,nan,nan,nan,nan
552.00,6594318336,3344107,5098,17179336704,342654976
553.32,6607081472,nan,nan,nan,nan
555.32,6607085568,3214081,5090,17179336704,343511040
