time,rss,small,huge,cached,total
0.00,919859200,nan,nan,nan,nan
0.84,920137728,4032455,7857,17179336704,118611968
2.02,805064704,nan,nan,nan,nan
3.52,805064704,4032014,7857,17179336704,118603776
4.52,805064704,nan,nan,nan,nan
6.03,805068800,4031888,7857,17179336704,118607872
7.03,805609472,nan,nan,nan,nan
8.53,805617664,4031699,7857,17179336704,118603776
9.53,805617664,nan,nan,nan,nan
11.03,805617664,4031268,7857,17179336704,118603776
12.03,805617664,nan,nan,nan,nan
13.53,805654528,4031142,7857,17179336704,118611968
14.54,805711872,nan,nan,nan,nan
16.04,806080512,4031016,7857,17179336704,118599680
17.04,806080512,nan,nan,nan,nan
18.54,806084608,4032919,7858,17179336704,118595584
19.54,806084608,nan,nan,nan,nan
21.04,806232064,4032730,7858,17179336704,118738944
22.04,806236160,nan,nan,nan,nan
23.55,806248448,4032604,7858,17179336704,118861824
24.55,806248448,nan,nan,nan,nan
26.05,806248448,4032289,7858,17179336704,118870016
27.05,806256640,nan,nan,nan,nan
28.55,806256640,4032044,7858,17179336704,118853632
29.55,806256640,nan,nan,nan,nan
31.05,806445056,4031855,7858,17179336704,118861824
32.06,806453248,nan,nan,nan,nan
33.56,806453248,4033573,7858,17179336704,118857728
34.56,806453248,nan,nan,nan,nan
36.06,806502400,4033258,7858,17179336704,118857728
37.06,806502400,nan,nan,nan,nan
38.56,806502400,4033133,7858,17179336704,118853632
39.57,806502400,nan,nan,nan,nan
41.07,806502400,4032944,7858,17179336704,118870016
42.07,806502400,nan,nan,nan,nan
43.57,806502400,4032881,7858,17179336704,118857728
44.57,806502400,nan,nan,nan,nan
46.08,806502400,4032818,7858,17179336704,118857728
47.08,806502400,nan,nan,nan,nan
48.58,806518784,4032755,7858,17179336704,119001088
49.58,806518784,nan,nan,nan,nan
51.08,806518784,4032510,7858,17179336704,118992896
52.08,806539264,nan,nan,nan,nan
53.59,806539264,4032447,7858,17179336704,118996992
54.59,806539264,nan,nan,nan,nan
56.09,806539264,4032384,7858,17179336704,118992896
57.09,806539264,nan,nan,nan,nan
58.60,808660992,4032133,7857,17179336704,118988800
59.60,808660992,nan,nan,nan,nan
61.10,808660992,4031945,7857,17179336704,118996992
62.10,808738816,nan,nan,nan,nan
63.60,808738816,4031882,7857,17179336704,118988800
64.60,808738816,nan,nan,nan,nan
66.11,808747008,4031756,7857,17179336704,119128064
67.11,808644608,nan,nan,nan,nan
68.61,808644608,4031630,7857,17179336704,119123968
69.61,808644608,nan,nan,nan,nan
71.11,808644608,4033380,7857,17179336704,119132160
72.11,808644608,nan,nan,nan,nan
73.61,808652800,4033128,7857,17179336704,119119872
74.62,808652800,nan,nan,nan,nan
76.12,808652800,4032877,7857,17179336704,119128064
77.12,808652800,nan,nan,nan,nan
78.62,808652800,4032310,7857,17179336704,119132160
79.62,808652800,nan,nan,nan,nan
81.13,808673280,4032191,7857,17179336704,119132160
82.13,808685568,nan,nan,nan,nan
83.63,810782720,4032191,7857,17179336704,119115776
84.63,810786816,nan,nan,nan,nan
86.13,810786816,4032002,7856,17179336704,119132160
87.13,810786816,nan,nan,nan,nan
88.63,810786816,4031939,7856,17179336704,119119872
89.64,810799104,nan,nan,nan,nan
91.14,810799104,4031820,7856,17179336704,119390208
92.14,810803200,nan,nan,nan,nan
93.64,810807296,4031568,7856,17179336704,119382016
94.64,810807296,nan,nan,nan,nan
96.14,810807296,4031442,7856,17179336704,119382016
97.14,810807296,nan,nan,nan,nan
98.65,810807296,4031260,7856,17179336704,119390208
99.65,810819584,nan,nan,nan,nan
101.15,810819584,4031197,7856,17179336704,119386112
102.15,810819584,nan,nan,nan,nan
103.65,810819584,4031072,7856,17179336704,119394304
104.65,812916736,nan,nan,nan,nan
106.15,812916736,4030946,7855,17179336704,119382016
107.15,812916736,nan,nan,nan,nan
108.66,812916736,4030883,7855,17179336704,119390208
109.66,812916736,nan,nan,nan,nan
111.16,812916736,4030442,7855,17179336704,119394304
112.16,812945408,nan,nan,nan,nan
113.66,812945408,4029749,7855,17179336704,119386112
114.66,812945408,nan,nan,nan,nan
116.17,812945408,4029561,7855,17179336704,119521280
117.17,812945408,nan,nan,nan,nan
118.67,815042560,4029498,7854,17179336704,119513088
119.67,815042560,nan,nan,nan,nan
121.17,815042560,4029183,7854,17179336704,119525376
122.17,815042560,nan,nan,nan,nan
123.68,815042560,4028939,7854,17179336704,119504896
124.68,815042560,nan,nan,nan,nan
126.18,815050752,4028876,7854,17179336704,119525376
127.18,815116288,nan,nan,nan,nan
128.68,815116288,4028750,7854,17179336704,119513088
129.69,815116288,nan,nan,nan,nan
131.19,815116288,4030715,7854,17179336704,119517184
132.19,815116288,nan,nan,nan,nan
133.69,815116288,4030590,7854,17179336704,119513088
134.69,815116288,nan,nan,nan,nan
136.19,815116288,4032763,7854,17179336704,119517184
137.20,815116288,nan,nan,nan,nan
138.70,815116288,4032574,7854,17179336704,119513088
139.70,815116288,nan,nan,nan,nan
141.20,815169536,4032511,7854,17179336704,119521280
142.20,815169536,nan,nan,nan,nan
143.70,815169536,4032392,7854,17179336704,119640064
144.70,815206400,nan,nan,nan,nan
146.21,815206400,4032077,7854,17179336704,119656448
147.21,815206400,nan,nan,nan,nan
148.71,815210496,4032021,7854,17179336704,119640064
149.71,815210496,nan,nan,nan,nan
151.21,815210496,4031833,7854,17179336704,119648256
152.21,815210496,nan,nan,nan,nan
153.72,815210496,4031644,7854,17179336704,119656448
154.72,815210496,nan,nan,nan,nan
156.22,815210496,4031518,7854,17179336704,119648256
157.22,815210496,nan,nan,nan,nan
158.72,815210496,4031455,7854,17179336704,119652352
159.72,815210496,nan,nan,nan,nan
161.22,815226880,4031455,7854,17179336704,119652352
162.23,815226880,nan,nan,nan,nan
163.73,815226880,4031329,7854,17179336704,119783424
164.73,815226880,nan,nan,nan,nan
166.23,815226880,4031203,7854,17179336704,119783424
167.23,815226880,nan,nan,nan,nan
168.73,815226880,4031014,7854,17179336704,119767040
169.74,815235072,nan,nan,nan,nan
171.24,815235072,4030952,7854,17179336704,119783424
172.24,815235072,nan,nan,nan,nan
173.74,815235072,4030826,7854,17179336704,119918592
174.74,815235072,nan,nan,nan,nan
176.25,815235072,4030763,7854,17179336704,119906304
177.25,815235072,nan,nan,nan,nan
178.75,815235072,4030763,7854,17179336704,119918592
179.75,815235072,nan,nan,nan,nan
181.25,815235072,4030574,7854,17179336704,119918592
182.25,815235072,nan,nan,nan,nan
183.75,815235072,4030385,7854,17179336704,119918592
184.75,815235072,nan,nan,nan,nan
186.26,815235072,4030007,7854,17179336704,119914496
187.26,815235072,nan,nan,nan,nan
188.76,815235072,4029882,7854,17179336704,119906304
189.76,814608384,nan,nan,nan,nan
191.26,814608384,4029756,7854,17179336704,119918592
192.27,814612480,nan,nan,nan,nan
193.77,814592000,4029630,7854,17179336704,119918592
194.77,814592000,nan,nan,nan,nan
196.27,814592000,4029504,7854,17179336704,119906304
197.27,814592000,nan,nan,nan,nan
198.78,814575616,4029252,7854,17179336704,120049664
199.78,814575616,nan,nan,nan,nan
201.28,814575616,4029189,7854,17179336704,120049664
202.28,814575616,nan,nan,nan,nan
203.79,814575616,4029126,7854,17179336704,120037376
204.79,814575616,nan,nan,nan,nan
206.29,814575616,4028937,7854,17179336704,120045568
207.29,814575616,nan,nan,nan,nan
208.79,814575616,4028685,7854,17179336704,120029184
209.79,814575616,nan,nan,nan,nan
211.29,816672768,4028496,7853,17179336704,120049664
212.30,816672768,nan,nan,nan,nan
213.80,816672768,4028182,7853,17179336704,120033280
214.80,816672768,nan,nan,nan,nan
216.30,816672768,4028182,7853,17179336704,120045568
217.30,816672768,nan,nan,nan,nan
218.80,816672768,4028245,7853,17179336704,120037376
219.81,816672768,nan,nan,nan,nan
221.31,816742400,4028120,7853,17179336704,120180736
222.31,816742400,nan,nan,nan,nan
223.81,816742400,4028057,7853,17179336704,120164352
224.81,816742400,nan,nan,nan,nan
226.31,816742400,4028120,7853,17179336704,120172544
227.32,816742400,nan,nan,nan,nan
228.82,816742400,4028183,7853,17179336704,120180736
229.82,816742400,nan,nan,nan,nan
231.32,816742400,4028057,7853,17179336704,120172544
232.32,816742400,nan,nan,nan,nan
233.82,816742400,4030027,7853,17179336704,120164352
234.83,816742400,nan,nan,nan,nan
236.33,816742400,4029964,7853,17179336704,120180736
237.33,816742400,nan,nan,nan,nan
238.83,816742400,4029719,7853,17179336704,120164352
239.83,816742400,nan,nan,nan,nan
241.34,816746496,4029719,7853,17179336704,120180736
242.34,816746496,nan,nan,nan,nan
243.84,816746496,4029656,7853,17179336704,120164352
244.84,816746496,nan,nan,nan,nan
246.34,816791552,4029593,7853,17179336704,120176640
247.35,816795648,nan,nan,nan,nan
248.85,816795648,4029467,7853,17179336704,120180736
249.85,816844800,nan,nan,nan,nan
251.35,816844800,4029223,7853,17179336704,120168448
252.35,816844800,nan,nan,nan,nan
253.86,816844800,4029035,7853,17179336704,120180736
254.86,816844800,nan,nan,nan,nan
256.36,816844800,4028972,7853,17179336704,120172544
257.36,816844800,nan,nan,nan,nan
258.86,816844800,4028909,7853,17179336704,120164352
259.86,816844800,nan,nan,nan,nan
261.37,816844800,4028909,7853,17179336704,120381440
262.37,816844800,nan,nan,nan,nan
263.87,816844800,4028783,7853,17179336704,120369152
264.87,816844800,nan,nan,nan,nan
266.37,816844800,4028657,7853,17179336704,120504320
267.37,816844800,nan,nan,nan,nan
268.87,816844800,4028531,7853,17179336704,120512512
269.88,816844800,nan,nan,nan,nan
271.38,816844800,4030264,7853,17179336704,120512512
272.38,816844800,nan,nan,nan,nan
273.88,816844800,4030019,7853,17179336704,120512512
274.88,816844800,nan,nan,nan,nan
276.38,816844800,4029704,7853,17179336704,120512512
277.38,816803840,nan,nan,nan,nan
278.89,816803840,4029578,7853,17179336704,120504320
279.89,816803840,nan,nan,nan,nan
281.39,816803840,4031355,7853,17179336704,120512512
282.39,816803840,nan,nan,nan,nan
283.89,816803840,4031104,7853,17179336704,120512512
284.89,816668672,nan,nan,nan,nan
286.40,816668672,4031041,7853,17179336704,120512512
287.40,816668672,nan,nan,nan,nan
288.90,816668672,4030978,7853,17179336704,120512512
289.90,816668672,nan,nan,nan,nan
291.40,816668672,4030915,7853,17179336704,120508416
292.40,816668672,nan,nan,nan,nan
293.90,816668672,4030790,7853,17179336704,120512512
294.90,816668672,nan,nan,nan,nan
296.41,816754688,4030538,7853,17179336704,120512512
297.41,816754688,nan,nan,nan,nan
298.91,816754688,4030538,7853,17179336704,120512512
299.91,816754688,nan,nan,nan,nan
301.41,816754688,4030412,7853,17179336704,120774656
302.41,816807936,nan,nan,nan,nan
303.91,816807936,4030350,7853,17179336704,120774656
304.92,816807936,nan,nan,nan,nan
306.42,816807936,4030287,7853,17179336704,120774656
307.42,816807936,nan,nan,nan,nan
308.92,816807936,4030035,7853,17179336704,120770560
309.92,816807936,nan,nan,nan,nan
311.42,816807936,4029853,7853,17179336704,120774656
312.43,816807936,nan,nan,nan,nan
313.93,816807936,4029538,7853,17179336704,120778752
314.93,816812032,nan,nan,nan,nan
316.43,816812032,4029349,7853,17179336704,120766464
317.43,816812032,nan,nan,nan,nan
318.94,816812032,4029223,7853,17179336704,120778752
319.94,816812032,nan,nan,nan,nan
321.44,816812032,4028909,7853,17179336704,120778752
322.44,816812032,nan,nan,nan,nan
323.94,816812032,4028909,7853,17179336704,120770560
324.95,816812032,nan,nan,nan,nan
326.45,816816128,4028846,7853,17179336704,120774656
327.45,816816128,nan,nan,nan,nan
328.95,816816128,4028783,7853,17179336704,120770560
329.95,816967680,nan,nan,nan,nan
