time,rss,small,huge,cached,total
0.00,911101952,nan,nan,nan,nan
0.86,911101952,4032148,7860,17179336704,118607872
2.05,911101952,nan,nan,nan,nan
3.56,911372288,nan,nan,nan,nan
5.06,911372288,4033317,7861,17179336704,118611968
6.06,911372288,nan,nan,nan,nan
7.56,911552512,4032750,7861,17179336704,118603776
8.56,911552512,nan,nan,nan,nan
10.06,911552512,4032750,7861,17179336704,118603776
11.06,911872000,nan,nan,nan,nan
12.56,911843328,4032561,7861,17179336704,118607872
13.57,912502784,nan,nan,nan,nan
15.07,912506880,4032193,7861,17179336704,118603776
16.07,912506880,nan,nan,nan,nan
17.57,912515072,4032004,7861,17179336704,118599680
18.57,912699392,nan,nan,nan,nan
20.07,912699392,4031696,7861,17179336704,118734848
21.07,912699392,nan,nan,nan,nan
22.58,912699392,4031633,7860,17179336704,118734848
23.58,912699392,nan,nan,nan,nan
25.08,912699392,4031444,7860,17179336704,118857728
26.08,912699392,nan,nan,nan,nan
27.58,912699392,4031444,7860,17179336704,118870016
28.58,912699392,nan,nan,nan,nan
30.08,912699392,4031073,7860,17179336704,118865920
31.08,912699392,nan,nan,nan,nan
32.59,912715776,4031010,7860,17179336704,118865920
33.59,912715776,nan,nan,nan,nan
35.09,912715776,4030954,7860,17179336704,118865920
36.09,912715776,nan,nan,nan,nan
37.59,912715776,4030891,7860,17179336704,118870016
38.59,912715776,nan,nan,nan,nan
40.10,912773120,4030828,7860,17179336704,118870016
41.10,912773120,nan,nan,nan,nan
42.60,912134144,4030765,7860,17179336704,118857728
43.60,912134144,nan,nan,nan,nan
45.10,912134144,4030765,7860,17179336704,118870016
46.10,912134144,nan,nan,nan,nan
47.61,912134144,4030765,7860,17179336704,118861824
48.61,912158720,nan,nan,nan,nan
50.11,912158720,4030702,7859,17179336704,118992896
51.11,912158720,nan,nan,nan,nan
52.61,912158720,4030702,7859,17179336704,119001088
53.61,912158720,nan,nan,nan,nan
55.12,912158720,4030576,7859,17179336704,118996992
56.12,912158720,nan,nan,nan,nan
57.62,912158720,4030205,7859,17179336704,118992896
58.62,912158720,nan,nan,nan,nan
60.12,912158720,4030142,7859,17179336704,119001088
61.12,912158720,nan,nan,nan,nan
62.62,912158720,4029890,7859,17179336704,118988800
63.62,911917056,nan,nan,nan,nan
65.13,911917056,4029764,7859,17179336704,118992896
66.13,911917056,nan,nan,nan,nan
67.63,911917056,4029575,7859,17179336704,119115776
68.63,911945728,nan,nan,nan,nan
70.14,911945728,4029456,7858,17179336704,119128064
71.14,911945728,nan,nan,nan,nan
72.64,911945728,4029331,7858,17179336704,119119872
73.64,912162816,nan,nan,nan,nan
75.14,912162816,4029269,7858,17179336704,119128064
76.14,912162816,nan,nan,nan,nan
77.65,912162816,4031203,7858,17179336704,119123968
78.65,912146432,nan,nan,nan,nan
80.15,912146432,4030580,7858,17179336704,119128064
81.15,912105472,nan,nan,nan,nan
82.65,912105472,4030455,7858,17179336704,119132160
83.65,912105472,nan,nan,nan,nan
85.15,912105472,4029951,7858,17179336704,119132160
86.15,912089088,nan,nan,nan,nan
87.65,912072704,4029643,7858,17179336704,119132160
88.66,912072704,nan,nan,nan,nan
90.16,912072704,4029391,7858,17179336704,119128064
91.16,912064512,nan,nan,nan,nan
92.66,912064512,4029391,7858,17179336704,119242752
93.66,912064512,nan,nan,nan,nan
95.16,912064512,4028951,7858,17179336704,119390208
96.16,912064512,nan,nan,nan,nan
97.67,912064512,4028699,7858,17179336704,119382016
98.67,912064512,nan,nan,nan,nan
100.17,912064512,4028636,7858,17179336704,119394304
101.17,912064512,nan,nan,nan,nan
102.67,912195584,4028636,7858,17179336704,119377920
103.67,912195584,nan,nan,nan,nan
105.18,912232448,4028636,7858,17179336704,119398400
106.18,912232448,nan,nan,nan,nan
107.68,912232448,4028510,7858,17179336704,119382016
108.68,912232448,nan,nan,nan,nan
110.18,912232448,4028384,7858,17179336704,119394304
111.18,912494592,nan,nan,nan,nan
112.68,912494592,4028265,7857,17179336704,119382016
113.69,912494592,nan,nan,nan,nan
115.19,912494592,4028202,7857,17179336704,119394304
116.19,912502784,nan,nan,nan,nan
117.69,912502784,4030225,7857,17179336704,119508992
118.69,912502784,nan,nan,nan,nan
120.19,912502784,4030225,7857,17179336704,119525376
121.19,912502784,nan,nan,nan,nan
122.70,912502784,4030225,7857,17179336704,119517184
123.70,912502784,nan,nan,nan,nan
125.20,912502784,4030165,7857,17179336704,119521280
126.20,912502784,nan,nan,nan,nan
127.70,912502784,4030102,7857,17179336704,119521280
128.70,912502784,nan,nan,nan,nan
130.20,912502784,4030039,7857,17179336704,119513088
131.21,912502784,nan,nan,nan,nan
132.71,912502784,4029983,7857,17179336704,119513088
