time,rss,small,huge,cached,total
0.00,904810496,nan,nan,nan,nan
0.85,904810496,4039187,7867,17179336704,118538240
2.20,1130143744,nan,nan,nan,nan
3.70,1564545024,3963720,7730,17179336704,154353664
4.70,2080665600,nan,nan,nan,nan
6.21,2087313408,3779369,7251,17179336704,159940608
7.21,2280284160,nan,nan,nan,nan
8.71,2280538112,3728246,7175,17179336704,162136064
9.71,2336980992,nan,nan,nan,nan
11.21,2423214080,3809131,7267,17179336704,176807936
12.21,2291130368,nan,nan,nan,nan
13.72,2341462016,3827717,7169,17179336704,177541120
14.72,2395754496,nan,nan,nan,nan
16.22,2395574272,3789469,7113,17179336704,178122752
17.22,2407878656,nan,nan,nan,nan
18.72,2407772160,3815977,7185,17179336704,179503104
19.72,2525184000,nan,nan,nan,nan
21.22,2541961216,3813353,7147,17179336704,179888128
22.22,2382594048,nan,nan,nan,nan
23.72,2382659584,3791040,7122,17179336704,181219328
24.72,2537848832,nan,nan,nan,nan
26.23,2560917504,3719015,7043,17179336704,181583872
27.23,2583986176,nan,nan,nan,nan
28.73,2684649472,3776795,7161,17179336704,183529472
29.73,2896855040,nan,nan,nan,nan
31.23,2943021056,3703436,7017,17179336704,211910656
32.23,2573905920,nan,nan,nan,nan
33.73,2573807616,3710390,7029,17179336704,213618688
34.73,2716479488,nan,nan,nan,nan
36.24,2892644352,3727758,6981,17179336704,217526272
37.29,2886352896,nan,nan,nan,nan
38.79,2894852096,3677479,6886,17179336704,218902528
39.79,2993422336,nan,nan,nan,nan
41.29,3087798272,3615786,6838,17179336704,224194560
42.29,3352039424,nan,nan,nan,nan
43.80,3385593856,3454018,6649,17179336704,225251328
44.80,3524005888,nan,nan,nan,nan
46.30,3524030464,3499624,6568,17179336704,226365440
47.30,3524071424,nan,nan,nan,nan
48.80,3704426496,3456952,6564,17179336704,227803136
50.00,3769438208,nan,nan,nan,nan
51.50,3802992640,3371145,6455,17179336704,228229120
52.50,3886878720,nan,nan,nan,nan
54.00,4012707840,3323655,6400,17179336704,229003264
55.00,4014804992,nan,nan,nan,nan
56.50,4014813184,3390698,6330,17179336704,230203392
57.51,4016910336,nan,nan,nan,nan
59.01,4016910336,3402582,6330,17179336704,230641664
60.01,4031705088,nan,nan,nan,nan
61.70,4067356672,3326606,6323,17179336704,232730624
62.70,4082036736,nan,nan,nan,nan
64.20,4082036736,3512631,6311,17179336704,231632896
65.20,4082081792,nan,nan,nan,nan
66.70,3650162688,3512249,6526,17179336704,231542784
67.71,3836821504,nan,nan,nan,nan
69.21,3849404416,3427505,6424,17179336704,231940096
70.21,3849408512,nan,nan,nan,nan
71.71,3771842560,3461613,6491,17179336704,232898560
72.97,3807494144,nan,nan,nan,nan
74.47,3807494144,3560323,6443,17179336704,233185280
75.69,3809591296,nan,nan,nan,nan
77.19,3788619776,3462077,6443,17179336704,233500672
78.20,3845246976,nan,nan,nan,nan
79.70,3845246976,3457227,6419,17179336704,234532864
80.70,3845296128,nan,nan,nan,nan
82.20,3845296128,3506329,6414,17179336704,235315200
83.20,3845296128,nan,nan,nan,nan
84.70,3845296128,3509543,6411,17179336704,240832512
85.71,3847413760,nan,nan,nan,nan
87.21,3839025152,3469573,6419,17179336704,241299456
88.21,3841122304,nan,nan,nan,nan
89.71,3841122304,3532093,6420,17179336704,242827264
90.71,3841122304,nan,nan,nan,nan
92.21,3830636544,3451094,6418,17179336704,243773440
93.21,3830603776,nan,nan,nan,nan
94.71,3830603776,3787329,6962,17179336704,254795776
95.72,3846701056,nan,nan,nan,nan
97.22,2978373632,3677250,6864,17179336704,258256896
98.22,3070795776,nan,nan,nan,nan
99.72,3095961600,3691624,6793,17179336704,260874240
100.72,3364401152,nan,nan,nan,nan
102.22,3454595072,3544883,6672,17179336704,261537792
103.22,3737714688,nan,nan,nan,nan
105.16,3895001088,3379407,6491,17179336704,261980160
106.66,4054384640,nan,nan,nan,nan
108.16,4090036224,3282287,6315,17179336704,262803456
109.16,4119396352,nan,nan,nan,nan
111.17,4406706176,3281559,6316,17179336704,263618560
112.25,4394172416,nan,nan,nan,nan
113.75,4402561024,3219566,6162,17179336704,265801728
114.75,4459118592,nan,nan,nan,nan
116.25,4547178496,3520925,6174,17179336704,265232384
117.25,4480069632,nan,nan,nan,nan
119.26,4490629120,3291384,6108,17179336704,266072064
120.26,4509646848,nan,nan,nan,nan
121.76,4471914496,3429532,6121,17179336704,266420224
122.76,4505468928,nan,nan,nan,nan
124.26,4507566080,3319601,6096,17179336704,267255808
125.76,4564299776,nan,nan,nan,nan
127.27,4287492096,3431339,6212,17179336704,267866112
128.66,4337823744,nan,nan,nan,nan
130.16,4337836032,3631238,6266,17179336704,268922880
131.16,4170166272,nan,nan,nan,nan
132.66,4174381056,3391462,6257,17179336704,269406208
133.67,4207935488,nan,nan,nan,nan
135.17,4226809856,3371148,6244,17179336704,270454784
136.17,3981443072,nan,nan,nan,nan
137.67,3981443072,3501949,6346,17179336704,270430208
138.67,4000428032,nan,nan,nan,nan
140.17,4010913792,3506176,6342,17179336704,270655488
141.18,3989942272,nan,nan,nan,nan
142.68,4000501760,3380771,6343,17179336704,271249408
143.68,4029861888,nan,nan,nan,nan
145.18,4042444800,3328815,6331,17179336704,271671296
146.18,3977482240,nan,nan,nan,nan
147.68,3992428544,3561263,6356,17179336704,273055744
148.86,4015497216,nan,nan,nan,nan
150.87,4095188992,3326935,6339,17179336704,273575936
151.87,4101480448,nan,nan,nan,nan
153.37,4116160512,3487189,6320,17179336704,275767296
154.37,4139229184,nan,nan,nan,nan
155.87,4149714944,3334031,6296,17179336704,276353024
156.87,4265058304,nan,nan,nan,nan
158.88,4619493376,3264012,6233,17179336704,276492288
160.38,5028438016,nan,nan,nan,nan
162.06,5015855104,3017157,5866,17179336704,277041152
163.06,5024251904,nan,nan,nan,nan
