time,rss,small,huge,cached,total
0.00,808505344,nan,nan,nan,nan
0.85,808648704,4039070,7866,17179336704,118550528
2.04,808837120,nan,nan,nan,nan
3.55,808919040,nan,nan,nan,nan
5.05,809271296,nan,nan,nan,nan
6.55,809271296,4038985,7864,17179336704,118603776
7.55,809615360,nan,nan,nan,nan
9.05,809869312,4039316,7864,17179336704,118607872
10.05,809869312,nan,nan,nan,nan
11.55,809869312,4039145,7864,17179336704,118603776
12.55,809869312,nan,nan,nan,nan
14.06,809869312,4039353,7864,17179336704,118603776
15.06,809869312,nan,nan,nan,nan
16.56,809869312,4039282,7864,17179336704,118599680
17.56,809877504,nan,nan,nan,nan
19.06,809877504,4039385,7864,17179336704,118595584
20.06,809877504,nan,nan,nan,nan
21.56,809877504,4039213,7864,17179336704,118603776
22.57,809877504,nan,nan,nan,nan
24.07,809877504,4039249,7864,17179336704,118734848
25.07,809877504,nan,nan,nan,nan
26.57,809971712,4039248,7864,17179336704,118870016
27.57,809971712,nan,nan,nan,nan
29.07,809971712,4039165,7864,17179336704,118853632
30.07,809971712,nan,nan,nan,nan
31.57,809971712,4039251,7864,17179336704,118870016
32.57,810004480,nan,nan,nan,nan
34.08,810004480,4039248,7864,17179336704,118861824
35.08,810004480,nan,nan,nan,nan
36.58,812134400,4039145,7864,17179336704,118870016
37.58,812134400,nan,nan,nan,nan
39.08,812134400,4039201,7863,17179336704,118870016
40.08,812060672,nan,nan,nan,nan
41.58,812060672,4039186,7863,17179336704,118865920
42.59,812064768,nan,nan,nan,nan
44.09,812064768,4039238,7863,17179336704,118870016
45.09,812064768,nan,nan,nan,nan
46.59,812064768,4039174,7863,17179336704,118861824
47.59,812064768,nan,nan,nan,nan
49.09,812064768,4039116,7863,17179336704,118992896
50.09,812064768,nan,nan,nan,nan
51.60,812064768,4039094,7863,17179336704,119001088
52.60,812064768,nan,nan,nan,nan
54.10,812064768,4039139,7863,17179336704,118996992
55.10,812064768,nan,nan,nan,nan
56.60,812064768,4039085,7863,17179336704,119001088
57.60,812064768,nan,nan,nan,nan
59.10,812064768,4039057,7863,17179336704,118996992
60.10,812257280,nan,nan,nan,nan
61.61,812257280,4039167,7863,17179336704,118996992
62.61,812257280,nan,nan,nan,nan
64.11,812257280,4039031,7863,17179336704,118992896
65.11,812261376,nan,nan,nan,nan
