time,rss,small,huge,cached,total
0.00,616325120,nan,nan,nan,nan
1.02,616370176,2499966,4875,10736885760,69525504
2.21,616742912,nan,nan,nan,nan
3.71,616742912,2499598,4875,10736885760,69521408
4.71,616914944,nan,nan,nan,nan
6.21,617148416,2499220,4875,10736885760,69525504
7.21,619245568,nan,nan,nan,nan
8.71,619245568,2499094,4874,10736885760,69521408
9.71,619245568,nan,nan,nan,nan
11.21,619589632,2498968,4874,10736885760,69525504
12.22,619589632,nan,nan,nan,nan
13.72,619708416,2498723,4873,10736885760,69525504
14.72,624021504,nan,nan,nan,nan
16.22,624021504,2498163,4872,10736885760,69517312
17.22,624021504,nan,nan,nan,nan
18.73,624021504,2498100,4872,10736885760,69513216
19.73,624021504,nan,nan,nan,nan
21.23,624115712,2498100,4872,10736885760,69648384
22.23,624128000,nan,nan,nan,nan
23.74,624128000,2498037,4872,10736885760,69783552
24.74,624128000,nan,nan,nan,nan
26.24,624128000,2497975,4872,10736885760,69779456
27.24,626233344,nan,nan,nan,nan
28.75,626233344,2497478,4871,10736885760,69771264
29.75,626380800,nan,nan,nan,nan
31.25,626380800,2498557,4871,10736885760,69787648
32.25,626491392,nan,nan,nan,nan
33.75,626647040,2498004,4871,10736885760,69771264
34.76,626892800,nan,nan,nan,nan
36.26,626892800,2497689,4871,10736885760,69783552
37.26,626892800,nan,nan,nan,nan
38.76,628989952,2497563,4870,10736885760,69779456
39.76,629129216,nan,nan,nan,nan
41.27,629272576,2497437,4870,10736885760,69779456
42.77,6256504832,nan,nan,nan,nan
44.77,9249148928,979559,1906,10736885760,7862296576
46.27,8261398528,nan,nan,nan,nan
47.78,8261435392,2500124,4821,10736885760,70774784
48.78,7187693568,nan,nan,nan,nan
50.28,7187693568,2499060,4821,10736885760,70766592
51.28,6113951744,nan,nan,nan,nan
52.78,6113951744,nan,nan,nan,nan
54.28,5080055808,nan,nan,nan,nan
55.78,4408983552,2498493,4821,10736885760,70766592
56.79,4408983552,nan,nan,nan,nan
58.29,3737894912,2498304,4821,10736885760,70766592
59.29,3066810368,nan,nan,nan,nan
60.79,3066810368,2498052,4821,10736885760,70774784
61.79,2395721728,nan,nan,nan,nan
63.29,2395734016,2497425,4821,10736885760,70762496
64.48,1724796928,nan,nan,nan,nan
65.98,1053708288,2496985,4821,10736885760,70770688
66.98,1053708288,nan,nan,nan,nan
68.48,730746880,2496922,4821,10736885760,70766592
69.48,730746880,nan,nan,nan,nan
70.98,730746880,2496670,4821,10736885760,70893568
71.98,730746880,nan,nan,nan,nan
73.48,730791936,2496544,4821,10736885760,70889472
74.49,730931200,nan,nan,nan,nan
