time,rss,small,huge,cached,total
0.00,600580096,nan,nan,nan,nan
1.46,600580096,2503337,4883,10736885760,69410816
2.66,600580096,nan,nan,nan,nan
4.16,600580096,2502777,4883,10736885760,69402624
5.16,602865664,nan,nan,nan,nan
6.66,603058176,2502539,4882,10736885760,69402624
7.66,603488256,nan,nan,nan,nan
9.16,605585408,2502477,4882,10736885760,69402624
10.16,605986816,nan,nan,nan,nan
11.66,606023680,2502225,4881,10736885760,69402624
12.67,606031872,nan,nan,nan,nan
14.17,606027776,2502162,4881,10736885760,69402624
15.17,606027776,nan,nan,nan,nan
16.67,606044160,2502036,4881,10736885760,69398528
17.67,608108544,nan,nan,nan,nan
19.17,608108544,2501721,4880,10736885760,69398528
20.18,1061412864,nan,nan,nan,nan
22.18,5851398144,2501280,4879,10736885760,1255063552
23.68,9225715712,nan,nan,nan,nan
25.69,9225715712,1152400,771,10736885760,3364212736
26.69,9225715712,nan,nan,nan,nan
28.19,9225715712,2501478,4264,10736885760,70520832
29.19,9225715712,nan,nan,nan,nan
30.69,9225715712,2502617,4270,10736885760,70516736
31.69,9225715712,nan,nan,nan,nan
33.19,9225715712,2502120,4270,10736885760,70516736
34.19,9225740288,nan,nan,nan,nan
35.69,9225740288,2501805,4270,10736885760,70516736
36.70,9225740288,nan,nan,nan,nan
38.20,9225740288,2501679,4270,10736885760,70512640
39.20,9225740288,nan,nan,nan,nan
40.70,9225740288,2501616,4270,10736885760,70516736
41.70,9225740288,nan,nan,nan,nan
43.20,9225740288,2501238,4270,10736885760,70512640
44.20,9225740288,nan,nan,nan,nan
45.70,9225740288,2501049,4270,10736885760,70520832
46.71,9225740288,nan,nan,nan,nan
48.21,9225740288,2500923,4270,10736885760,70643712
49.21,9225883648,nan,nan,nan,nan
50.71,9225883648,2500797,4270,10736885760,70651904
52.22,9230106624,nan,nan,nan,nan
54.22,9238495232,1270988,2468,10736885760,6245412864
55.72,9238495232,nan,nan,nan,nan
57.22,9238495232,2503033,4504,10736885760,70643712
58.22,9238495232,nan,nan,nan,nan
59.73,9238675456,2502466,4504,10736885760,70647808
60.73,9238675456,nan,nan,nan,nan
62.23,9238675456,2502277,4504,10736885760,70635520
63.23,9238675456,nan,nan,nan,nan
64.73,9238675456,2502214,4504,10736885760,70651904
65.74,9238679552,nan,nan,nan,nan
67.24,9238679552,2501836,4504,10736885760,70635520
68.24,9238679552,nan,nan,nan,nan
69.74,9238679552,2501150,4504,10736885760,70782976
70.74,9238679552,nan,nan,nan,nan
72.24,9238679552,2500709,4504,10736885760,70770688
73.24,9238679552,nan,nan,nan,nan
74.75,9238679552,2500646,4504,10736885760,70774784
75.75,9238679552,nan,nan,nan,nan
77.25,9238679552,2500457,4504,10736885760,70774784
78.25,9238679552,nan,nan,nan,nan
79.75,9238679552,2501812,4507,10736885760,70778880
80.75,9238679552,nan,nan,nan,nan
82.76,9238679552,2498889,4503,10736885760,1487716352
84.26,9242873856,nan,nan,nan,nan
86.21,9242873856,1533440,770,10736885760,1689710592
87.21,9242877952,nan,nan,nan,nan
88.71,9242877952,2500985,3837,10736885760,70782976
89.72,9242877952,nan,nan,nan,nan
91.22,9242877952,2500425,3837,10736885760,70770688
92.22,9242877952,nan,nan,nan,nan
93.72,9242877952,2500174,3837,10736885760,71045120
94.72,9242877952,nan,nan,nan,nan
96.22,9242206208,2500174,3837,10736885760,71036928
97.22,9242206208,nan,nan,nan,nan
98.73,9242206208,2500111,3837,10736885760,71045120
99.73,9242206208,nan,nan,nan,nan
101.23,9242206208,2499985,3837,10736885760,71041024
102.23,9242210304,nan,nan,nan,nan
103.73,9242210304,2499419,3837,10736885760,71045120
104.73,9242210304,nan,nan,nan,nan
106.23,9242210304,2500463,4003,10736885760,71032832
107.24,9242210304,nan,nan,nan,nan
108.74,9242210304,2500085,4003,10736885760,71045120
109.74,9242210304,nan,nan,nan,nan
111.24,9242210304,2499707,4003,10736885760,71032832
112.75,9246404608,nan,nan,nan,nan
114.75,9250598912,1068171,2066,10736885760,7245099008
116.25,9250598912,nan,nan,nan,nan
117.75,9250598912,2502906,4358,10736885760,71172096
118.75,9250598912,nan,nan,nan,nan
120.26,9250598912,2502655,4358,10736885760,71176192
121.26,9250598912,nan,nan,nan,nan
122.76,9250598912,2502412,4358,10736885760,71176192
123.76,9250598912,nan,nan,nan,nan
125.26,9250598912,2501845,4358,10736885760,71159808
126.26,9250598912,nan,nan,nan,nan
127.77,9250598912,2501475,4358,10736885760,71176192
128.77,9250598912,nan,nan,nan,nan
130.27,9250598912,2501225,4358,10736885760,71172096
131.27,9250598912,nan,nan,nan,nan
132.77,9250598912,2501099,4358,10736885760,71176192
133.77,9250598912,nan,nan,nan,nan
135.28,9250598912,2500910,4358,10736885760,71155712
136.28,9250598912,nan,nan,nan,nan
137.78,9250598912,2500721,4358,10736885760,71172096
138.78,9250598912,nan,nan,nan,nan
140.28,9250598912,2500595,4358,10736885760,71163904
141.79,9250598912,nan,nan,nan,nan
143.79,9250598912,1054985,2040,10736885760,7349170176
145.29,9250598912,nan,nan,nan,nan
146.79,9250598912,2502333,4482,10736885760,71307264
147.80,9250598912,nan,nan,nan,nan
149.30,9250598912,2501962,4482,10736885760,71303168
150.30,9250598912,nan,nan,nan,nan
151.80,9250598912,2501899,4482,10736885760,71307264
152.80,9250226176,nan,nan,nan,nan
154.31,9250226176,2501647,4482,10736885760,71299072
