time,rss,small,huge,cached,total
0.01,588783616,nan,nan,nan,nan
1.03,590880768,2509527,4890,10736885760,69120000
2.72,4117102592,nan,nan,nan,nan
4.72,6921068544,1686387,3271,10736885760,4218986496
6.22,9230102528,nan,nan,nan,nan
8.22,9230102528,499148,770,10736885760,6271668224
9.22,665452544,nan,nan,nan,nan
10.73,665452544,2509055,4865,10736885760,70381568
11.73,665743360,nan,nan,nan,nan
13.23,665853952,2509224,4866,10736885760,70369280
14.23,663756800,nan,nan,nan,nan
15.73,663756800,2509211,4865,10736885760,70369280
16.73,663945216,nan,nan,nan,nan
18.23,663945216,2509421,4866,10736885760,70373376
19.23,661848064,nan,nan,nan,nan
20.74,661848064,2509361,4867,10736885760,70504448
21.74,661876736,nan,nan,nan,nan
23.24,661880832,2509316,4867,10736885760,70496256
24.24,661880832,nan,nan,nan,nan
25.74,661880832,2509349,4866,10736885760,70631424
26.75,661880832,nan,nan,nan,nan
28.25,661880832,2509225,4867,10736885760,70635520
29.25,661880832,nan,nan,nan,nan
30.75,661880832,2509294,4867,10736885760,70631424
32.25,3792945152,nan,nan,nan,nan
34.26,6630592512,1776144,3434,10736885760,3830636544
35.76,9239449600,nan,nan,nan,nan
37.76,9241546752,397437,766,10736885760,7031087104
38.76,5615570944,nan,nan,nan,nan
40.26,685182976,2509130,4854,10736885760,70635520
41.26,685182976,nan,nan,nan,nan
42.77,685182976,2509083,4855,10736885760,70635520
43.77,685182976,nan,nan,nan,nan
45.27,683085824,2509092,4854,10736885760,70635520
46.27,683085824,nan,nan,nan,nan
47.77,683085824,2509184,4855,10736885760,70766592
48.78,683085824,nan,nan,nan,nan
50.28,683085824,2509101,4854,10736885760,70770688
51.28,683085824,nan,nan,nan,nan
52.78,683085824,2509018,4854,10736885760,70762496
53.79,683110400,nan,nan,nan,nan
55.29,683110400,2509066,4854,10736885760,70770688
56.29,683110400,nan,nan,nan,nan
57.79,683110400,2509048,4854,10736885760,70766592
58.80,683110400,nan,nan,nan,nan
60.30,683110400,2509065,4854,10736885760,70770688
61.80,3833032704,nan,nan,nan,nan
63.81,6674673664,1769297,3420,10736885760,3872514048
65.31,9239547904,nan,nan,nan,nan
67.31,9239547904,405094,766,10736885760,6721957888
68.32,9239547904,nan,nan,nan,nan
69.82,708333568,2508992,4846,10736885760,70897664
70.82,708333568,nan,nan,nan,nan
72.32,708333568,2509006,4846,10736885760,70901760
73.32,708333568,nan,nan,nan,nan
74.83,706236416,2508932,4845,10736885760,70897664
75.83,706236416,nan,nan,nan,nan
77.33,706236416,2509050,4845,10736885760,70901760
78.33,706236416,nan,nan,nan,nan
79.84,706236416,2508964,4844,10736885760,70893568
80.84,706236416,nan,nan,nan,nan
82.34,706236416,2508954,4844,10736885760,70897664
83.34,706236416,nan,nan,nan,nan
84.84,706236416,2509015,4842,10736885760,70897664
85.85,706236416,nan,nan,nan,nan
87.35,706236416,2508975,4844,10736885760,70897664
88.35,706236416,nan,nan,nan,nan
89.85,706236416,2509008,4843,10736885760,70897664
90.86,974671872,nan,nan,nan,nan
92.86,3805827072,2508170,4843,10736885760,845086720
94.36,7572312064,nan,nan,nan,nan
96.37,9245839360,843408,1626,10736885760,7634862080
97.87,9245839360,nan,nan,nan,nan
99.37,9245839360,2508898,4838,10736885760,71159808
100.37,733585408,nan,nan,nan,nan
101.88,733585408,2508908,4838,10736885760,71151616
102.88,733585408,nan,nan,nan,nan
104.38,733585408,2508898,4838,10736885760,71159808
105.38,733585408,nan,nan,nan,nan
106.88,733585408,2508893,4838,10736885760,71155712
107.89,733585408,nan,nan,nan,nan
109.39,733585408,2508839,4838,10736885760,71159808
110.39,733585408,nan,nan,nan,nan
111.89,733585408,2508766,4838,10736885760,71163904
112.89,733585408,nan,nan,nan,nan
114.40,733585408,2508863,4838,10736885760,71163904
115.40,733585408,nan,nan,nan,nan
116.90,733585408,2508804,4838,10736885760,71159808
117.90,733585408,nan,nan,nan,nan
119.40,733585408,2508720,4838,10736885760,71290880
120.41,997826560,nan,nan,nan,nan
122.41,3828985856,2504288,4829,10736885760,833339392
123.91,7603859456,nan,nan,nan,nan
125.92,9239638016,843836,1631,10736885760,7606403072
127.42,9239638016,nan,nan,nan,nan
128.92,9239638016,2508702,4829,10736885760,71294976
129.92,748269568,nan,nan,nan,nan
131.43,748269568,2508819,4830,10736885760,71290880
132.43,748273664,nan,nan,nan,nan
133.93,748273664,2508765,4829,10736885760,71286784
134.93,748273664,nan,nan,nan,nan
136.43,748273664,2508683,4829,10736885760,71286784
137.44,748273664,nan,nan,nan,nan
