time,rss,small,huge,cached,total
0.00,612831232,nan,nan,nan,nan
1.03,612851712,2507572,4880,10736885760,69292032
2.22,612851712,nan,nan,nan,nan
3.72,612851712,2507554,4880,10736885760,69603328
4.72,613097472,nan,nan,nan,nan
6.23,613097472,2507451,4880,10736885760,69603328
7.23,613277696,nan,nan,nan,nan
8.73,613277696,2507481,4880,10736885760,69611520
9.73,613277696,nan,nan,nan,nan
11.24,613277696,2507401,4880,10736885760,69607424
12.24,613752832,nan,nan,nan,nan
13.74,615849984,2507454,4880,10736885760,69607424
14.74,615976960,nan,nan,nan,nan
16.24,616071168,2507696,4879,10736885760,69607424
17.25,616255488,nan,nan,nan,nan
18.75,616255488,2507712,4879,10736885760,69734400
19.75,616255488,nan,nan,nan,nan
21.25,616255488,2507625,4879,10736885760,69734400
22.25,616255488,nan,nan,nan,nan
23.76,616259584,2507694,4879,10736885760,69734400
24.76,616259584,nan,nan,nan,nan
26.26,616259584,2507604,4879,10736885760,69861376
27.26,616259584,nan,nan,nan,nan
28.76,616259584,2507609,4879,10736885760,69869568
29.77,616316928,nan,nan,nan,nan
31.27,618414080,2507657,4879,10736885760,69869568
32.27,618414080,nan,nan,nan,nan
33.77,618414080,2507613,4878,10736885760,69869568
34.77,618487808,nan,nan,nan,nan
36.28,618807296,2507564,4878,10736885760,69869568
37.28,618807296,nan,nan,nan,nan
38.78,618807296,2507589,4878,10736885760,69865472
39.78,618807296,nan,nan,nan,nan
41.28,618807296,2507479,4878,10736885760,69861376
42.29,618807296,nan,nan,nan,nan
43.79,618807296,2507515,4878,10736885760,69861376
45.03,618807296,nan,nan,nan,nan
46.53,618807296,2507592,4878,10736885760,70004736
47.53,618807296,nan,nan,nan,nan
49.03,618807296,2507461,4878,10736885760,69980160
50.03,860037120,nan,nan,nan,nan
52.04,3660075008,2506487,4878,10736885760,831492096
53.54,7237849088,nan,nan,nan,nan
55.54,9242726400,900302,1743,10736885760,7442272256
57.04,9244823552,nan,nan,nan,nan
58.54,9244823552,2507121,4862,10736885760,70848512
59.55,682151936,nan,nan,nan,nan
61.05,682151936,2507018,4862,10736885760,70848512
62.05,682151936,nan,nan,nan,nan
63.55,682151936,nan,nan,nan,nan
65.05,682110976,nan,nan,nan,nan
66.55,682110976,2507098,4862,10736885760,70856704
67.55,682110976,nan,nan,nan,nan
69.06,682110976,2507078,4862,10736885760,70975488
70.06,681951232,nan,nan,nan,nan
71.56,681951232,2506972,4862,10736885760,70975488
72.56,681951232,nan,nan,nan,nan
74.06,681951232,2507022,4862,10736885760,70975488
75.06,682053632,nan,nan,nan,nan
76.57,682053632,2506906,4862,10736885760,70975488
77.57,682053632,nan,nan,nan,nan
79.07,682053632,2506864,4862,10736885760,70979584
80.07,682053632,nan,nan,nan,nan
81.57,682053632,2506958,4862,10736885760,70975488
82.57,682053632,nan,nan,nan,nan
84.07,682053632,2506989,4862,10736885760,70979584
85.07,682053632,nan,nan,nan,nan
86.57,682053632,2506954,4862,10736885760,70975488
87.58,682053632,nan,nan,nan,nan
89.08,682053632,2506814,4862,10736885760,70979584
90.08,988237824,nan,nan,nan,nan
92.08,3785871360,2504038,4857,10736885760,1050480640
93.58,7348932608,nan,nan,nan,nan
95.59,9246855168,832319,1616,10736885760,7722455040
97.09,9246855168,nan,nan,nan,nan
98.59,9246855168,2490107,4792,10736885760,71245824
99.59,711446528,nan,nan,nan,nan
101.09,711446528,2506809,4847,10736885760,71245824
102.09,711446528,nan,nan,nan,nan
103.59,711446528,nan,nan,nan,nan
105.10,711524352,2506704,4845,10736885760,71237632
106.58,711524352,nan,nan,nan,nan
108.08,711524352,2506696,4845,10736885760,71237632
109.08,711524352,nan,nan,nan,nan
110.59,711524352,2506711,4845,10736885760,71237632
111.59,711524352,nan,nan,nan,nan
113.09,711524352,nan,nan,nan,nan
114.59,711524352,nan,nan,nan,nan
116.09,711524352,2506744,4844,10736885760,71245824
117.09,711524352,nan,nan,nan,nan
118.59,711524352,2506728,4845,10736885760,71245824
119.59,711524352,nan,nan,nan,nan
121.10,711524352,2506788,4845,10736885760,71241728
122.10,711524352,nan,nan,nan,nan
123.60,711524352,2506762,4845,10736885760,71237632
124.60,709427200,nan,nan,nan,nan
126.10,709427200,2506709,4845,10736885760,71372800
127.10,709427200,nan,nan,nan,nan
128.60,709427200,2506597,4846,10736885760,71376896
129.60,709427200,nan,nan,nan,nan
131.11,709451776,2506673,4846,10736885760,71376896
132.61,3634978816,nan,nan,nan,nan
134.61,6355218432,1634557,3155,10736885760,4407418880
136.11,9253482496,nan,nan,nan,nan
138.12,9253482496,395687,762,10736885760,7398469632
139.14,728567808,nan,nan,nan,nan
140.64,728567808,2506641,4841,10736885760,71376896
141.64,728616960,nan,nan,nan,nan
143.15,728100864,nan,nan,nan,nan
144.65,728100864,nan,nan,nan,nan
146.15,728100864,2506613,4842,10736885760,71372800
147.15,728100864,nan,nan,nan,nan
148.65,728170496,2506537,4840,10736885760,71376896
149.65,728170496,nan,nan,nan,nan
151.15,728170496,2506579,4839,10736885760,71376896
152.16,728170496,nan,nan,nan,nan
153.66,728170496,nan,nan,nan,nan
155.16,728170496,nan,nan,nan,nan
156.66,728170496,2506608,4841,10736885760,71376896
157.67,728170496,nan,nan,nan,nan
159.17,728174592,2506502,4840,10736885760,71372800
160.17,728174592,nan,nan,nan,nan
161.67,728174592,2506512,4838,10736885760,71503872
162.67,728174592,nan,nan,nan,nan
164.17,728174592,2506569,4838,10736885760,71495680
165.18,728174592,nan,nan,nan,nan
166.68,728174592,2506487,4838,10736885760,71499776
167.68,728174592,nan,nan,nan,nan
169.18,728174592,2506572,4838,10736885760,71495680
170.18,1002901504,nan,nan,nan,nan
172.18,3746004992,2504919,4838,10736885760,896958464
173.68,7415525376,nan,nan,nan,nan
175.69,9248436224,812817,1569,10736885760,8175321088
177.19,9248436224,nan,nan,nan,nan
178.69,9248436224,2506443,4835,10736885760,71639040
179.69,744484864,nan,nan,nan,nan
181.20,744484864,2506441,4834,10736885760,71639040
182.20,744484864,nan,nan,nan,nan
183.70,744484864,nan,nan,nan,nan
185.20,744484864,nan,nan,nan,nan
186.70,744484864,2506465,4833,10736885760,71630848
187.70,744484864,nan,nan,nan,nan
189.21,744484864,2506443,4833,10736885760,71639040
190.21,744484864,nan,nan,nan,nan
191.71,744484864,nan,nan,nan,nan
193.21,744484864,2506438,4833,10736885760,71634944
194.21,744484864,nan,nan,nan,nan
195.71,744484864,2506377,4833,10736885760,71766016
196.72,744484864,nan,nan,nan,nan
198.22,744484864,2506340,4833,10736885760,71770112
199.22,744431616,nan,nan,nan,nan
200.72,744431616,2506377,4833,10736885760,71761920
201.72,744431616,nan,nan,nan,nan
203.22,744431616,nan,nan,nan,nan
