time,rss,small,huge,cached,total
0.01,806920192,nan,nan,nan,nan
0.85,806920192,4031896,7856,17179336704,118542336
2.19,1172262912,nan,nan,nan,nan
3.70,1615970304,3958326,7725,17179336704,152293376
4.70,1895309312,nan,nan,nan,nan
6.20,1933262848,3770132,7355,17179336704,160595968
7.20,2031874048,nan,nan,nan,nan
8.70,2105274368,3739975,7280,17179336704,162545664
9.70,2105458688,nan,nan,nan,nan
11.21,2111827968,3817908,7239,17179336704,177000448
12.21,2114220032,nan,nan,nan,nan
13.71,2282020864,3769228,7235,17179336704,177500160
14.71,2282074112,nan,nan,nan,nan
16.21,2273701888,3767084,7160,17179336704,178323456
17.21,2280087552,nan,nan,nan,nan
18.71,2284302336,3797521,7156,17179336704,179281920
19.71,2275987456,nan,nan,nan,nan
21.22,2296934400,3809872,7160,17179336704,179908608
22.22,2288861184,nan,nan,nan,nan
23.72,2297323520,3813614,7158,17179336704,181227520
24.72,2410672128,nan,nan,nan,nan
26.22,2448437248,3642754,7108,17179336704,181989376
27.22,2450550784,nan,nan,nan,nan
28.73,2451861504,3829895,7085,17179336704,183996416
29.73,2432921600,nan,nan,nan,nan
31.23,2460188672,3817896,7093,17179336704,211963904
32.23,2462298112,nan,nan,nan,nan
33.74,2422431744,3670246,7068,17179336704,213827584
34.74,2457894912,nan,nan,nan,nan
36.24,2474672128,3713440,7071,17179336704,217931776
37.24,2676011008,nan,nan,nan,nan
38.74,2676256768,3639897,6971,17179336704,218484736
39.74,2676260864,nan,nan,nan,nan
41.24,2833547264,3583847,6966,17179336704,224436224
42.25,3129270272,nan,nan,nan,nan
43.75,3173318656,3515965,6755,17179336704,225226752
44.75,3353706496,nan,nan,nan,nan
46.25,3380969472,3412951,6660,17179336704,226402304
47.25,3445981184,nan,nan,nan,nan
49.26,3691360256,3394536,6624,17179336704,226938880
50.26,3689320448,nan,nan,nan,nan
51.76,3706097664,3384892,6484,17179336704,228265984
52.76,4014407680,nan,nan,nan,nan
54.31,4016529408,3246577,6335,17179336704,229285888
55.31,4016529408,nan,nan,nan,nan
56.81,4016529408,3381586,6330,17179336704,230371328
57.81,4016558080,nan,nan,nan,nan
59.31,4018655232,3360402,6329,17179336704,231346176
60.31,4027084800,nan,nan,nan,nan
61.81,4048064512,3414884,6322,17179336704,232022016
62.82,4134051840,nan,nan,nan,nan
64.32,4150870016,3521499,6274,17179336704,232275968
65.32,4142530560,nan,nan,nan,nan
66.82,4153016320,3478129,6262,17179336704,231739392
67.82,4148822016,nan,nan,nan,nan
69.32,4150931456,3463107,6268,17179336704,232005632
70.32,4048171008,nan,nan,nan,nan
71.82,4064968704,3406068,6313,17179336704,232677376
72.83,4052385792,nan,nan,nan,nan
74.33,4060774400,3547938,6311,17179336704,233127936
75.33,4060774400,nan,nan,nan,nan
76.83,4060774400,3476809,6307,17179336704,233230336
77.83,4060774400,nan,nan,nan,nan
79.33,4060794880,3309736,6307,17179336704,234647552
80.34,4062892032,nan,nan,nan,nan
81.84,4077629440,3512617,6311,17179336704,235274240
82.84,4086149120,nan,nan,nan,nan
84.34,4086149120,3576843,6296,17179336704,240812032
85.34,4082028544,nan,nan,nan,nan
86.84,4082028544,3500236,6296,17179336704,241246208
87.85,4082028544,nan,nan,nan,nan
89.35,4082028544,3513650,6297,17179336704,242655232
90.35,4079931392,nan,nan,nan,nan
91.85,4082028544,3480216,6297,17179336704,243970048
92.85,4042354688,nan,nan,nan,nan
94.35,4044263424,3815921,6327,17179336704,251879424
95.36,4035739648,nan,nan,nan,nan
96.86,4042031104,3715999,6323,17179336704,258154496
97.86,4083974144,nan,nan,nan,nan
99.36,4083965952,3709837,6294,17179336704,260784128
100.36,4092342272,nan,nan,nan,nan
101.86,4115427328,3517868,6289,17179336704,261476352
102.86,4144787456,nan,nan,nan,nan
104.37,4136415232,3410599,6265,17179336704,262074368
105.37,4136419328,nan,nan,nan,nan
106.98,4149002240,3274760,6269,17179336704,262148096
108.48,4148678656,nan,nan,nan,nan
109.99,4148678656,3255227,6262,17179336704,263786496
110.99,4136083456,nan,nan,nan,nan
112.49,4152860672,3390607,6280,17179336704,264925184
113.99,4178026496,nan,nan,nan,nan
115.49,4213678080,3265991,6249,17179336704,266047488
116.49,4255621120,nan,nan,nan,nan
117.99,4255621120,3451029,6218,17179336704,265383936
119.00,4249329664,nan,nan,nan,nan
120.50,4266106880,3430084,6221,17179336704,266018816
121.50,4268204032,nan,nan,nan,nan
123.25,4272443392,3227864,6207,17179336704,266878976
124.65,4264095744,nan,nan,nan,nan
126.15,4264099840,3268147,6212,17179336704,267894784
127.15,4247343104,nan,nan,nan,nan
128.65,4255731712,3395396,6217,17179336704,268394496
129.65,4259942400,nan,nan,nan,nan
131.15,4259942400,3363107,6239,17179336704,268349440
132.20,4134125568,nan,nan,nan,nan
133.70,4142514176,3412906,6282,17179336704,269971456
134.70,4148924416,nan,nan,nan,nan
136.20,4151021568,3468939,6268,17179336704,270180352
137.20,4130119680,nan,nan,nan,nan
138.71,4148994048,3535191,6278,17179336704,270761984
140.21,4159483904,nan,nan,nan,nan
141.71,4163678208,3350117,6264,17179336704,271007744
142.71,4170121216,nan,nan,nan,nan
144.21,4172222464,3398789,6262,17179336704,271872000
145.21,4163891200,nan,nan,nan,nan
146.71,4165988352,3425857,6255,17179336704,272863232
147.71,4153434112,nan,nan,nan,nan
149.22,4155539456,3416990,6266,17179336704,273448960
150.22,4166037504,nan,nan,nan,nan
151.72,4174544896,3364345,6260,17179336704,275607552
152.72,4170350592,nan,nan,nan,nan
154.22,4193419264,3375981,6255,17179336704,275918848
155.22,4199710720,nan,nan,nan,nan
156.72,4199710720,3404700,6241,17179336704,276443136
158.23,4675825664,nan,nan,nan,nan
160.23,5007175680,3093684,6036,17179336704,276836352
161.73,5084782592,nan,nan,nan,nan
163.23,5061713920,3180486,5827,17179336704,277712896
164.23,5082750976,nan,nan,nan,nan
165.74,5061779456,3413950,5845,17179336704,278458368
