time,rss,small,huge,cached,total
0.00,908574720,nan,nan,nan,nan
0.85,908759040,4032222,7858,17179336704,118546432
2.19,890859520,nan,nan,nan,nan
4.19,1309728768,4005215,7817,17179336704,130887680
5.20,1803481088,nan,nan,nan,nan
6.70,1948389376,3793561,7402,17179336704,159232000
7.70,1981980672,nan,nan,nan,nan
9.20,2005385216,3753956,7298,17179336704,161542144
10.20,1999208448,nan,nan,nan,nan
11.71,1999208448,3809373,7288,17179336704,176603136
12.71,2005622784,nan,nan,nan,nan
14.21,2018222080,3807630,7287,17179336704,177274880
15.21,2234163200,nan,nan,nan,nan
16.71,2234241024,3789611,7184,17179336704,178298880
17.71,2236416000,nan,nan,nan,nan
19.21,2234343424,3791549,7185,17179336704,179388416
20.21,2255372288,nan,nan,nan,nan
21.71,2240815104,3765940,7176,17179336704,179515392
22.71,2245087232,nan,nan,nan,nan
24.22,2240905216,3817704,7179,17179336704,181026816
25.22,2391900160,nan,nan,nan,nan
26.72,2410680320,3646697,7115,17179336704,181809152
27.72,2412613632,nan,nan,nan,nan
29.22,2437910528,3848009,7098,17179336704,184352768
30.22,2431631360,nan,nan,nan,nan
31.73,2442133504,3747722,7089,17179336704,212037632
32.73,2419085312,nan,nan,nan,nan
34.23,2385866752,3700240,7091,17179336704,213626880
35.23,2421649408,nan,nan,nan,nan
36.73,2469883904,3683218,7086,17179336704,217411584
37.73,2620985344,nan,nan,nan,nan
39.24,2621132800,3676409,6996,17179336704,218681344
40.24,2742796288,nan,nan,nan,nan
41.74,2935738368,3569543,6965,17179336704,224411648
42.74,3277713408,nan,nan,nan,nan
44.24,3434999808,3455962,6680,17179336704,225329152
45.26,3439194112,nan,nan,nan,nan
46.77,3455971328,3561010,6602,17179336704,226381824
48.17,3747569664,nan,nan,nan,nan
49.67,3837747200,3316118,6470,17179336704,227524608
50.67,3835650048,nan,nan,nan,nan
52.17,3835654144,3422465,6413,17179336704,228302848
53.67,4091506688,nan,nan,nan,nan
55.18,4093521920,3287249,6295,17179336704,230010880
56.18,4099670016,nan,nan,nan,nan
57.68,4105961472,3489747,6288,17179336704,230608896
59.03,4116393984,nan,nan,nan,nan
60.53,4116393984,3407411,6281,17179336704,231485440
61.53,4122464256,nan,nan,nan,nan
63.03,4122464256,3540918,6274,17179336704,231370752
64.03,4120350720,nan,nan,nan,nan
65.53,4120354816,3370128,6276,17179336704,231354368
67.04,4135034880,nan,nan,nan,nan
68.54,4137132032,3424407,6268,17179336704,232034304
69.54,4120354816,nan,nan,nan,nan
71.04,4120354816,3429106,6277,17179336704,232783872
72.04,4107427840,nan,nan,nan,nan
73.55,4109524992,3488172,6283,17179336704,232845312
74.55,4109524992,nan,nan,nan,nan
76.05,4107427840,3417156,6283,17179336704,233402368
77.31,4153565184,nan,nan,nan,nan
78.81,4157759488,3462767,6267,17179336704,234684416
79.81,4157902848,nan,nan,nan,nan
81.31,4124348416,3536248,6276,17179336704,239738880
82.31,4126445568,nan,nan,nan,nan
83.82,4126445568,3506389,6277,17179336704,241045504
84.82,4130639872,nan,nan,nan,nan
86.32,4132737024,3491388,6277,17179336704,241692672
87.32,4139208704,nan,nan,nan,nan
88.82,4147597312,3456898,6266,17179336704,243093504
89.82,4143403008,nan,nan,nan,nan
91.32,4145545216,3572103,6269,17179336704,243941376
92.33,4097310720,nan,nan,nan,nan
