time,rss,small,huge,cached,total
0.00,917049344,nan,nan,nan,nan
0.85,917286912,4031368,7857,17179336704,118542336
2.20,1207771136,nan,nan,nan,nan
3.70,1602617344,3946077,7701,17179336704,156418048
4.70,1940533248,nan,nan,nan,nan
6.20,1976320000,3757148,7332,17179336704,160739328
7.20,2045542400,nan,nan,nan,nan
8.70,2047934464,3795469,7271,17179336704,162926592
9.70,2048339968,nan,nan,nan,nan
11.21,2056794112,3785770,7267,17179336704,177070080
12.21,2082250752,nan,nan,nan,nan
13.71,2082291712,3768800,7249,17179336704,177672192
14.71,2178838528,nan,nan,nan,nan
16.21,2180939776,3794520,7206,17179336704,178274304
17.21,2181087232,nan,nan,nan,nan
18.71,2181140480,3709806,7206,17179336704,179544064
19.71,2181148672,nan,nan,nan,nan
21.21,2181165056,3806251,7222,17179336704,180187136
22.22,2181005312,nan,nan,nan,nan
23.72,2180968448,3778584,7214,17179336704,181338112
24.72,2355056640,nan,nan,nan,nan
26.22,2357186560,3677039,7124,17179336704,182452224
27.22,2359357440,nan,nan,nan,nan
28.73,2363551744,3786294,7129,17179336704,183746560
29.73,2363588608,nan,nan,nan,nan
31.23,2363662336,3727832,7136,17179336704,211406848
32.23,2369953792,nan,nan,nan,nan
33.73,2369904640,3733837,7120,17179336704,213905408
34.73,2379943936,nan,nan,nan,nan
36.24,2455449600,3715999,7108,17179336704,217575424
37.24,2557902848,nan,nan,nan,nan
38.74,2562097152,3659335,7029,17179336704,218828800
39.74,2767863808,nan,nan,nan,nan
41.24,2876915712,3561547,6949,17179336704,224227328
42.24,3304763392,nan,nan,nan,nan
43.75,3418009600,3467534,6671,17179336704,225427456
44.75,3420168192,nan,nan,nan,nan
46.25,3478892544,3431859,6613,17179336704,226312192
47.25,3650908160,nan,nan,nan,nan
48.75,3680325632,3382641,6508,17179336704,227184640
50.15,3703521280,nan,nan,nan,nan
51.65,3716104192,3468196,6479,17179336704,228397056
53.15,4116709376,nan,nan,nan,nan
54.87,4139831296,3223455,6289,17179336704,229408768
55.87,4139831296,nan,nan,nan,nan
