time,rss,small,huge,cached,total
0.00,911147008,nan,nan,nan,nan
0.85,911147008,4033632,7860,17179336704,118448128
2.19,913952768,nan,nan,nan,nan
4.20,1359552512,4004039,7814,17179336704,135516160
5.20,1782575104,nan,nan,nan,nan
6.70,1925185536,3818276,7394,17179336704,160272384
7.70,1975611392,nan,nan,nan,nan
9.20,2059554816,3746557,7309,17179336704,161574912
10.20,2061832192,nan,nan,nan,nan
11.70,2061914112,3841586,7270,17179336704,176922624
12.71,2066173952,nan,nan,nan,nan
14.21,2078777344,3854753,7270,17179336704,177176576
15.21,2187829248,nan,nan,nan,nan
16.71,2190028800,3750827,7203,17179336704,177901568
17.71,2204712960,nan,nan,nan,nan
19.21,2204712960,3773914,7206,17179336704,179204096
20.21,2326446080,nan,nan,nan,nan
21.72,2326446080,3812076,7141,17179336704,180191232
22.72,2326499328,nan,nan,nan,nan
24.22,2332790784,3797028,7149,17179336704,180875264
25.22,2336985088,nan,nan,nan,nan
26.72,2404098048,3668136,7134,17179336704,182140928
27.72,2406219776,nan,nan,nan,nan
29.23,2406273024,3778983,7107,17179336704,183508992
30.23,2405920768,nan,nan,nan,nan
31.73,2405949440,3773529,7113,17179336704,211746816
32.73,2412249088,nan,nan,nan,nan
34.23,2412249088,3664062,7095,17179336704,212893696
35.23,2414440448,nan,nan,nan,nan
36.73,2420785152,3753436,7097,17179336704,217288704
37.74,2571780096,nan,nan,nan,nan
39.24,2575974400,3640203,7023,17179336704,218361856
40.24,2580148224,nan,nan,nan,nan
41.74,2957598720,3617737,7017,17179336704,224100352
42.74,3112792064,nan,nan,nan,nan
44.25,3129663488,3487408,6761,17179336704,224964608
45.25,3278843904,nan,nan,nan,nan
46.75,3278848000,3489967,6682,17179336704,225943552
47.75,3488563200,nan,nan,nan,nan
49.25,3488563200,3426924,6583,17179336704,227508224
50.25,3492765696,nan,nan,nan,nan
51.75,3849281536,3404830,6579,17179336704,227766272
53.26,3998187520,nan,nan,nan,nan
54.76,4019159040,3260333,6339,17179336704,228904960
55.76,4019212288,nan,nan,nan,nan
57.26,4019212288,3487795,6329,17179336704,230244352
58.76,4019335168,nan,nan,nan,nan
60.26,4019335168,3365850,6329,17179336704,231256064
61.27,4038209536,nan,nan,nan,nan
62.77,4038209536,3480171,6319,17179336704,232312832
63.77,4040306688,nan,nan,nan,nan
65.27,4052889600,3440561,6320,17179336704,231309312
66.27,4052889600,nan,nan,nan,nan
67.77,4052889600,3371024,6316,17179336704,231596032
68.78,4053004288,nan,nan,nan,nan
70.28,4053004288,3447061,6318,17179336704,232792064
71.28,4055101440,nan,nan,nan,nan
72.78,4055101440,3616659,6316,17179336704,232779776
74.28,4057198592,nan,nan,nan,nan
75.79,4057223168,3486285,6318,17179336704,233091072
76.79,4059320320,nan,nan,nan,nan
78.29,4059320320,3369193,6313,17179336704,234348544
79.29,4059320320,nan,nan,nan,nan
80.80,4058906624,3518775,6316,17179336704,239853568
81.80,4058906624,nan,nan,nan,nan
83.30,4058918912,3473332,6313,17179336704,240652288
84.30,4061016064,nan,nan,nan,nan
85.80,4067405824,3442080,6315,17179336704,241270784
86.81,4084211712,nan,nan,nan,nan
88.31,4084211712,3477024,6296,17179336704,242663424
89.31,4086468608,nan,nan,nan,nan
90.81,4086480896,3554529,6305,17179336704,244240384
91.81,4086493184,nan,nan,nan,nan
93.32,4086706176,3787171,6343,17179336704,254255104
94.32,4086784000,nan,nan,nan,nan
95.82,4086915072,3725582,6333,17179336704,258093056
96.82,4086931456,nan,nan,nan,nan
98.32,4086935552,3649931,6312,17179336704,260100096
99.32,4105830400,nan,nan,nan,nan
100.83,4120494080,3691479,6291,17179336704,261677056
102.17,4130955264,nan,nan,nan,nan
104.17,4133036032,3388117,6273,17179336704,261996544
105.17,4149575680,nan,nan,nan,nan
106.67,4149321728,3301900,6264,17179336704,262668288
107.67,4155613184,nan,nan,nan,nan
109.17,4155617280,3282087,6263,17179336704,262967296
110.18,4155617280,nan,nan,nan,nan
111.68,4155457536,3281386,6273,17179336704,264916992
112.68,4155457536,nan,nan,nan,nan
114.18,4184817664,3274621,6264,17179336704,265465856
115.18,4306452480,nan,nan,nan,nan
116.68,4306452480,3271384,6196,17179336704,266432512
117.69,4306460672,nan,nan,nan,nan
119.19,4306460672,3466442,6199,17179336704,265875456
120.19,4316966912,nan,nan,nan,nan
122.19,4356812800,3251385,6185,17179336704,266878976
123.69,4421824512,nan,nan,nan,nan
125.20,4421955584,3216935,6141,17179336704,268701696
126.20,4426149888,nan,nan,nan,nan
127.70,4426219520,3441272,6190,17179336704,269189120
128.70,4426219520,nan,nan,nan,nan
130.20,4426219520,3454980,6199,17179336704,269590528
131.20,4426219520,nan,nan,nan,nan
132.71,4426219520,3401913,6205,17179336704,269881344
133.71,4426219520,nan,nan,nan,nan
135.21,4426219520,3358059,6200,17179336704,270266368
136.21,4426219520,nan,nan,nan,nan
137.71,4426223616,3551171,6182,17179336704,270684160
138.71,4426223616,nan,nan,nan,nan
140.21,4426223616,3398136,6180,17179336704,270819328
141.22,4426223616,nan,nan,nan,nan
142.72,4425871360,3440177,6192,17179336704,271855616
143.72,4425875456,nan,nan,nan,nan
145.22,4425875456,3435015,6187,17179336704,272461824
146.22,4425777152,nan,nan,nan,nan
147.72,4425777152,3432165,6179,17179336704,275316736
148.72,4425805824,nan,nan,nan,nan
150.23,4425805824,3413734,6198,17179336704,274493440
151.23,4425805824,nan,nan,nan,nan
152.73,4425805824,3287192,6172,17179336704,276168704
153.73,4425805824,nan,nan,nan,nan
155.23,4425805824,3303068,6178,17179336704,276422656
156.74,4933353472,nan,nan,nan,nan
158.44,4958535680,3026170,5904,17179336704,276791296
159.44,4960632832,nan,nan,nan,nan
161.02,4962734080,3157429,5884,17179336704,277733376
162.02,4962840576,nan,nan,nan,nan
163.53,4963024896,3412832,5880,17179336704,279617536
164.87,4963028992,nan,nan,nan,nan
166.76,4963028992,3247477,5888,17179336704,279334912
167.76,4963057664,nan,nan,nan,nan
169.26,4963074048,3521011,5901,17179336704,279425024
170.27,4963074048,nan,nan,nan,nan
171.77,4963074048,3379433,5888,17179336704,279613440
172.77,4963074048,nan,nan,nan,nan
174.77,4963074048,3265158,5885,17179336704,280031232
175.77,4963074048,nan,nan,nan,nan
177.27,4963074048,3198222,5892,17179336704,280064000
178.27,4963086336,nan,nan,nan,nan
179.78,4963086336,3273482,5885,17179336704,280612864
180.78,4963090432,nan,nan,nan,nan
182.28,4963090432,3235963,5878,17179336704,280784896
183.49,4963102720,nan,nan,nan,nan
184.99,4963102720,3273589,5890,17179336704,281387008
185.99,4963123200,nan,nan,nan,nan
187.49,4967333888,3332036,5881,17179336704,282083328
188.50,4979916800,nan,nan,nan,nan
190.00,4979916800,3320391,5868,17179336704,282587136
191.50,4979916800,nan,nan,nan,nan
193.50,4982013952,3050625,5868,17179336704,283213824
194.50,4984111104,nan,nan,nan,nan
196.01,4984111104,3294142,5875,17179336704,283791360
197.51,4984193024,nan,nan,nan,nan
199.01,4984193024,3339647,5881,17179336704,283500544
200.01,4984193024,nan,nan,nan,nan
201.63,4984193024,3241704,5888,17179336704,283680768
203.14,4984193024,nan,nan,nan,nan
204.64,4984193024,3348737,5893,17179336704,284045312
205.64,4984193024,nan,nan,nan,nan
207.14,4984193024,3316639,5897,17179336704,284217344
208.14,4984193024,nan,nan,nan,nan
209.64,4984217600,3358102,5902,17179336704,284827648
210.65,4984217600,nan,nan,nan,nan
212.15,4984217600,3526505,5902,17179336704,285138944
213.15,4984049664,nan,nan,nan,nan
214.65,4984049664,3365275,5891,17179336704,285741056
215.66,4984049664,nan,nan,nan,nan
217.16,4984049664,3381982,5894,17179336704,285736960
218.66,4984049664,nan,nan,nan,nan
220.16,4984049664,3238477,5876,17179336704,285999104
221.67,4984078336,nan,nan,nan,nan
223.17,4984082432,3156566,5881,17179336704,286232576
224.17,4986179584,nan,nan,nan,nan
225.67,4986179584,3118472,5871,17179336704,287281152
226.97,4986195968,nan,nan,nan,nan
228.48,4986171392,3539253,5899,17179336704,287961088
229.98,4986126336,nan,nan,nan,nan
231.48,4986126336,3435448,5886,17179336704,288354304
232.59,4986130432,nan,nan,nan,nan
234.20,4986130432,3238574,5889,17179336704,288161792
235.20,4986134528,nan,nan,nan,nan
236.70,4986134528,3220971,5895,17179336704,288432128
237.71,4986134528,nan,nan,nan,nan
239.21,4986134528,3225934,5890,17179336704,288661504
240.21,4986134528,nan,nan,nan,nan
241.71,4986159104,3469381,5900,17179336704,289816576
242.71,4986159104,nan,nan,nan,nan
244.71,4986159104,3278300,5886,17179336704,290140160
245.72,4986159104,nan,nan,nan,nan
247.41,4986159104,3236884,5890,17179336704,290144256
248.91,4986159104,nan,nan,nan,nan
250.41,4986159104,3267453,5895,17179336704,290906112
251.41,4986163200,nan,nan,nan,nan
252.91,4986163200,3188454,5887,17179336704,291196928
253.91,4986261504,nan,nan,nan,nan
255.42,4986261504,3157721,5886,17179336704,291897344
256.42,4986433536,nan,nan,nan,nan
258.42,5248577536,3032530,5884,17179336704,292921344
259.43,5256966144,nan,nan,nan,nan
260.94,5256966144,3386491,5744,17179336704,293117952
262.44,5259071488,nan,nan,nan,nan
263.94,5259075584,3119566,5737,17179336704,293556224
264.94,5259075584,nan,nan,nan,nan
266.44,5259079680,3330458,5755,17179336704,293810176
267.45,5259079680,nan,nan,nan,nan
268.95,5259079680,3387619,5749,17179336704,293478400
269.95,5261176832,nan,nan,nan,nan
271.45,5263278080,3275696,5742,17179336704,293806080
272.45,5263278080,nan,nan,nan,nan
273.95,5263278080,3257287,5736,17179336704,294260736
275.15,5263278080,nan,nan,nan,nan
276.65,5263278080,3251793,5744,17179336704,294920192
277.65,5263278080,nan,nan,nan,nan
279.15,5263278080,3510599,5761,17179336704,294748160
280.44,5263278080,nan,nan,nan,nan
281.94,5263278080,3329119,5743,17179336704,295071744
283.44,5263278080,nan,nan,nan,nan
284.94,5263278080,3155815,5740,17179336704,295510016
285.94,5263278080,nan,nan,nan,nan
287.44,5263278080,3318931,5748,17179336704,296390656
288.94,5263278080,nan,nan,nan,nan
290.45,5263278080,3282244,5754,17179336704,297078784
291.45,5263278080,nan,nan,nan,nan
293.45,5263323136,3308985,5753,17179336704,296665088
294.45,5263323136,nan,nan,nan,nan
295.95,5263323136,3292015,5751,17179336704,297013248
296.96,5263323136,nan,nan,nan,nan
298.96,5263343616,3291907,5754,17179336704,297795584
299.96,5263343616,nan,nan,nan,nan
301.46,5263343616,3651357,5768,17179336704,297869312
302.46,5263347712,nan,nan,nan,nan
304.46,5263388672,3356251,5747,17179336704,298131456
305.47,5263388672,nan,nan,nan,nan
306.97,5263388672,3348954,5739,17179336704,298336256
307.97,5263388672,nan,nan,nan,nan
309.97,5263396864,3149304,5742,17179336704,298418176
310.97,5286465536,nan,nan,nan,nan
312.51,5296951296,3133473,5723,17179336704,299053056
313.51,5296967680,nan,nan,nan,nan
315.01,5296967680,3427759,5744,17179336704,299159552
316.12,5299064832,nan,nan,nan,nan
317.62,5299064832,3420030,5739,17179336704,299737088
319.12,5299064832,nan,nan,nan,nan
321.00,5299068928,3123708,5733,17179336704,300224512
322.01,5298896896,nan,nan,nan,nan
323.51,5298847744,3254077,5733,17179336704,301096960
324.51,5298728960,nan,nan,nan,nan
326.01,5298704384,3426363,5760,17179336704,301322240
327.01,5298704384,nan,nan,nan,nan
328.52,5298712576,3423861,5749,17179336704,301371392
329.52,5298724864,nan,nan,nan,nan
331.02,5298724864,3213998,5759,17179336704,301527040
332.52,5298728960,nan,nan,nan,nan
334.02,5298728960,3378362,5764,17179336704,302743552
335.03,5298728960,nan,nan,nan,nan
336.53,5298728960,3294358,5739,17179336704,303652864
337.53,5298368512,nan,nan,nan,nan
339.53,5298368512,3253112,5744,17179336704,304660480
340.53,5298364416,nan,nan,nan,nan
342.04,5298348032,3321065,5726,17179336704,305451008
343.04,5298348032,nan,nan,nan,nan
345.04,5298200576,3152693,5734,17179336704,305975296
346.19,5298200576,nan,nan,nan,nan
347.69,5298200576,3073719,5736,17179336704,306061312
349.20,5753307136,nan,nan,nan,nan
351.20,5843484672,2822585,5506,17179336704,306454528
352.20,5912690688,nan,nan,nan,nan
353.83,5912690688,2783431,5430,17179336704,307781632
354.83,5912690688,nan,nan,nan,nan
356.84,5912698880,2963210,5424,17179336704,309133312
357.84,5912698880,nan,nan,nan,nan
359.84,5912698880,2911934,5432,17179336704,310452224
360.84,5912698880,nan,nan,nan,nan
362.34,5912698880,3037650,5435,17179336704,311500800
363.85,5912707072,nan,nan,nan,nan
365.35,5912707072,3035012,5435,17179336704,313896960
366.35,5912707072,nan,nan,nan,nan
367.85,5912707072,3125759,5434,17179336704,312901632
368.85,5912707072,nan,nan,nan,nan
370.36,5912707072,3126505,5434,17179336704,314150912
371.86,5912707072,nan,nan,nan,nan
373.76,5912707072,2892277,5426,17179336704,315400192
375.06,5914836992,nan,nan,nan,nan
376.56,5914836992,3104610,5428,17179336704,316067840
377.56,5914836992,nan,nan,nan,nan
379.57,5914836992,3035413,5424,17179336704,316354560
381.07,5914857472,nan,nan,nan,nan
382.57,5961011200,2808831,5421,17179336704,317550592
384.07,6214766592,nan,nan,nan,nan
385.57,6216863744,2768616,5283,17179336704,319102976
387.08,6218973184,nan,nan,nan,nan
388.58,6218973184,2773271,5278,17179336704,321413120
389.58,6218973184,nan,nan,nan,nan
391.08,6221070336,2876331,5279,17179336704,322179072
392.08,6221070336,nan,nan,nan,nan
393.60,6221070336,2963962,5296,17179336704,325402624
394.60,6221070336,nan,nan,nan,nan
396.60,6221070336,2841475,5288,17179336704,321781760
398.05,6221070336,nan,nan,nan,nan
399.56,6221070336,2927288,5302,17179336704,321949696
400.56,6221070336,nan,nan,nan,nan
402.06,6221070336,3092913,5293,17179336704,323002368
403.56,6221070336,nan,nan,nan,nan
405.06,6221070336,2975632,5278,17179336704,322572288
406.08,6221049856,nan,nan,nan,nan
407.58,6220890112,3066496,5302,17179336704,321368064
408.59,6220865536,nan,nan,nan,nan
410.09,6220873728,3106347,5304,17179336704,321101824
411.09,6220873728,nan,nan,nan,nan
412.59,6220873728,3283395,5308,17179336704,321581056
413.59,6220873728,nan,nan,nan,nan
415.09,6220873728,3273786,5291,17179336704,322187264
416.10,6220873728,nan,nan,nan,nan
417.60,6220873728,3189571,5290,17179336704,322301952
418.60,6220877824,nan,nan,nan,nan
420.27,6220877824,3025375,5290,17179336704,322916352
