time,rss,small,huge,cached,total
0.00,806469632,nan,nan,nan,nan
0.85,806469632,4039263,7866,17179336704,118554624
2.19,1190600704,nan,nan,nan,nan
3.69,1656606720,3956114,7715,17179336704,153767936
4.69,2114191360,nan,nan,nan,nan
6.19,2147758080,3777169,7241,17179336704,160497664
7.20,2263056384,nan,nan,nan,nan
8.70,2298712064,3742648,7167,17179336704,162578432
9.70,2330066944,nan,nan,nan,nan
11.20,2344747008,3821419,7288,17179336704,177143808
12.20,2149756928,nan,nan,nan,nan
13.70,2254798848,3798074,7230,17179336704,177745920
14.70,2286309376,nan,nan,nan,nan
16.21,2313748480,3740644,7168,17179336704,178270208
17.21,2374627328,nan,nan,nan,nan
18.71,2431250432,3748722,7123,17179336704,179867648
19.71,2496270336,nan,nan,nan,nan
21.21,2523533312,3809451,7111,17179336704,180228096
22.21,2477428736,nan,nan,nan,nan
23.72,2481541120,3795696,7071,17179336704,181469184
24.72,2588418048,nan,nan,nan,nan
26.22,2602975232,3684369,7027,17179336704,182067200
27.22,2464415744,nan,nan,nan,nan
28.72,2520727552,3811788,7236,17179336704,183939072
29.72,2577227776,nan,nan,nan,nan
31.23,2688376832,3773033,7181,17179336704,212258816
32.23,2409484288,nan,nan,nan,nan
33.73,2496004096,3732090,7111,17179336704,215773184
34.73,2523267072,nan,nan,nan,nan
36.23,2642911232,3666718,7052,17179336704,217595904
37.23,2724753408,nan,nan,nan,nan
38.74,2728873984,3681045,6955,17179336704,219205632
39.74,2829623296,nan,nan,nan,nan
41.24,2980642816,3568217,6921,17179336704,224423936
42.24,3202973696,nan,nan,nan,nan
43.74,3481894912,3459834,6735,17179336704,225460224
45.24,3624501248,nan,nan,nan,nan
46.75,3616112640,3568051,6525,17179336704,226304000
48.25,3731509248,nan,nan,nan,nan
49.75,3765063680,3353073,6468,17179336704,227487744
50.75,3767160832,nan,nan,nan,nan
52.25,3804909568,3365722,6454,17179336704,228716544
53.76,4027330560,nan,nan,nan,nan
55.26,4033683456,3325538,6326,17179336704,229220352
56.26,4023267328,nan,nan,nan,nan
57.76,4029558784,3389612,6326,17179336704,230854656
58.76,4082003968,nan,nan,nan,nan
60.27,4090392576,3379097,6301,17179336704,231739392
61.27,4102991872,nan,nan,nan,nan
62.77,4105097216,3525475,6287,17179336704,231870464
64.04,4128169984,nan,nan,nan,nan
65.55,4136570880,3515522,6377,17179336704,231952384
66.55,3752792064,nan,nan,nan,nan
68.05,3767472128,3396803,6457,17179336704,231960576
69.05,3767525376,nan,nan,nan,nan
70.55,3794788352,3418718,6472,17179336704,232841216
71.55,3750776832,nan,nan,nan,nan
73.05,3759165440,3474736,6459,17179336704,233058304
74.06,3811618816,nan,nan,nan,nan
75.56,3822133248,3393679,6433,17179336704,233611264
76.56,3796975616,nan,nan,nan,nan
78.06,3916513280,3365219,6433,17179336704,234385408
79.06,3916529664,nan,nan,nan,nan
