time,rss,small,huge,cached,total
0.00,597192704,nan,nan,nan,nan
1.00,597192704,2503824,4884,10736885760,69431296
2.69,6120734720,nan,nan,nan,nan
4.69,9230819328,1249777,2434,10736885760,6292684800
6.20,8213774336,nan,nan,nan,nan
7.70,8213774336,2502940,4845,10736885760,70283264
8.70,7140032512,nan,nan,nan,nan
10.20,7140032512,2502751,4845,10736885760,70283264
11.20,6066290688,nan,nan,nan,nan
12.71,6066290688,2502248,4845,10736885760,70266880
13.71,5051330560,nan,nan,nan,nan
15.21,4382593024,2502185,4845,10736885760,70283264
16.21,4382851072,nan,nan,nan,nan
17.72,3711762432,2502059,4845,10736885760,70266880
18.72,3040673792,nan,nan,nan,nan
20.22,3040673792,2501871,4845,10736885760,70270976
21.22,2369585152,nan,nan,nan,nan
22.72,2369589248,2501556,4845,10736885760,70397952
23.73,1698500608,nan,nan,nan,nan
25.23,1027461120,2501304,4845,10736885760,70537216
26.23,1027465216,nan,nan,nan,nan
27.73,683532288,2500989,4845,10736885760,70533120
28.74,683532288,nan,nan,nan,nan
30.24,683532288,2500863,4845,10736885760,70537216
31.74,5578752000,nan,nan,nan,nan
33.74,9236185088,1375071,2668,10736885760,5788823552
35.25,9236185088,nan,nan,nan,nan
36.75,9236185088,2503245,4831,10736885760,70541312
37.75,8250523648,nan,nan,nan,nan
39.25,7176781824,2502811,4831,10736885760,70529024
40.26,7176781824,nan,nan,nan,nan
41.76,6107254784,2502433,4831,10736885760,70537216
42.76,5083848704,nan,nan,nan,nan
44.26,5083848704,2503776,4833,10736885760,70529024
45.26,4412760064,nan,nan,nan,nan
46.77,4412760064,2503335,4833,10736885760,70668288
47.77,3741671424,nan,nan,nan,nan
49.27,3070582784,2503083,4833,10736885760,70672384
50.27,3070582784,nan,nan,nan,nan
51.78,2399494144,2502712,4833,10736885760,70664192
52.78,2399494144,nan,nan,nan,nan
54.28,1728405504,2502461,4833,10736885760,70672384
55.28,1057316864,nan,nan,nan,nan
56.78,1057316864,2502335,4833,10736885760,70660096
57.79,709189632,nan,nan,nan,nan
59.29,709189632,2502272,4833,10736885760,70668288
60.29,1099366400,nan,nan,nan,nan
62.30,5568401408,2501707,4833,10736885760,1164484608
63.80,9242611712,nan,nan,nan,nan
65.80,9242611712,871569,764,10736885760,4471255040
66.81,8198529024,nan,nan,nan,nan
68.31,8198529024,2502069,3969,10736885760,70799360
69.31,7124787200,nan,nan,nan,nan
70.81,7124787200,2501762,3969,10736885760,70795264
71.81,6051045376,nan,nan,nan,nan
73.32,5023453184,2501447,3969,10736885760,70795264
74.32,5023453184,nan,nan,nan,nan
75.82,4352364544,2501258,3969,10736885760,70803456
76.82,3855339520,nan,nan,nan,nan
78.33,3855339520,2501006,3969,10736885760,70795264
79.33,3318468608,nan,nan,nan,nan
80.83,3318468608,2500943,3969,10736885760,70799360
81.83,2781614080,nan,nan,nan,nan
83.33,2288783360,2500628,3969,10736885760,70799360
84.34,2288783360,nan,nan,nan,nan
85.84,1871450112,2502139,4287,10736885760,70799360
86.84,1871450112,nan,nan,nan,nan
88.34,1854672896,2501768,4287,10736885760,70799360
89.34,1854672896,nan,nan,nan,nan
90.85,1854672896,2501579,4287,10736885760,70930432
92.35,5822488576,nan,nan,nan,nan
94.36,9240846336,1323805,2566,10736885760,5975171072
95.86,9240846336,nan,nan,nan,nan
97.36,8198561792,2501965,4504,10736885760,71061504
98.36,8198561792,nan,nan,nan,nan
99.87,7124819968,2501527,4504,10736885760,71057408
100.87,6051213312,nan,nan,nan,nan
102.37,6051213312,2501401,4504,10736885760,71049216
103.37,5124272128,nan,nan,nan,nan
104.87,5124272128,2500708,4504,10736885760,71057408
105.88,4587401216,nan,nan,nan,nan
107.38,4050530304,2500645,4504,10736885760,71057408
108.38,4050530304,nan,nan,nan,nan
109.88,3513659392,2500519,4504,10736885760,71061504
110.89,2976788480,nan,nan,nan,nan
112.39,2976788480,2500393,4504,10736885760,71057408
113.39,2439917568,nan,nan,nan,nan
114.89,2439917568,2500267,4504,10736885760,71057408
115.89,1903046656,nan,nan,nan,nan
117.40,1903046656,2500015,4504,10736885760,71192576
118.40,1395535872,nan,nan,nan,nan
119.90,1395535872,2499889,4504,10736885760,71188480
120.90,1410252800,nan,nan,nan,nan
122.91,5749301248,2499637,4504,10736885760,1277050880
124.41,9247350784,nan,nan,nan,nan
126.41,8330895360,1044999,761,10736885760,3516682240
127.42,8330895360,nan,nan,nan,nan
128.92,7391379456,2500175,3628,10736885760,71196672
129.92,7391379456,nan,nan,nan,nan
131.42,6451855360,2500112,3628,10736885760,71192576
132.42,5558476800,nan,nan,nan,nan
133.93,5558476800,2499797,3628,10736885760,71188480
134.93,5021605888,nan,nan,nan,nan
