time,rss,small,huge,cached,total
0.00,596553728,nan,nan,nan,nan
1.01,598691840,2503556,4884,10736885760,69492736
2.20,600788992,nan,nan,nan,nan
3.70,600788992,2502927,4882,10736885760,69496832
4.70,600797184,nan,nan,nan,nan
6.20,600797184,2504501,4882,10736885760,69488640
7.20,600797184,nan,nan,nan,nan
8.71,600797184,2504249,4882,10736885760,69492736
9.71,600805376,nan,nan,nan,nan
11.21,600805376,2504186,4882,10736885760,69492736
12.71,5842255872,nan,nan,nan,nan
14.71,9224970240,1310611,2553,10736885760,6070042624
16.22,9224970240,nan,nan,nan,nan
17.72,8193171456,2503545,4851,10736885760,70340608
18.72,7119474688,nan,nan,nan,nan
20.22,7119474688,2503048,4851,10736885760,70336512
21.22,6046257152,nan,nan,nan,nan
22.72,6046257152,2502481,4851,10736885760,70475776
23.73,5022846976,nan,nan,nan,nan
25.23,4351758336,2501733,4851,10736885760,70594560
26.23,4351758336,nan,nan,nan,nan
27.73,3680669696,2501482,4851,10736885760,70606848
28.73,3009581056,nan,nan,nan,nan
30.23,3009581056,2501419,4851,10736885760,70594560
31.24,2338504704,nan,nan,nan,nan
32.74,2338508800,2501356,4851,10736885760,70606848
33.74,1667420160,nan,nan,nan,nan
35.24,996331520,2501167,4851,10736885760,70602752
36.24,996331520,nan,nan,nan,nan
37.74,664981504,2501167,4851,10736885760,70602752
38.75,664981504,nan,nan,nan,nan
40.25,664981504,2501104,4851,10736885760,70606848
41.75,6279057408,nan,nan,nan,nan
43.75,9231851520,1234003,2393,10736885760,6459670528
45.26,9231851520,nan,nan,nan,nan
46.76,8244092928,2503143,4829,10736885760,70606848
47.76,7170351104,nan,nan,nan,nan
49.26,7170351104,2502268,4829,10736885760,70733824
50.26,6096609280,nan,nan,nan,nan
51.76,6096609280,2502079,4829,10736885760,70733824
52.76,5073199104,nan,nan,nan,nan
54.26,4402110464,2502016,4829,10736885760,70725632
55.27,4402126848,nan,nan,nan,nan
56.77,3731038208,2501953,4829,10736885760,70733824
57.77,3059949568,nan,nan,nan,nan
59.27,3059949568,2501890,4829,10736885760,70737920
60.28,2388860928,nan,nan,nan,nan
61.78,2388860928,2501764,4829,10736885760,70729728
62.78,1717567488,nan,nan,nan,nan
64.28,1717567488,2501386,4829,10736885760,70733824
65.28,1046478848,nan,nan,nan,nan
66.78,710934528,2501323,4829,10736885760,70860800
67.79,710934528,nan,nan,nan,nan
69.29,710934528,2501071,4829,10736885760,70860800
70.29,1157627904,nan,nan,nan,nan
72.29,5920260096,2497747,4823,10736885760,1243660288
73.79,9237954560,nan,nan,nan,nan
75.80,9237954560,1102609,763,10736885760,3367550976
76.80,8329900032,nan,nan,nan,nan
78.30,8330006528,2501949,3825,10736885760,70864896
79.30,7390482432,nan,nan,nan,nan
80.80,6450958336,2501760,3825,10736885760,70868992
81.80,6450958336,nan,nan,nan,nan
83.31,5553377280,2501641,3825,10736885760,70868992
84.31,5528211456,nan,nan,nan,nan
85.81,5016506368,2501018,3825,10736885760,70860800
86.81,4649504768,nan,nan,nan,nan
88.31,4649504768,2500892,3825,10736885760,70864896
89.31,4246851584,nan,nan,nan,nan
90.82,4246851584,2500640,3825,10736885760,70868992
91.82,3844198400,nan,nan,nan,nan
93.32,3353550848,2500640,3825,10736885760,71127040
94.32,3353784320,nan,nan,nan,nan
95.82,2816913408,2502060,3943,10736885760,71127040
96.83,2569449472,nan,nan,nan,nan
98.33,2569449472,2501871,3943,10736885760,71131136
99.33,2569449472,nan,nan,nan,nan
100.83,2569486336,2501619,3943,10736885760,71118848
102.33,5845237760,nan,nan,nan,nan
104.34,9234235392,1318740,2553,10736885760,5978005504
105.84,9234235392,nan,nan,nan,nan
107.34,8183562240,2503132,4446,10736885760,71131136
108.34,7109902336,nan,nan,nan,nan
109.84,7109902336,2502448,4446,10736885760,71118848
110.84,6036160512,nan,nan,nan,nan
112.35,6036160512,2501946,4446,10736885760,71131136
113.35,5008556032,nan,nan,nan,nan
114.85,4496850944,2501631,4446,10736885760,71131136
115.85,4496850944,nan,nan,nan,nan
117.35,3959980032,2501316,4446,10736885760,71131136
118.35,3423117312,nan,nan,nan,nan
119.86,3423117312,2501316,4446,10736885760,71258112
120.86,2886246400,nan,nan,nan,nan
122.36,2886246400,2501127,4446,10736885760,71258112
123.36,2349375488,nan,nan,nan,nan
124.86,1812504576,2501001,4446,10736885760,71254016
125.86,1812504576,nan,nan,nan,nan
127.37,1514713088,2500938,4446,10736885760,71258112
128.37,1514713088,nan,nan,nan,nan
129.87,1514713088,2500875,4446,10736885760,71262208
130.87,1531494400,nan,nan,nan,nan
132.88,6178783232,2500875,4446,10736885760,1326608384
134.38,9238528000,nan,nan,nan,nan
136.38,9238528000,1268684,763,10736885760,2867826688
137.38,8189952000,nan,nan,nan,nan
138.88,8189960192,2501287,3900,10736885760,71245824
139.88,7116218368,nan,nan,nan,nan
141.39,6042476544,2500854,3900,10736885760,71258112
142.39,6042476544,nan,nan,nan,nan
143.89,5010677760,2500793,3900,10736885760,71249920
144.89,5010677760,nan,nan,nan,nan
