time,rss,small,huge,cached,total
0.00,598192128,nan,nan,nan,nan
1.01,598192128,2503066,4882,10736885760,68726784
2.69,6404386816,nan,nan,nan,nan
4.69,9227190272,1178209,2295,10736885760,6621638656
6.19,9227190272,nan,nan,nan,nan
7.69,9227264000,2503124,4843,10736885760,70443008
8.70,9227309056,nan,nan,nan,nan
10.20,9227309056,2502810,4843,10736885760,70438912
11.20,9227309056,nan,nan,nan,nan
12.70,9227309056,2501865,4843,10736885760,70447104
13.71,9227309056,nan,nan,nan,nan
15.21,9227579392,2501361,4843,10736885760,70438912
16.21,9227735040,nan,nan,nan,nan
17.71,9227739136,2501245,4843,10736885760,70443008
18.71,9227739136,nan,nan,nan,nan
20.22,9227739136,2501182,4843,10736885760,70569984
21.22,9227739136,nan,nan,nan,nan
22.72,9227739136,2501056,4843,10736885760,70565888
23.72,9227739136,nan,nan,nan,nan
25.23,9227739136,2500993,4843,10736885760,70701056
26.23,9227739136,nan,nan,nan,nan
27.73,9227739136,2500993,4843,10736885760,70688768
28.73,9227739136,nan,nan,nan,nan
30.24,9227739136,2500993,4843,10736885760,70696960
31.74,9229950976,nan,nan,nan,nan
33.74,9236250624,1173307,2275,10736885760,6674247680
35.24,9236254720,nan,nan,nan,nan
36.75,9236254720,2503298,4834,10736885760,70705152
37.75,9236254720,nan,nan,nan,nan
39.25,9236254720,2502794,4834,10736885760,70705152
40.25,9236258816,nan,nan,nan,nan
41.76,9236258816,2502416,4834,10736885760,70692864
42.76,9236258816,nan,nan,nan,nan
44.26,9236258816,2502169,4834,10736885760,70701056
45.26,9236258816,nan,nan,nan,nan
46.76,9236320256,2502106,4834,10736885760,70692864
47.77,9236320256,nan,nan,nan,nan
49.27,9236320256,2502043,4834,10736885760,70828032
50.27,9236320256,nan,nan,nan,nan
51.77,9236320256,2501980,4834,10736885760,70836224
52.77,9236533248,nan,nan,nan,nan
54.28,9236533248,2501854,4834,10736885760,70836224
55.28,9236545536,nan,nan,nan,nan
56.78,9236545536,2501854,4834,10736885760,70823936
57.78,9236545536,nan,nan,nan,nan
59.28,9236545536,2501666,4834,10736885760,70832128
60.29,9236594688,nan,nan,nan,nan
62.29,9236594688,2498156,4828,10736885760,1359130624
63.79,9238691840,nan,nan,nan,nan
65.80,9238700032,1088116,765,10736885760,3563278336
66.80,9238757376,nan,nan,nan,nan
68.30,9238757376,2501596,3880,10736885760,70959104
69.30,9238757376,nan,nan,nan,nan
70.80,9238757376,2501540,3880,10736885760,70950912
71.80,9238757376,nan,nan,nan,nan
73.30,9238757376,2501044,3880,10736885760,70963200
74.30,9238757376,nan,nan,nan,nan
75.80,9238757376,2500856,3880,10736885760,70959104
76.81,9238757376,nan,nan,nan,nan
78.31,9238757376,2500667,3880,10736885760,70963200
79.31,9238757376,nan,nan,nan,nan
80.81,9238757376,2500541,3880,10736885760,70950912
81.82,9238757376,nan,nan,nan,nan
83.32,9238757376,2500290,3880,10736885760,70963200
84.32,9238757376,nan,nan,nan,nan
85.82,9238757376,2499849,3880,10736885760,70950912
86.82,9238757376,nan,nan,nan,nan
88.33,9238757376,2499849,3880,10736885760,70959104
89.33,9238757376,nan,nan,nan,nan
90.83,9238757376,2499597,3880,10736885760,71090176
92.33,9240862720,nan,nan,nan,nan
94.34,9245057024,1169378,2267,10736885760,6647316480
95.84,9245077504,nan,nan,nan,nan
97.34,9245077504,2501821,4514,10736885760,71221248
98.34,9245102080,nan,nan,nan,nan
99.85,9245102080,2501191,4514,10736885760,71225344
100.85,9245102080,nan,nan,nan,nan
102.35,9245102080,2500876,4514,10736885760,71221248
103.35,9245102080,nan,nan,nan,nan
104.85,9245102080,2500876,4514,10736885760,71221248
105.86,9245110272,nan,nan,nan,nan
107.36,9245110272,2500876,4514,10736885760,71229440
108.36,9245110272,nan,nan,nan,nan
109.86,9245110272,2500750,4514,10736885760,71221248
110.86,9245110272,nan,nan,nan,nan
112.37,9245110272,2500687,4514,10736885760,71221248
113.37,9245200384,nan,nan,nan,nan
114.87,9245204480,2500561,4514,10736885760,71229440
115.87,9245204480,nan,nan,nan,nan
117.37,9245204480,2500057,4514,10736885760,71352320
118.38,9245204480,nan,nan,nan,nan
119.88,9245208576,2499868,4514,10736885760,71364608
120.88,9245380608,nan,nan,nan,nan
122.88,9245409280,2499364,4514,10736885760,1295904768
124.39,9247506432,nan,nan,nan,nan
126.39,9247506432,1459785,763,10736885760,2078855168
127.39,9247506432,nan,nan,nan,nan
128.89,9247506432,2500329,4060,10736885760,71352320
129.90,9247506432,nan,nan,nan,nan
131.40,9247506432,2500085,4060,10736885760,71360512
132.40,9247510528,nan,nan,nan,nan
133.90,9247510528,2500022,4060,10736885760,71340032
134.91,9247510528,nan,nan,nan,nan
