time,rss,small,huge,cached,total
0.00,583864320,nan,nan,nan,nan
1.03,588484608,2509530,4891,10736885760,69353472
2.72,3969757184,nan,nan,nan,nan
4.72,6706601984,1718085,3336,10736885760,4040609792
6.22,9229504512,nan,nan,nan,nan
8.22,9229611008,397630,770,10736885760,6763958272
9.27,669061120,nan,nan,nan,nan
10.77,669061120,2509003,4862,10736885760,70283264
11.77,669368320,nan,nan,nan,nan
13.27,668958720,2509210,4861,10736885760,70275072
14.27,666951680,nan,nan,nan,nan
15.77,666951680,2509288,4860,10736885760,70283264
16.77,666951680,nan,nan,nan,nan
18.28,666951680,2509328,4861,10736885760,70270976
19.28,664854528,nan,nan,nan,nan
20.78,664854528,2509342,4863,10736885760,70406144
21.78,664854528,nan,nan,nan,nan
23.28,664854528,2509275,4863,10736885760,70406144
24.28,660660224,nan,nan,nan,nan
25.78,660660224,2509255,4862,10736885760,70537216
26.78,660660224,nan,nan,nan,nan
28.28,660660224,2509273,4862,10736885760,70533120
29.29,660660224,nan,nan,nan,nan
30.79,660660224,2509281,4862,10736885760,70533120
32.29,3802193920,nan,nan,nan,nan
34.29,6664806400,1776099,3436,10736885760,3851378688
35.80,9238011904,nan,nan,nan,nan
37.80,9238011904,407135,766,10736885760,6751178752
38.80,687923200,nan,nan,nan,nan
40.30,687923200,2509208,4851,10736885760,70541312
41.30,687923200,nan,nan,nan,nan
42.80,687923200,2509093,4851,10736885760,70541312
43.80,687923200,nan,nan,nan,nan
45.31,687923200,2509078,4851,10736885760,70537216
46.31,687923200,nan,nan,nan,nan
47.81,687923200,2509094,4851,10736885760,70672384
48.81,687923200,nan,nan,nan,nan
50.31,687923200,2509034,4851,10736885760,70672384
51.31,687923200,nan,nan,nan,nan
52.81,687923200,2509147,4851,10736885760,70664192
53.82,687923200,nan,nan,nan,nan
55.32,687923200,2509017,4851,10736885760,70660096
56.32,687923200,nan,nan,nan,nan
57.82,687923200,2509121,4851,10736885760,70664192
58.82,687923200,nan,nan,nan,nan
60.33,687923200,2509046,4851,10736885760,70651904
61.83,3835756544,nan,nan,nan,nan
63.83,6700466176,1771399,3423,10736885760,3858821120
65.33,9238052864,nan,nan,nan,nan
67.33,9238073344,398124,766,10736885760,7390650368
68.34,9238073344,nan,nan,nan,nan
69.84,704839680,2509017,4843,10736885760,70799360
70.84,704839680,nan,nan,nan,nan
72.34,704839680,2508914,4843,10736885760,70799360
73.34,704839680,nan,nan,nan,nan
74.85,704839680,2508937,4843,10736885760,70799360
75.85,704839680,nan,nan,nan,nan
77.35,704839680,2508928,4843,10736885760,70799360
78.35,704839680,nan,nan,nan,nan
79.85,704839680,2509034,4843,10736885760,70799360
80.85,704839680,nan,nan,nan,nan
82.35,704839680,2508885,4843,10736885760,70803456
83.36,704839680,nan,nan,nan,nan
84.86,704860160,2509007,4843,10736885760,70799360
85.86,704860160,nan,nan,nan,nan
87.36,704860160,2508933,4843,10736885760,70803456
88.36,704860160,nan,nan,nan,nan
89.87,704860160,2508893,4843,10736885760,70791168
90.87,973295616,nan,nan,nan,nan
92.87,3779284992,2508119,4842,10736885760,817197056
94.37,7520632832,nan,nan,nan,nan
96.38,9244491776,850954,1639,10736885760,7578513408
97.88,9244561408,nan,nan,nan,nan
99.38,2707738624,2508802,4835,10736885760,71069696
100.38,736415744,nan,nan,nan,nan
101.89,736415744,2508895,4834,10736885760,71057408
102.89,736415744,nan,nan,nan,nan
104.39,736415744,2508871,4834,10736885760,71065600
105.39,736415744,nan,nan,nan,nan
106.89,736415744,2508849,4833,10736885760,71061504
107.89,736415744,nan,nan,nan,nan
109.40,736415744,2508798,4834,10736885760,71057408
110.40,736415744,nan,nan,nan,nan
111.90,736415744,2508761,4833,10736885760,71061504
112.90,736415744,nan,nan,nan,nan
114.41,736415744,2508857,4833,10736885760,71061504
115.41,736415744,nan,nan,nan,nan
116.91,736415744,2508852,4832,10736885760,71065600
117.91,736415744,nan,nan,nan,nan
119.41,736415744,2508722,4833,10736885760,71188480
120.41,977612800,nan,nan,nan,nan
122.42,3869585408,2507987,4832,10736885760,821104640
123.92,7694790656,nan,nan,nan,nan
125.92,9236197376,814240,1570,10736885760,7735451648
127.42,9238294528,nan,nan,nan,nan
128.92,9238294528,2508714,4829,10736885760,71196672
129.92,734343168,nan,nan,nan,nan
131.43,734343168,2508719,4829,10736885760,71192576
132.43,734343168,nan,nan,nan,nan
133.93,734343168,2508734,4829,10736885760,71192576
134.93,734343168,nan,nan,nan,nan
136.43,734343168,2508752,4829,10736885760,71192576
137.44,734343168,nan,nan,nan,nan
