time,rss,small,huge,cached,total
0.00,587423744,nan,nan,nan,nan
1.00,587423744,2509312,4890,10736885760,68747264
2.18,587423744,nan,nan,nan,nan
3.69,587423744,2509162,4890,10736885760,69427200
4.69,587538432,nan,nan,nan,nan
6.19,587538432,2509169,4890,10736885760,69427200
7.19,587542528,nan,nan,nan,nan
8.69,587542528,2509266,4890,10736885760,69431296
9.69,587542528,nan,nan,nan,nan
11.20,587542528,2509141,4890,10736885760,69431296
12.20,587939840,nan,nan,nan,nan
13.70,588087296,2509452,4890,10736885760,69423104
14.70,588087296,nan,nan,nan,nan
16.20,588087296,2509338,4890,10736885760,69427200
17.20,588087296,nan,nan,nan,nan
18.71,588087296,2509428,4890,10736885760,69558272
19.71,588087296,nan,nan,nan,nan
21.21,588087296,2509533,4890,10736885760,69558272
22.71,3833061376,nan,nan,nan,nan
24.71,6773268480,1774253,3448,10736885760,3819044864
26.22,9229045760,nan,nan,nan,nan
28.22,9229045760,416168,770,10736885760,6697635840
29.22,647503872,nan,nan,nan,nan
30.72,647503872,2509122,4876,10736885760,70537216
31.72,647503872,nan,nan,nan,nan
33.23,647503872,2509042,4875,10736885760,70537216
34.23,647503872,nan,nan,nan,nan
35.73,647503872,2509084,4875,10736885760,70533120
36.73,647503872,nan,nan,nan,nan
38.23,647503872,2508994,4874,10736885760,70537216
39.23,647503872,nan,nan,nan,nan
40.74,647503872,2509001,4874,10736885760,70529024
41.74,647503872,nan,nan,nan,nan
43.24,647503872,2509034,4874,10736885760,70537216
44.24,647503872,nan,nan,nan,nan
45.74,647503872,2509126,4874,10736885760,70533120
46.74,647503872,nan,nan,nan,nan
48.25,647503872,2509042,4874,10736885760,70533120
49.25,647503872,nan,nan,nan,nan
50.75,647503872,2509096,4874,10736885760,70664192
52.25,3988361216,nan,nan,nan,nan
54.25,6937333760,1728502,3345,10736885760,4100964352
55.75,9330253824,nan,nan,nan,nan
57.76,9330253824,406888,729,10736885760,6766919680
58.76,9330384896,nan,nan,nan,nan
60.26,1749180416,2496930,4356,10736885760,118071296
61.26,1749303296,nan,nan,nan,nan
62.77,1749303296,2496858,4355,10736885760,118067200
63.77,1749303296,nan,nan,nan,nan
65.27,1749303296,2496871,4354,10736885760,118059008
66.27,1749303296,nan,nan,nan,nan
67.77,1749303296,2496897,4352,10736885760,118194176
68.78,1749303296,nan,nan,nan,nan
70.28,1749303296,2496912,4352,10736885760,118198272
71.28,1749368832,nan,nan,nan,nan
72.78,1749368832,2496881,4352,10736885760,118190080
73.78,1749368832,nan,nan,nan,nan
75.28,1747271680,2496874,4354,10736885760,118198272
76.29,1747271680,nan,nan,nan,nan
77.79,1747271680,2496962,4353,10736885760,118198272
78.79,1747271680,nan,nan,nan,nan
80.29,1747271680,2496931,4352,10736885760,118198272
81.79,4354097152,nan,nan,nan,nan
83.80,7231389696,1653335,3171,10736885760,4342190080
85.30,9299185664,nan,nan,nan,nan
87.30,9299185664,611916,742,10736885760,5949931520
88.30,9298698240,nan,nan,nan,nan
89.81,1763631104,2496864,4347,10736885760,118198272
90.81,1763631104,nan,nan,nan,nan
92.31,1763631104,2496780,4346,10736885760,118321152
93.31,1763631104,nan,nan,nan,nan
94.81,1761533952,2496837,4346,10736885760,118321152
95.82,1761533952,nan,nan,nan,nan
97.32,1761533952,2496732,4347,10736885760,118460416
98.32,1761533952,nan,nan,nan,nan
99.82,1761533952,2496781,4347,10736885760,118452224
100.82,1761533952,nan,nan,nan,nan
102.33,1761533952,2496691,4347,10736885760,118456320
103.33,1761533952,nan,nan,nan,nan
104.83,1761538048,2496740,4347,10736885760,118452224
105.83,1761538048,nan,nan,nan,nan
107.33,1761538048,2496779,4347,10736885760,118460416
108.33,1761538048,nan,nan,nan,nan
109.83,1761538048,2496659,4347,10736885760,118448128
110.83,1883205632,nan,nan,nan,nan
112.84,4389302272,2495870,4346,10736885760,1004011520
114.34,8252256256,nan,nan,nan,nan
116.35,9296637952,690292,1327,10736885760,8223764480
117.85,9298735104,nan,nan,nan,nan
119.35,9298739200,2496677,4340,10736885760,118591488
120.35,1782616064,nan,nan,nan,nan
121.86,1782616064,2496705,4340,10736885760,118587392
122.86,1782616064,nan,nan,nan,nan
124.36,1782616064,2496594,4340,10736885760,118583296
125.36,1782616064,nan,nan,nan,nan
126.86,1782616064,2496647,4340,10736885760,118583296
127.87,1782616064,nan,nan,nan,nan
129.37,1782616064,2496637,4340,10736885760,118583296
130.37,1782628352,nan,nan,nan,nan
131.87,1782628352,2496625,4340,10736885760,118587392
132.87,1782628352,nan,nan,nan,nan
134.37,1782628352,2496654,4340,10736885760,118583296
135.38,1782628352,nan,nan,nan,nan
136.88,1782628352,2496602,4340,10736885760,118587392
137.88,1782628352,nan,nan,nan,nan
139.38,1782628352,2496594,4340,10736885760,118587392
140.38,1927331840,nan,nan,nan,nan
142.39,4397776896,2495641,4339,10736885760,1025003520
143.89,8214593536,nan,nan,nan,nan
145.89,9305112576,677431,1301,10736885760,8331743232
147.40,9305112576,nan,nan,nan,nan
148.90,9305112576,2496400,4335,10736885760,118718464
149.90,1793114112,nan,nan,nan,nan
151.40,1793114112,2496392,4333,10736885760,118718464
152.41,1793114112,nan,nan,nan,nan
153.91,1793114112,2496297,4334,10736885760,118718464
154.91,1793114112,nan,nan,nan,nan
156.41,1793114112,2496298,4333,10736885760,118718464
