IterTime,Bandwidth
0.068429,10521.855811
0.068204,10556.577038
0.068330,10537.091735
0.068193,10558.274818
0.068250,10549.459689
0.068287,10543.713816
0.068220,10554.105160
0.068308,10540.512105
0.068298,10542.020715
0.068066,10577.986823
0.068369,10531.065521
0.068346,10534.628973
0.068323,10538.194838
0.068314,10539.555649
0.068149,10565.071404
0.068325,10537.900654
0.068135,10567.252597
0.068213,10555.174935
0.068397,10526.770544
0.068265,10547.138486
0.068317,10539.077486
0.068314,10539.592432
0.068483,10513.540571
0.068918,10447.199676
0.068595,10496.402186
0.068317,10539.077486
0.068407,10525.266295
0.068347,10534.445231
0.068442,10519.876544
0.068478,10514.309270
0.068375,10530.184215
0.068429,10521.855811
0.068393,10527.394383
0.068284,10544.192400
0.068406,10525.376347
0.068255,10548.685841
0.068400,10526.293540
0.068251,10549.312281
0.068270,10546.364979
0.068329,10537.238802
0.068210,10555.654560
0.068309,10540.328157
0.068451,10518.447537
0.068313,10539.739569
0.068225,10553.330631
0.068326,10537.716798
0.068340,10535.584535
0.068195,10557.942601
0.068330,10537.091735
0.068326,10537.716798
0.068310,10540.181004
0.068278,10545.112875
0.068303,10541.284753
0.068398,10526.623769
0.068298,10542.020715
0.068127,10568.509965
0.068273,10545.886198
0.068373,10530.477967
0.068293,10542.793585
0.068217,10554.547799
0.068224,10553.478151
0.068371,10530.771736
0.068392,10527.577879
0.068370,10530.918627
0.068253,10548.980627
0.068352,10533.710327
0.068172,10561.524268
0.068313,10539.702784
0.068330,10537.128501
0.068386,10528.458749
0.068260,10547.912107
0.068184,10559.640820
0.068426,10522.332412
0.068321,10538.489037
0.068251,10549.275429
0.068307,10540.659267
0.068255,10548.685841
0.068302,10541.431937
0.068321,10538.489037
0.068320,10538.636143
0.068252,10549.128026
0.068276,10545.444285
0.069619,10342.013198
0.068538,10505.092288
0.068510,10509.442737
0.068514,10508.784455
0.068460,10517.092170
0.068558,10502.060072
0.068289,10543.419324
0.068429,10521.855811
0.068418,10523.542441
0.068325,10537.863883
0.068377,10529.853763
0.068446,10519.253596
0.068464,10516.469552
0.068501,10510.796132
0.068219,10554.252702
0.068418,10523.542441
0.068377,10529.853763
0.068396,10526.917323
0.068407,10525.266295
0.068436,10520.756126
0.068386,10528.495456
0.068424,10522.589062
0.068363,10532.020437
0.068420,10523.249075
0.068434,10521.086008
0.068380,10529.376480
0.068531,10506.188700
0.068395,10527.100802
0.068347,10534.481979
0.068337,10536.025622
0.068384,10528.752406
0.068334,10536.503508
0.068411,10524.606029
0.068385,10528.642283
0.068533,10505.859753
0.068541,10504.653787
0.068349,10534.188003
0.068358,10532.791841
0.068399,10526.476998
0.068443,10519.693316
0.068369,10531.065521
0.068356,10533.122478
0.068341,10535.400760
0.068377,10529.853763
0.068316,10539.224608
0.068243,10550.565383
0.068362,10532.167362
0.068371,10530.808458
0.068404,10525.669831
0.068616,10493.192678
0.068451,10518.484173
0.068357,10532.938788
0.068258,10548.206850
0.068451,10518.447537
0.068413,10524.349281
0.068483,10513.540571
0.068299,10541.873514
0.068438,10520.462916
0.068337,10536.025622
0.068366,10531.542958
0.068322,10538.305160
0.068360,10532.497960
0.068360,10532.461226
0.068455,10517.861389
0.068395,10527.100802
0.068431,10521.525881
0.068385,10528.642283
0.068254,10548.833232
0.068339,10535.694803
0.068405,10525.559773
0.068309,10540.328157
0.068284,10544.192400
0.068299,10541.910314
0.068316,10539.261389
0.068323,10538.158064
0.068346,10534.628973
0.068376,10530.000628
0.068488,10512.808580
0.068623,10492.098976
0.068338,10535.878589
0.068311,10540.033855
0.068447,10519.070390
0.068342,10535.253744
0.068294,10542.646363
0.068344,10534.959725
0.068395,10527.064106
0.068320,10538.636143
0.068359,10532.644898
0.068330,10537.091735
0.068491,10512.332841
0.068411,10524.642708
0.068315,10539.408517
0.068400,10526.293540
0.068362,10532.167362
0.068439,10520.316317
0.068445,10519.400165
0.068273,10545.886198
0.068333,10536.650559
0.068416,10523.835823
0.068460,10517.092170
0.068229,10552.703714
0.068288,10543.566568
0.068327,10537.569718
0.068355,10533.232695
0.068304,10541.100779
0.068220,10554.105160
0.068405,10525.559773
0.068360,10532.497960
0.068468,10515.847007
0.068369,10531.102246
0.068226,10553.146236
0.068425,10522.479068
0.068285,10544.045138
0.068437,10520.609519
0.068424,10522.625727
0.068300,10541.726318
0.068449,10518.777273
0.068389,10528.018296
0.068321,10538.489037
0.068308,10540.475315
0.068299,10541.873514
0.068392,10527.541179
0.068291,10543.124849
0.068411,10524.606029
0.068356,10533.122478
0.068266,10546.954308
0.068279,10544.965588
0.068305,10540.953604
0.068232,10552.261230
0.068395,10527.064106
0.068329,10537.275569
0.068271,10546.180828
0.068331,10536.944672
0.068254,10548.833232
0.068286,10543.897881
0.068303,10541.247958
0.068238,10551.339506
0.068426,10522.295749
0.068607,10494.578361
0.068541,10504.653787
0.068284,10544.192400
0.068435,10520.939391
0.068522,10507.577818
0.068520,10507.906873
0.068294,10542.683168
0.068301,10541.579126
0.068437,10520.646170
0.068425,10522.442403
0.068432,10521.415909
0.068393,10527.394383
0.068291,10543.124849
0.068240,10551.007725
0.068444,10519.546739
0.068396,10526.917323
0.068327,10537.569718
0.068267,10546.806970
