IterTime,Bandwidth
0.011700,61538.908972
0.011547,62353.379584
0.011540,62392.026776
0.011573,62213.363548
0.011549,62343.081751
0.011550,62337.934109
0.011585,62149.346175
0.011545,62363.680819
0.011551,62332.787318
0.011577,62191.582849
0.011570,62230.029674
0.011553,62322.496285
0.011523,62483.682936
0.011569,62235.159509
0.011536,62412.658207
0.011557,62300.639119
0.011545,62363.680819
0.011558,62295.498484
0.011555,62309.637271
0.011571,62224.900684
0.011549,62343.081751
0.011560,62283.935157
0.011544,62370.120820
0.011548,62349.517498
0.011565,62256.970746
0.011555,62310.922934
0.011568,62240.290190
0.011558,62295.498484
0.011739,61333.933424
0.011561,62278.797278
0.011561,62278.797278
0.011524,62478.512051
0.011546,62358.529776
0.011572,62219.772540
0.011567,62245.421717
0.011546,62359.817457
0.011571,62223.618569
0.011545,62364.968713
0.011567,62246.704730
0.011534,62424.269384
0.011554,62316.066115
0.011527,62463.004530
0.011548,62348.230242
0.011558,62294.213458
0.011551,62331.500753
0.011531,62441.048714
0.011565,62256.970746
0.011554,62316.066115
0.011538,62402.340786
0.011553,62321.210145
0.011540,62390.737764
0.011554,62316.066115
0.011561,62278.797278
0.011582,62164.698326
0.011558,62295.498484
0.011549,62343.081751
0.011529,62451.378940
0.011542,62380.427589
0.011541,62386.871049
0.011538,62402.340786
0.011575,62203.111908
0.011568,62240.290190
0.011545,62364.968713
0.011552,62326.355024
0.011560,62283.935157
0.011562,62272.376121
0.011566,62251.837315
0.011542,62380.427589
0.011545,62364.968713
0.011554,62316.066115
0.011522,62488.854678
0.011660,61750.309375
0.011586,62142.951683
0.011534,62424.269384
0.011538,62403.630277
0.011555,62309.637271
0.011553,62322.496285
0.011542,62381.716174
0.011582,62164.698326
0.011582,62165.978015
0.011550,62337.934109
0.011581,62171.097295
0.011522,62488.854678
0.011577,62192.863645
0.011564,62262.105024
0.011531,62439.757676
0.011552,62327.641377
0.011546,62359.817457
0.011562,62272.376121
0.011529,62451.378940
0.011556,62305.780602
0.011549,62343.081751
0.011559,62289.073883
0.011569,62235.159509
0.011549,62343.081751
0.011516,62522.491874
0.011527,62461.712584
0.011572,62219.772540
0.011552,62326.355024
0.011539,62397.183355
0.011738,61338.916580
0.011538,62402.340786
0.011555,62310.922934
0.011523,62484.975791
0.011578,62187.740780
0.012081,59598.170156
0.011524,62478.512051
0.011546,62358.529776
0.011551,62332.787318
0.011571,62224.900684
0.011512,62543.209692
0.011537,62407.499070
0.011555,62310.922934
0.011537,62407.499070
0.011557,62299.353880
0.011552,62327.641377
0.011546,62359.817457
0.011570,62230.029674
0.011528,62456.545334
0.011544,62370.120820
0.011551,62332.787318
0.011522,62490.147747
0.011540,62392.026776
0.011547,62353.379584
0.011555,62310.922934
0.011556,62305.780602
0.011549,62343.081751
0.011563,62267.240149
0.011562,62272.376121
0.011569,62236.442100
0.011546,62358.529776
0.011549,62343.081751
0.011553,62321.210145
0.011550,62337.934109
0.011545,62363.680819
0.011556,62305.780602
0.011553,62321.210145
0.011541,62386.871049
0.011562,62272.376121
0.011570,62230.029674
0.011537,62407.499070
0.011547,62353.379584
0.011547,62354.667052
0.011534,62424.269384
0.011550,62337.934109
0.011558,62294.213458
0.011551,62332.787318
0.011573,62213.363548
0.011572,62219.772540
0.011556,62304.495152
0.011554,62316.066115
0.011556,62305.780602
0.011561,62277.512941
0.011537,62408.788774
0.011569,62235.159509
0.011558,62294.213458
0.011559,62289.073883
0.011613,62000.059128
0.011572,62218.490636
0.011558,62295.498484
0.011546,62358.529776
0.011557,62300.639119
0.011535,62419.108328
0.011575,62203.111908
0.011521,62494.027275
0.011544,62370.120820
0.011543,62375.273779
0.011540,62392.026776
0.011537,62407.499070
0.011576,62197.987354
0.011558,62294.213458
0.011538,62402.340786
0.011565,62256.970746
0.011533,62429.431294
0.011535,62419.108328
0.011525,62473.342022
0.011540,62392.026776
0.011541,62386.871049
0.011549,62343.081751
0.011533,62430.721905
0.011530,62444.922148
0.011535,62419.108328
0.011534,62424.269384
0.011567,62246.704730
0.011531,62439.757676
0.011546,62359.817457
0.011533,62429.431294
0.011568,62240.290190
0.011565,62256.970746
0.011524,62478.512051
0.011531,62439.757676
0.011569,62235.159509
0.011541,62386.871049
0.011564,62262.105024
0.011560,62283.935157
0.011521,62494.027275
0.011561,62278.797278
0.011524,62477.219464
0.011560,62283.935157
