IterTime,Bandwidth
0.069059,10425.883571
0.069138,10413.947156
0.069003,10434.313040
0.069150,10412.151871
0.069035,10429.484241
0.068960,10440.842625
0.069069,10424.336048
0.069078,10423.004825
0.068961,10440.698236
0.069084,10422.069575
0.069075,10423.472513
0.069341,10383.475555
0.069115,10417.395840
0.068948,10442.647819
0.069107,10418.653741
0.069104,10419.085091
0.069062,10425.415667
0.069081,10422.537179
0.068837,10459.502291
0.069064,10425.127747
0.068982,10437.486624
0.069190,10406.124244
0.069190,10406.124244
0.069143,10413.193061
0.069045,10428.007666
0.069123,10416.210097
0.069128,10415.455674
0.069137,10414.090806
0.068997,10435.250489
0.068902,10449.621725
0.068959,10440.987017
0.069096,10420.271488
0.068948,10442.647819
0.069019,10431.898082
0.069040,10428.727894
0.069113,10417.719271
0.070177,10259.760280
0.069034,10429.664340
0.068988,10436.584842
0.069072,10423.904263
0.068990,10436.296304
0.069211,10402.969699
0.069183,10407.200094
0.069069,10424.372031
0.068988,10436.584842
0.068968,10439.651539
0.069045,10427.971657
0.069119,10416.820901
0.069096,10420.271488
0.069121,10416.533455
0.072776,9893.360677
0.072831,9885.911711
0.069048,10427.503565
0.069070,10424.228098
0.069181,10407.487025
0.069078,10422.968851
0.069119,10416.820901
0.069147,10412.618585
0.069095,10420.415312
0.069113,10417.719271
0.069100,10419.696232
0.069131,10414.988705
0.069030,10430.276722
0.069013,10432.799055
0.069082,10422.393296
0.069463,10365.228231
0.069525,10355.986544
0.069378,10377.944686
0.069238,10398.921782
0.069211,10402.969699
0.069298,10389.905903
0.069516,10357.336223
0.069269,10394.233004
0.069154,10411.541615
0.069118,10417.000562
0.069178,10407.917451
0.069078,10423.004825
0.069254,10396.523176
0.069269,10394.268780
0.069222,10401.321494
0.069265,10394.841232
0.069130,10415.168304
0.069212,10402.826357
0.069156,10411.218567
0.069240,10398.635323
0.069185,10406.877315
0.069168,10409.424222
0.069159,10410.787868
0.069171,10408.993672
0.069136,10414.270373
0.069185,10406.877315
0.069157,10411.074997
0.069118,10416.964629
0.069166,10409.747159
0.069223,10401.178197
0.069175,10408.383786
0.069142,10413.336690
0.069119,10416.820901
0.069109,10418.330251
0.069232,10399.781253
0.069280,10392.623330
0.069184,10407.020770
0.069102,10419.408627
0.069101,10419.552427
