IterTime,Bandwidth
0.027482,26198.935351
0.027323,26351.418225
0.027314,26360.158865
0.027239,26432.838037
0.027463,26217.130951
0.027222,26449.043423
0.027256,26416.190343
0.027191,26479.424097
0.027219,26452.055183
0.027228,26443.485053
0.027220,26451.360101
0.027237,26434.457682
0.027216,26455.067629
0.027240,26431.681269
0.027241,26430.755927
0.027230,26441.401266
0.027257,26415.266086
0.027255,26417.114665
0.027242,26429.830651
0.027214,26456.921783
0.027250,26421.968415
0.027214,26456.921783
0.027228,26443.485053
0.027222,26449.275073
0.027270,26402.564107
0.027232,26439.549287
0.027231,26440.475244
0.027348,26327.526089
0.027323,26351.418225
0.027245,26427.055210
0.027221,26449.970046
0.027240,26431.912614
0.027240,26431.681269
0.027236,26435.614692
0.027208,26462.717689
0.027204,26466.660357
0.027224,26447.190374
0.027228,26443.485053
0.027268,26404.410908
0.027235,26436.540374
0.027279,26394.026010
0.027231,26440.243749
0.027235,26436.771805
0.027218,26452.982017
0.027225,26446.263946
0.027221,26450.201711
0.027194,26476.406102
0.027207,26463.877175
0.027216,26455.067629
0.027227,26444.411286
0.027251,26421.043754
0.027216,26454.835878
0.027228,26443.485053
0.027206,26464.572916
0.027227,26444.411286
0.027313,26361.079269
0.027208,26462.717689
0.027217,26454.140650
0.027247,26424.974012
0.027270,26402.564107
0.027236,26435.614692
0.027268,26404.641777
0.027232,26439.317808
0.027227,26444.411286
0.027227,26444.411286
0.027185,26484.997588
0.027298,26375.584125
0.027202,26468.748127
0.027210,26460.862723
0.027224,26447.190374
0.027243,26428.905439
0.027227,26444.411286
0.027242,26429.830651
0.027250,26421.968415
0.027249,26423.124333
0.027270,26402.794943
0.027224,26447.190374
0.027250,26421.968415
0.027209,26461.790174
0.027434,26244.927954
0.027244,26427.749015
0.027299,26374.662707
0.027318,26356.247862
0.027260,26412.262697
0.027239,26432.606675
0.027241,26430.755927
0.027228,26443.485053
0.027236,26435.614692
0.027177,26493.129803
0.027249,26422.893141
0.027213,26457.848957
0.027258,26414.341893
0.027250,26421.968415
0.027238,26433.532146
0.027199,26471.764376
0.027224,26447.190374
0.027193,26477.334643
0.027222,26449.275073
0.027246,26425.898948
0.027210,26460.862723
0.027232,26439.549287
0.027246,26425.898948
0.027239,26432.838037
0.027240,26431.681269
0.027329,26345.670965
0.027234,26437.466120
0.027202,26468.516136
0.027229,26442.558885
0.027229,26442.327353
0.027207,26463.877175
0.027409,26268.670343
0.027267,26405.565290
0.027245,26426.823949
0.027242,26429.830651
0.027232,26439.317808
0.027240,26431.912614
0.027181,26489.179247
0.027223,26448.116866
0.027210,26460.862723
0.027218,26453.213735
0.027230,26441.401266
0.027294,26379.500869
0.027214,26456.921783
0.027231,26440.475244
0.027219,26452.055183
0.027219,26452.055183
0.027213,26457.848957
0.027256,26416.421417
0.027233,26438.391932
0.027225,26446.263946
0.027211,26459.935337
0.027216,26455.067629
0.027228,26443.253505
0.027252,26420.119157
0.027240,26431.681269
0.027225,26446.263946
0.027274,26398.640512
0.027347,26328.444216
0.027233,26438.623395
0.027246,26425.898948
0.027300,26373.511026
0.027312,26361.999738
0.027228,26443.485053
0.027227,26444.179721
0.027232,26439.549287
0.027240,26431.681269
0.027201,26469.676130
0.027242,26429.599342
0.027255,26417.345755
0.027258,26414.110856
0.027238,26433.763524
0.027218,26452.982017
0.027260,26412.262697
0.027242,26429.830651
