IterTime,Bandwidth
0.068656,10487.070884
0.068974,10438.713299
0.068775,10468.929741
0.068660,10486.451815
0.068397,10526.770544
0.068527,10506.810102
0.068493,10512.040100
0.068560,10501.731383
0.068603,10495.161916
0.068618,10492.901002
0.068541,10504.653787
0.068622,10492.244790
0.068477,10514.492311
0.068561,10501.585306
0.068607,10494.578361
0.068523,10507.395018
0.068518,10508.199384
0.068478,10514.309270
0.068494,10511.857145
0.068577,10499.175613
0.068470,10515.554070
0.068453,10518.154455
0.068559,10501.913986
0.068481,10513.833395
0.068494,10511.893736
0.068734,10475.175708
0.068499,10511.125389
0.068435,10520.902738
0.068512,10509.113586
0.068512,10509.113586
0.068524,10507.248783
0.068768,10470.018618
0.068607,10494.541891
0.068525,10507.102552
0.068478,10514.345878
0.068682,10483.102825
0.068567,10500.672413
0.068404,10525.706518
0.068385,10528.605575
0.068576,10499.321624
0.068502,10510.613221
0.068473,10515.114695
0.068635,10490.276647
0.068529,10506.481116
0.068594,10496.548119
0.068542,10504.507628
0.068709,10478.992317
0.068695,10481.138109
0.068365,10531.726598
0.068590,10497.131893
0.068558,10502.060072
0.068448,10518.923829
0.068594,10496.548119
0.068457,10517.568340
0.068547,10503.740361
0.068597,10496.073850
0.068537,10505.275007
0.068573,10499.759680
0.068507,10509.881638
0.068399,10526.440306
0.068604,10495.016021
0.068757,10471.652357
0.068444,10519.546739
0.068561,10501.621825
0.068532,10506.042499
0.068576,10499.285121
0.068636,10490.130888
0.068657,10486.888797
0.068570,10500.234281
0.068763,10470.744661
0.068634,10490.422410
0.068580,10498.701107
0.068542,10504.507628
0.068496,10511.564431
0.068587,10497.606257
0.068630,10491.041948
0.068651,10487.835717
0.068503,10510.466896
0.068534,10505.750108
0.068738,10474.558042
0.068575,10499.467638
0.068476,10514.638747
0.068595,10496.402186
0.068481,10513.870000
0.068587,10497.606257
0.068557,10502.206163
0.068507,10509.881638
0.068550,10503.301973
0.068481,10513.870000
0.068459,10517.238680
0.068627,10491.515762
0.068761,10471.035107
0.068533,10505.896301
0.068563,10501.293163
0.068612,10493.776079
0.068584,10498.080664
0.068628,10491.333521
0.068543,10504.361473
0.068655,10487.216558
0.068570,10500.197772
0.068412,10524.495992
0.068682,10483.066434
0.068398,10526.623769
0.068511,10509.259873
0.068547,10503.740361
0.068475,10514.785188
0.068479,10514.162843
0.068604,10495.016021
0.068634,10490.458851
0.068615,10493.338522
0.068664,10485.832818
0.068487,10512.954970
0.068638,10489.802945
0.068544,10504.215323
0.068519,10508.016563
0.068522,10507.577818
0.068464,10516.469552
0.068654,10487.362236
0.068508,10509.735334
0.068524,10507.248783
0.068519,10508.053127
0.068746,10473.322929
0.068568,10500.526365
0.068509,10509.552459
0.068533,10505.896301
0.068500,10510.942466
0.068465,10516.323064
0.068569,10500.380321
0.068610,10494.104270
0.068526,10506.992881
0.068495,10511.710786
0.068496,10511.564431
0.068560,10501.767903
0.068644,10488.892100
0.068621,10492.427063
0.068478,10514.309270
0.068495,10511.710786
0.068580,10498.701107
0.068510,10509.406164
0.068595,10496.402186
0.068619,10492.718713
0.068651,10487.835717
0.068541,10504.653787
0.068611,10493.921939
0.068644,10488.928530
0.068507,10509.845062
0.068533,10505.896301
0.068573,10499.759680
0.068562,10501.439232
0.068508,10509.735334
0.068748,10473.032357
0.068641,10489.365719
0.068491,10512.332841
0.068613,10493.630223
0.068534,10505.750108
0.068744,10473.613518
0.068522,10507.577818
0.068588,10497.460294
0.068530,10506.371458
0.068528,10506.663883
0.068610,10494.104270
0.068557,10502.206163
0.068565,10500.964522
0.068596,10496.256256
0.068486,10513.101364
0.068470,10515.554070
0.068579,10498.810605
0.068653,10487.544339
0.068491,10512.332841
0.068510,10509.406164
0.068507,10509.881638
0.068604,10494.979548
0.068575,10499.467638
0.068587,10497.606257
0.068553,10502.827094
0.068517,10508.345646
0.068602,10495.307815
0.068690,10481.865696
0.068590,10497.168381
0.068549,10503.411567
0.068955,10441.600730
0.068476,10514.638747
0.068592,10496.839998
0.068558,10502.060072
0.068581,10498.518616
0.068531,10506.188700
0.068532,10506.042499
0.068491,10512.332841
0.068689,10482.011225
0.068476,10514.638747
0.068674,10484.303847
0.068685,10482.666158
0.068442,10519.839898
0.068550,10503.301973
0.068539,10504.946117
0.068629,10491.187733
0.068593,10496.694056
0.068594,10496.548119
0.068587,10497.642748
0.068691,10481.720170
0.068579,10498.847105
0.068579,10498.847105
0.068548,10503.594228
0.068455,10517.861389
0.068560,10501.767903
0.068449,10518.777273
0.068609,10494.250140
0.068548,10503.594228
0.068588,10497.460294
0.068591,10496.985943
0.068910,10448.428635
0.068606,10494.687773
0.068585,10497.934688
0.068431,10521.525881
0.068481,10513.870000
0.068464,10516.469552
0.068628,10491.369969
0.068527,10506.810102
0.068636,10490.130888
0.068604,10495.016021
0.068449,10518.777273
0.069760,10321.088467
0.068561,10501.621825
0.068574,10499.577152
0.068494,10511.893736
0.068586,10497.752224
0.068559,10501.913986
0.068637,10489.985133
0.068521,10507.724062
0.068612,10493.812544
0.068562,10501.439232
0.068500,10510.942466
0.068731,10475.611751
0.068512,10509.113586
0.068647,10488.454950
0.068575,10499.467638
0.068639,10489.657199
0.068596,10496.256256
0.068522,10507.541257
0.068583,10498.226644
0.068867,10454.939709
0.068574,10499.613657
0.068832,10460.263109
0.068767,10470.163818
0.068573,10499.759680
0.068548,10503.594228
0.068698,10480.628859
0.068564,10501.147097
0.068562,10501.439232
0.068572,10499.905706
0.068613,10493.630223
0.068541,10504.690327
0.068482,10513.723584
0.068731,10475.611751
0.068554,10502.680986
0.068517,10508.345646
0.068706,10479.428679
0.068581,10498.518616
0.068500,10510.979050
0.068620,10492.536430
0.068611,10493.958405
0.068593,10496.694056
0.068599,10495.782014
0.068551,10503.119322
0.068646,10488.600663
0.068627,10491.479313
0.068637,10489.985133
0.068522,10507.541257
0.068567,10500.708926
0.068675,10484.158254
0.068922,10446.585305
0.068634,10490.422410
0.068548,10503.594228
0.068575,10499.467638
0.068468,10515.883625
0.068617,10493.010379
0.068437,10520.609519
0.068551,10503.155852
0.068515,10508.674749
0.068705,10479.610506
0.068739,10474.376390
0.068498,10511.271732
0.068478,10514.309270
0.068565,10501.001036
0.069710,10328.501394
0.069232,10399.817067
0.068935,10444.598129
0.069632,10340.101008
0.068846,10458.125855
0.068709,10478.955956
0.068743,10473.795144
0.068772,10469.365265
0.068619,10492.718713
0.068641,10489.365719
0.068614,10493.484370
0.068789,10466.788945
0.068722,10476.992794
0.068768,10469.982318
0.068678,10483.721499
0.068719,10477.428989
0.068997,10435.250489
0.068652,10487.653604
0.068755,10471.979166
0.068580,10498.701107
0.068747,10473.177641
0.068686,10482.484224
0.068717,10477.756158
0.068751,10472.560211
0.070655,10190.380499
0.068754,10472.088107
0.068701,10480.192398
0.068660,10486.451815
0.068641,10489.365719
0.068631,10490.896168
0.068727,10476.229541
0.068636,10490.130888
0.068677,10483.830684
0.068700,10480.374252
0.068742,10473.976776
0.068677,10483.830684
0.068627,10491.515762
0.068578,10498.993106
0.068666,10485.541551
0.068648,10488.272815
0.068663,10486.014868
0.068618,10492.864544
0.068713,10478.374202
0.068683,10482.920876
0.068662,10486.160513
0.068954,10441.745144
0.068779,10468.312812
0.068670,10484.922662
0.068662,10486.124102
0.068661,10486.306162
0.068728,10476.084172
0.068626,10491.661560
0.068731,10475.611751
0.068663,10486.014868
0.068661,10486.306162
0.068652,10487.653604
0.068915,10447.669538
0.068655,10487.216558
0.068739,10474.412720
0.068656,10487.034466
0.068699,10480.519740
0.068698,10480.628859
0.068741,10474.122087
0.068699,10480.519740
0.068656,10487.070884
0.068695,10481.101733
0.068578,10498.993106
0.068826,10461.168988
0.068734,10475.175708
0.068708,10479.101404
0.068680,10483.393956
0.068629,10491.224179
0.068714,10478.228773
0.068729,10475.938807
0.068614,10493.484370
0.068986,10436.873395
0.068603,10495.198390
0.068728,10476.084172
0.068663,10486.014868
0.068620,10492.572886
0.068639,10489.693635
0.068776,10468.748284
0.068685,10482.629770
0.068610,10494.104270
0.068807,10464.032599
0.068619,10492.755170
0.068589,10497.277847
0.068666,10485.541551
0.068604,10495.016021
0.069093,10420.738931
0.073510,9794.594889
0.068770,10469.691931
0.068613,10493.630223
0.068614,10493.484370
0.068689,10482.011225
0.068667,10485.395924
0.068699,10480.519740
0.068594,10496.548119
0.068604,10495.016021
0.068746,10473.359252
0.068788,10466.934056
0.068690,10481.865696
0.068621,10492.427063
0.068621,10492.390608
0.068653,10487.544339
0.068908,10448.681692
0.068681,10483.248388
0.068665,10485.723591
0.068738,10474.558042
0.068616,10493.156218
0.068630,10491.041948
0.069079,10422.860930
0.072318,9956.016932
0.068533,10505.896301
0.068756,10471.833915
0.068721,10477.138188
0.068696,10480.956228
0.068670,10484.922662
0.068722,10476.992794
0.068606,10494.687773
0.068567,10500.708926
0.068807,10464.032599
0.068736,10474.848699
0.068561,10501.621825
0.068663,10485.978458
0.068698,10480.665232
0.068616,10493.156218
0.068673,10484.485844
0.068644,10488.892100
0.068779,10468.312812
0.068678,10483.685104
0.068664,10485.869228
0.068654,10487.362236
0.068732,10475.466399
0.068701,10480.192398
0.068857,10456.423922
0.068651,10487.835717
0.068750,10472.741800
0.068723,10476.847404
0.068678,10483.685104
0.068739,10474.412720
0.068774,10469.074912
0.068612,10493.776079
0.068730,10475.793447
0.068678,10483.685104
0.068635,10490.276647
0.068736,10474.848699
0.068753,10472.269680
0.068611,10493.958405
0.068683,10482.920876
0.068578,10498.993106
0.068633,10490.568177
0.068547,10503.740361
0.068676,10484.012665
0.068752,10472.414943
0.068750,10472.741800
0.068748,10473.032357
0.068654,10487.362236
0.068524,10507.248783
0.068674,10484.340246
0.068619,10492.718713
0.068738,10474.558042
0.068712,10478.519634
0.068661,10486.306162
0.068615,10493.338522
0.069055,10426.459512
0.068659,10486.597471
0.068783,10467.695955
0.068610,10494.104270
0.068743,10473.795144
0.068601,10495.453718
0.068629,10491.224179
0.068676,10484.012665
0.068564,10501.147097
0.068623,10492.098976
0.068759,10471.361877
0.069012,10432.979268
0.068780,10468.167663
0.068694,10481.283618
0.068639,10489.693635
0.068669,10485.068277
0.068614,10493.484370
0.068599,10495.782014
0.068703,10479.865076
0.068611,10493.958405
0.068643,10489.037824
0.068612,10493.812544
0.068775,10468.929741
0.068627,10491.479313
0.068655,10487.216558
0.068643,10489.037824
0.068750,10472.741800
0.068586,10497.752224
0.068670,10484.922662
0.068919,10447.055112
0.068705,10479.574140
0.068727,10476.229541
0.068720,10477.319937
0.068961,10440.698236
0.068564,10501.147097
0.068697,10480.810728
0.068650,10487.981413
0.068694,10481.283618
0.068591,10496.985943
0.068713,10478.374202
0.068711,10478.665071
0.068701,10480.192398
0.068606,10494.724244
0.068769,10469.837123
0.068702,10480.046919
0.068746,10473.322929
0.068745,10473.504545
0.068626,10491.661560
0.068677,10483.867080
0.068751,10472.560211
0.068611,10493.958405
0.068711,10478.665071
0.068708,10479.137767
0.068588,10497.460294
0.068577,10499.139111
0.069132,10414.845031
0.068606,10494.724244
0.068592,10496.839998
0.068697,10480.810728
0.068835,10459.792113
0.068561,10501.621825
0.068678,10483.685104
0.068710,10478.810511
0.068783,10467.732239
0.068641,10489.329286
0.068721,10477.174538
0.074249,9697.096489
0.068576,10499.285121
0.068636,10490.130888
0.068727,10476.229541
0.068645,10488.746379
0.068520,10507.870310
0.068647,10488.454950
0.068711,10478.665071
0.068651,10487.835717
0.068680,10483.393956
0.068731,10475.611751
0.068639,10489.657199
0.068725,10476.556636
0.068618,10492.864544
0.068580,10498.664609
0.068689,10482.047608
0.068682,10483.066434
0.068637,10489.985133
0.068649,10488.127112
0.068823,10461.640108
0.068554,10502.644460
0.069251,10396.988491
0.068592,10496.839998
0.068946,10442.936707
0.068700,10480.374252
0.068747,10473.177641
0.068725,10476.520291
0.068545,10504.069176
0.068573,10499.759680
0.068650,10487.981413
0.068644,10488.892100
0.068698,10480.665232
0.068642,10489.219986
0.068642,10489.183553
0.068595,10496.402186
0.070305,10241.111232
0.068666,10485.541551
0.068664,10485.832818
0.068678,10483.685104
0.068634,10490.422410
0.068656,10487.070884
0.068678,10483.721499
0.068825,10461.313943
0.068628,10491.333521
0.068608,10494.396013
0.068751,10472.560211
0.068590,10497.168381
0.068660,10486.451815
0.068597,10496.073850
0.068706,10479.428679
0.068839,10459.212485
0.068609,10494.250140
0.068658,10486.743132
0.069253,10396.666345
0.068782,10467.841091
0.068704,10479.755973
0.068573,10499.759680
0.068666,10485.541551
0.068665,10485.687183
0.068562,10501.439232
0.068785,10467.405695
0.068685,10482.666158
0.068796,10465.700740
0.068651,10487.835717
0.068653,10487.544339
0.068692,10481.538269
0.068669,10485.104681
0.068611,10493.958405
0.068761,10471.035107
0.068681,10483.284780
0.068697,10480.774354
0.068651,10487.835717
0.068648,10488.309242
0.068695,10481.101733
0.068685,10482.629770
0.068691,10481.720170
0.068616,10493.192678
0.068626,10491.661560
0.068672,10484.631446
0.068630,10491.041948
0.068623,10492.098976
0.068566,10500.818465
0.068639,10489.657199
0.068907,10448.862454
0.068735,10475.030368
0.068630,10491.041948
0.068651,10487.799294
0.068670,10484.959066
0.068741,10474.085759
0.068578,10498.993106
0.068650,10487.981413
0.068661,10486.306162
0.068719,10477.428989
0.068720,10477.319937
0.068703,10479.865076
0.068578,10498.993106
0.068702,10480.046919
0.068630,10491.041948
0.068581,10498.518616
0.068593,10496.694056
0.068630,10491.041948
0.068480,10514.016419
0.068644,10488.892100
0.068681,10483.248388
0.068735,10475.030368
0.068650,10487.981413
0.068704,10479.719606
0.068611,10493.958405
0.068696,10480.956228
0.068654,10487.362236
0.068579,10498.847105
0.068737,10474.703369
0.068879,10453.094081
0.068654,10487.362236
0.068575,10499.467638
0.068598,10495.927930
0.068642,10489.183553
0.068667,10485.395924
0.068605,10494.870130
0.068693,10481.429132
0.068733,10475.321052
0.068691,10481.720170
0.068743,10473.795144
0.068639,10489.657199
0.068665,10485.687183
0.068750,10472.741800
0.068688,10482.156759
0.068600,10495.636102
0.068738,10474.558042
0.068572,10499.905706
0.068630,10491.041948
0.068646,10488.600663
0.068695,10481.101733
0.068639,10489.657199
0.068921,10446.729857
0.068673,10484.485844
0.068714,10478.192417
0.068701,10480.228768
0.068669,10485.068277
0.068675,10484.158254
0.068671,10484.777052
0.068815,10462.836216
0.069019,10431.898082
0.068555,10502.534882
0.068752,10472.414943
0.068676,10484.012665
0.068640,10489.511457
0.068692,10481.574649
0.068602,10495.307815
0.068640,10489.511457
0.068572,10499.905706
0.068645,10488.746379
0.068550,10503.301973
0.068575,10499.431134
0.068689,10482.047608
0.068630,10491.041948
0.068665,10485.687183
0.068565,10500.964522
0.068765,10470.454232
0.068669,10485.068277
0.068644,10488.892100
0.068672,10484.631446
0.068757,10471.688668
0.068590,10497.131893
0.068673,10484.485844
0.068638,10489.802945
0.068805,10464.358933
0.068618,10492.864544
0.068754,10472.124421
0.068610,10494.104270
0.068644,10488.892100
0.068687,10482.338681
0.068970,10439.326745
0.068846,10458.125855
0.068663,10486.014868
0.068665,10485.687183
0.068585,10497.934688
0.068703,10479.865076
0.068625,10491.807361
0.068633,10490.604619
0.068630,10491.041948
0.068583,10498.226644
0.068727,10476.229541
0.068565,10501.001036
0.068605,10494.833658
0.068622,10492.281244
0.068659,10486.597471
0.068672,10484.631446
0.068716,10477.901574
0.068588,10497.460294
0.068733,10475.321052
0.068644,10488.892100
0.068647,10488.418523
0.068605,10494.870130
0.068679,10483.539528
0.068716,10477.937928
0.068619,10492.755170
0.068633,10490.568177
0.068682,10483.102825
0.068683,10482.920876
0.068784,10467.550823
0.068651,10487.835717
0.069061,10425.559633
0.068678,10483.685104
0.068817,10462.546226
0.068758,10471.543425
0.068561,10501.585306
0.068615,10493.338522
0.068755,10471.942853
0.068666,10485.541551
0.068759,10471.361877
0.068763,10470.744661
0.068717,10477.756158
0.068570,10500.197772
0.068619,10492.718713
0.068587,10497.606257
0.068659,10486.633886
0.068657,10486.888797
0.068621,10492.427063
0.068612,10493.776079
0.068631,10490.896168
0.068690,10481.865696
0.068639,10489.657199
0.068697,10480.810728
0.068570,10500.197772
0.068698,10480.665232
0.068733,10475.321052
0.068634,10490.422410
0.068670,10484.922662
0.068714,10478.228773
0.068589,10497.314336
0.068683,10482.920876
0.068932,10445.067757
0.071541,10064.149034
0.072484,9933.257066
0.068540,10504.799950
0.068640,10489.511457
0.068713,10478.337844
0.068566,10500.854979
0.068680,10483.393956
0.068683,10482.957265
0.068631,10490.859723
0.068579,10498.847105
0.068681,10483.248388
0.068645,10488.746379
0.068671,10484.777052
0.068540,10504.799950
0.069953,10292.630230
0.075980,9476.154686
0.068763,10470.780966
0.068714,10478.192417
0.068672,10484.631446
0.068639,10489.657199
0.068756,10471.797603
0.068635,10490.276647
0.068767,10470.163818
0.068666,10485.505144
0.068522,10507.577818
0.068693,10481.429132
0.068705,10479.574140
0.068625,10491.807361
0.068979,10437.955613
0.068619,10492.718713
0.068585,10497.934688
0.068678,10483.721499
0.068625,10491.807361
0.068698,10480.628859
0.068627,10491.515762
0.068651,10487.799294
0.068681,10483.248388
0.068656,10487.070884
0.068599,10495.782014
0.068695,10481.101733
0.068745,10473.504545
0.068592,10496.839998
0.068653,10487.507918
0.068703,10479.901444
0.068732,10475.466399
0.068645,10488.746379
0.068816,10462.691219
0.068718,10477.610747
0.068657,10486.925214
0.068705,10479.574140
0.068802,10464.830339
0.068655,10487.216558
0.068735,10475.030368
0.068655,10487.216558
0.068703,10479.901444
0.068806,10464.177634
0.068676,10484.012665
0.068629,10491.187733
0.069062,10425.415667
0.068728,10476.084172
0.068677,10483.867080
0.068742,10473.940449
0.068660,10486.451815
0.068729,10475.938807
0.068833,10460.081952
0.068625,10491.807361
0.068614,10493.484370
0.068789,10466.788945
0.068664,10485.832818
0.068717,10477.756158
0.068708,10479.137767
0.068724,10476.665672
0.068752,10472.414943
0.068620,10492.572886
0.068665,10485.687183
0.068759,10471.361877
0.068532,10506.042499
0.068832,10460.263109
0.068639,10489.657199
0.068574,10499.613657
0.068768,10469.982318
0.068682,10483.066434
0.068506,10510.027946
0.068703,10479.901444
0.068822,10461.785076
0.068712,10478.519634
0.068661,10486.306162
0.068575,10499.431134
0.068927,10445.826476
0.068734,10475.175708
0.068681,10483.248388
0.068724,10476.665672
0.068715,10478.046993
0.068702,10480.046919
0.068657,10486.925214
0.068774,10469.074912
0.068792,10466.317362
0.068713,10478.374202
0.068650,10487.981413
0.069451,10367.042959
0.068848,10457.799910
0.068782,10467.841091
0.068556,10502.388782
0.068678,10483.685104
0.068802,10464.830339
0.068540,10504.799950
0.068748,10473.032357
0.068748,10473.032357
0.068668,10485.250300
0.068511,10509.259873
0.068617,10493.046838
0.068575,10499.431134
0.068691,10481.756551
0.068775,10468.893449
0.068722,10476.992794
0.068634,10490.422410
0.068591,10497.022430
0.068664,10485.832818
0.069001,10434.601468
0.068614,10493.520833
0.068647,10488.418523
0.068554,10502.680986
0.068668,10485.213895
0.068678,10483.721499
0.068719,10477.465340
0.068691,10481.720170
0.068658,10486.779548
0.068859,10456.134286
0.068747,10473.213962
0.068728,10476.047831
0.068772,10469.401560
0.068694,10481.247241
0.068741,10474.122087
0.068703,10479.865076
0.068650,10487.981413
0.068665,10485.687183
0.068750,10472.741800
0.068673,10484.449444
0.068624,10491.953167
0.068751,10472.596528
0.068860,10455.989474
0.068729,10475.938807
0.068623,10492.135430
0.068612,10493.776079
0.068704,10479.755973
0.068565,10501.001036
0.068717,10477.756158
0.068749,10472.887076
0.069011,10433.123443
0.068628,10491.333521
0.068713,10478.374202
0.068772,10469.365265
0.068674,10484.303847
0.068720,10477.283587
0.068720,10477.319937
0.068919,10447.055112
0.068635,10490.276647
0.068643,10489.074256
0.068674,10484.303847
0.068695,10481.101733
0.068768,10470.018618
0.068654,10487.362236
0.068737,10474.703369
0.068672,10484.631446
0.068756,10471.797603
0.068542,10504.507628
0.068631,10490.896168
0.068661,10486.306162
0.068758,10471.507115
0.068633,10490.604619
0.068636,10490.130888
0.068854,10456.894614
0.068648,10488.272815
0.068754,10472.124421
0.068697,10480.810728
0.068669,10485.068277
0.068709,10478.992317
0.068917,10447.344245
0.068685,10482.629770
0.068778,10468.457965
0.068681,10483.248388
0.068732,10475.466399
0.068673,10484.485844
0.068774,10469.074912
0.068852,10457.220502
0.068769,10469.837123
0.068765,10470.454232
0.068627,10491.479313
0.068783,10467.695955
0.068685,10482.629770
0.068657,10486.925214
0.068731,10475.611751
0.068640,10489.511457
0.068637,10489.985133
0.068799,10465.265522
0.068754,10472.124421
0.068656,10487.034466
0.068695,10481.138109
0.068616,10493.192678
0.068707,10479.283221
0.068712,10478.519634
0.068804,10464.503976
0.068590,10497.168381
0.068665,10485.687183
0.068601,10495.490194
0.068649,10488.127112
0.068749,10472.887076
0.068918,10447.199676
0.068762,10470.889882
0.068636,10490.094449
0.068703,10479.901444
0.068691,10481.720170
0.068833,10460.118183
0.068734,10475.139373
0.068569,10500.380321
0.068637,10489.948695
0.068719,10477.465340
0.068638,10489.802945
0.068863,10455.555063
0.068672,10484.631446
0.068784,10467.550823
0.068723,10476.811057
0.068842,10458.741584
0.068732,10475.466399
0.068744,10473.649842
0.068780,10468.167663
0.068642,10489.183553
0.068728,10476.084172
0.068733,10475.321052
0.068715,10478.046993
0.068802,10464.794076
0.068603,10495.198390
0.068639,10489.657199
0.068629,10491.187733
0.068641,10489.365719
0.068673,10484.485844
0.068683,10482.957265
0.068982,10437.522699
0.068855,10456.785989
0.068745,10473.468221
0.068921,10446.729857
0.069456,10366.295642
0.069053,10426.747505
0.069073,10423.760342
0.069129,10415.311987
0.068907,10448.862454
0.068930,10445.356780
0.069021,10431.609803
0.068914,10447.814120
0.069035,10429.484241
0.069028,10430.528901
0.068900,10449.947160
0.068941,10443.695117
0.068968,10439.615450
0.069006,10433.880428
0.069000,10434.781743
0.069077,10423.148725
0.068945,10443.081158
0.068910,10448.428635
0.068944,10443.261727
0.068995,10435.538969
0.068946,10442.936707
0.068969,10439.471095
0.068982,10437.522699
0.068898,10450.236453
0.068923,10446.440758
0.069012,10432.979268
0.069150,10412.151871
0.069076,10423.292628
0.069083,10422.249418
0.068984,10437.198037
0.068981,10437.667000
0.068993,10435.827464
0.068989,10436.440571
0.068969,10439.471095
0.068885,10452.189599
0.068823,10461.640108
0.068909,10448.537087
0.068926,10446.007139
0.069007,10433.700183
0.069033,10429.808424
0.068925,10446.151675
0.068990,10436.296304
0.069070,10424.192115
0.068954,10441.745144
0.068915,10447.669538
0.068998,10435.070197
0.068871,10454.324427
0.068968,10439.615450
0.068915,10447.669538
0.068769,10469.837123
0.069034,10429.628320
0.068876,10453.564473
0.068940,10443.875707
0.068956,10441.420219
0.068795,10465.882092
0.069229,10400.282677
0.068975,10438.532888
0.068849,10457.691266
0.068888,10451.719331
0.068954,10441.745144
0.068896,10450.525762
0.068896,10450.561927
0.068980,10437.811304
0.068927,10445.862608
0.068905,10449.187843
0.068844,10458.415601
0.068818,10462.364989
0.068848,10457.836125
0.068943,10443.406186
0.068894,10450.815087
0.068908,10448.717844
0.068910,10448.428635
0.068894,10450.815087
0.068930,10445.392909
0.068886,10452.044897
0.068989,10436.440571
0.068994,10435.683215
0.068893,10450.995923
0.068878,10453.274996
0.068968,10439.615450
0.068869,10454.613963
0.068996,10435.394727
0.068924,10446.296214
0.068940,10443.839588
0.068912,10448.103294
0.069161,10410.500755
0.068810,10463.597519
0.068881,10452.804630
0.068903,10449.477093
0.068923,10446.440758
0.069028,10430.528901
0.068848,10457.836125
0.068891,10451.285274
0.068799,10465.265522
0.068860,10455.989474
0.068981,10437.667000
0.068779,10468.312812
0.069010,10433.267622
0.068881,10452.804630
0.068952,10442.070089
0.068825,10461.313943
0.068956,10441.456321
0.068778,10468.457965
0.069009,10433.411805
0.068726,10476.411258
0.068887,10451.900198
0.068750,10472.705482
0.068859,10456.170490
0.068882,10452.659910
0.068870,10454.469193
0.068963,10440.373377
0.069058,10426.027550
0.068963,10440.373377
0.068892,10451.140597
0.068835,10459.792113
0.069150,10412.151871
0.068836,10459.647200
0.068770,10469.691931
0.068747,10473.177641
0.068806,10464.213893
0.068725,10476.556636
0.068841,10458.886472
0.068857,10456.423922
0.068857,10456.460127
0.068825,10461.313943
0.068902,10449.621725
0.068984,10437.198037
0.068903,10449.477093
0.068865,10455.229278
0.068942,10443.586766
0.068797,10465.555663
0.068912,10448.103294
0.068726,10476.374914
0.068957,10441.311915
0.068843,10458.596700
0.068810,10463.597519
0.068873,10454.034908
0.068805,10464.358933
0.068906,10449.007069
0.068850,10457.510198
0.068942,10443.550649
0.068860,10455.989474
0.068947,10442.792261
0.068954,10441.745144
0.068852,10457.220502
0.069130,10415.168304
0.068814,10462.981218
0.068837,10459.502291
0.068862,10455.699863
0.068895,10450.706588
0.068847,10457.944772
0.068863,10455.555063
0.068826,10461.168988
0.068919,10447.055112
0.069886,10302.497177
0.068927,10445.826476
0.068764,10470.599445
0.068845,10458.270726
0.068802,10464.794076
0.068775,10468.929741
0.068859,10456.134286
0.068883,10452.515195
0.068986,10436.909465
0.068985,10437.053749
0.068753,10472.269680
0.068796,10465.737010
0.068905,10449.187843
0.068874,10453.853967
0.068918,10447.199676
0.068844,10458.415601
0.068759,10471.361877
0.068773,10469.220086
0.068821,10461.930048
0.068975,10438.568969
0.069233,10399.673811
0.068792,10466.353636
0.069000,10434.781743
0.068806,10464.177634
0.068765,10470.454232
0.068841,10458.886472
0.068829,10460.697911
0.068864,10455.410267
0.068956,10441.420219
0.068837,10459.502291
0.068920,10446.874412
0.068790,10466.643838
0.068840,10459.031364
0.068881,10452.804630
0.068936,10444.489759
0.068791,10466.462460
0.068896,10450.525762
0.068997,10435.250489
0.068832,10460.263109
0.068781,10467.986232
0.068701,10480.192398
0.068927,10445.826476
0.069841,10309.144312
0.068753,10472.269680
0.068849,10457.655052
0.068922,10446.585305
0.068812,10463.307486
0.068797,10465.555663
0.068898,10450.236453
0.068725,10476.556636
0.069148,10412.439075
0.068889,10451.574641
0.068825,10461.313943
0.068838,10459.357386
