IterTime,Bandwidth
0.069157,10411.110889
0.069034,10429.628320
0.068911,10448.247888
0.068995,10435.538969
0.069010,10433.267622
0.068910,10448.428635
0.069042,10428.439791
0.068986,10436.873395
0.068884,10452.370483
0.068928,10445.681949
0.069311,10387.940230
0.069021,10431.609803
0.068999,10434.925968
0.068981,10437.667000
0.068910,10448.392485
0.069015,10432.510727
0.068951,10442.214515
0.068923,10446.440758
0.069048,10427.539571
0.068990,10436.296304
0.069057,10426.171534
0.069048,10427.503565
0.069057,10426.171534
0.069000,10434.781743
0.069244,10398.026650
0.069127,10415.635289
0.068933,10444.923251
0.069025,10430.997264
0.069008,10433.555992
0.069029,10430.420823
0.068972,10439.001970
0.069092,10420.882768
0.069145,10412.905815
0.069004,10434.168832
0.068947,10442.792261
0.068990,10436.296304
0.069056,10426.315521
0.068903,10449.477093
0.069042,10428.439791
0.068892,10451.140597
0.068953,10441.889561
0.068954,10441.745144
0.069074,10423.616426
0.069109,10418.330251
0.069008,10433.555992
0.068969,10439.471095
0.069027,10430.709036
0.068995,10435.538969
0.068911,10448.247888
0.069026,10430.853148
0.069033,10429.772402
0.069090,10421.206416
0.069013,10432.799055
0.069010,10433.303668
0.069482,10362.418436
0.069058,10426.027550
0.068905,10449.187843
0.068964,10440.229001
0.069109,10418.294309
0.068993,10435.863528
0.069069,10424.336048
0.068988,10436.620910
0.068954,10441.745144
0.069006,10433.880428
0.069035,10429.484241
0.068990,10436.296304
0.068999,10434.925968
0.068990,10436.296304
0.069035,10429.484241
0.069078,10423.004825
0.069022,10431.465670
0.069083,10422.249418
0.069057,10426.171534
0.069059,10425.847577
0.069020,10431.753941
0.069290,10391.121418
0.069089,10421.350266
0.069084,10422.069575
0.069099,10419.840040
0.069110,10418.186485
0.069092,10420.882768
0.069037,10429.196096
0.069104,10419.049144
0.069371,10378.979045
0.069070,10424.228098
0.069149,10412.295471
0.069153,10411.685198
0.069094,10420.595098
0.069056,10426.315521
0.069114,10417.575521
0.069098,10419.947899
0.069012,10432.979268
0.069005,10434.024628
0.069058,10425.991555
0.068993,10435.863528
0.068973,10438.857633
0.069068,10424.515969
0.069332,10384.796699
0.069046,10427.827624
0.069030,10430.240698
0.068959,10440.987017
0.068993,10435.863528
0.068952,10442.070089
0.069041,10428.583841
0.069023,10431.285509
0.068980,10437.811304
0.069015,10432.510727
0.069044,10428.151704
0.069033,10429.772402
0.069178,10407.953321
0.069142,10413.336690
0.069026,10430.853148
0.068986,10436.909465
0.069273,10393.660618
0.069065,10424.983792
0.069120,10416.641245
0.069089,10421.350266
0.069104,10419.085091
0.069050,10427.215529
0.069328,10385.403823
0.069106,10418.797520
0.069018,10432.042227
0.068979,10437.955613
0.069008,10433.592040
0.069041,10428.583841
0.069092,10420.882768
0.069130,10415.132384
0.069194,10405.550548
0.069030,10430.276722
0.069148,10412.439075
0.069118,10416.964629
0.068988,10436.584842
0.069079,10422.860930
0.069031,10430.096603
0.069074,10423.580447
0.068988,10436.620910
0.068937,10444.309148
0.069017,10432.222414
0.069052,10426.927510
0.069026,10430.817120
0.069232,10399.817067
0.069217,10402.073871
0.069005,10434.024628
0.069265,10394.841232
0.069163,10410.213658
0.069055,10426.459512
0.069101,10419.516477
0.069077,10423.148725
0.069153,10411.721094
0.069004,10434.168832
0.069072,10423.904263
0.069177,10408.060934
0.069046,10427.863632
0.069096,10420.307444
0.069001,10434.637522
0.069088,10421.458156
0.069000,10434.817799
0.068931,10445.212266
0.069155,10411.398036
0.068958,10441.131414
0.069043,10428.295745
0.069058,10425.991555
0.069176,10408.240294
0.069027,10430.709036
0.069008,10433.592040
0.068984,10437.198037
0.069042,10428.439791
0.068904,10449.332466
0.068993,10435.827464
0.069000,10434.781743
0.069017,10432.222414
0.068966,10439.940262
0.069283,10392.158407
0.069116,10417.288034
0.069063,10425.271705
0.069109,10418.330251
0.069022,10431.465670
0.068936,10444.489759
0.069025,10431.033294
0.069138,10413.947156
0.069085,10421.925705
0.069139,10413.803510
0.069051,10427.071518
0.068940,10443.875707
0.069315,10387.332808
0.069045,10428.007666
0.069059,10425.883571
0.068940,10443.875707
0.069064,10425.091758
0.068987,10436.765186
0.069019,10431.898082
0.069008,10433.592040
0.068992,10435.971718
0.069026,10430.853148
0.069253,10396.666345
0.069108,10418.474022
0.068960,10440.842625
0.069067,10424.659910
0.068995,10435.538969
0.069146,10412.726295
0.068974,10438.713299
0.069109,10418.330251
0.069264,10395.020137
0.069165,10409.890692
0.069090,10421.170454
0.069127,10415.635289
0.069229,10400.246859
0.069091,10421.062570
0.069110,10418.150544
0.069048,10427.539571
0.069077,10423.148725
0.069015,10432.510727
0.069018,10432.042227
0.069134,10414.557694
0.069001,10434.637522
0.069028,10430.564927
0.069128,10415.455674
0.068928,10445.681949
0.069058,10426.027550
0.068995,10435.538969
0.069155,10411.398036
0.069056,10426.315521
0.068960,10440.806527
0.069082,10422.429267
0.068982,10437.486624
0.069169,10409.280702
0.068973,10438.893717
0.069105,10418.941304
0.069182,10407.343557
0.069059,10425.847577
0.068895,10450.670423
0.069054,10426.639506
0.069277,10393.052528
0.069061,10425.559633
0.068916,10447.488817
0.069095,10420.451269
0.069078,10423.004825
0.069085,10421.925705
0.069056,10426.315521
0.069026,10430.853148
0.069197,10405.084467
0.069157,10411.074997
0.068994,10435.719277
0.069215,10402.360519
0.069014,10432.654889
0.069020,10431.753941
0.068954,10441.745144
0.069083,10422.249418
0.069148,10412.439075
0.069165,10409.890692
0.069058,10426.027550
0.069102,10419.372678
0.068948,10442.647819
0.068972,10439.038055
0.068995,10435.538969
0.069076,10423.292628
0.069053,10426.783506
0.069029,10430.384797
0.068958,10441.131414
0.069193,10405.693966
0.069001,10434.601468
0.069176,10408.240294
0.069172,10408.850163
0.069045,10427.971657
0.068983,10437.342329
0.069093,10420.738931
0.069092,10420.882768
0.069041,10428.583841
0.069061,10425.595625
0.069056,10426.351518
0.069273,10393.660618
0.069057,10426.135537
0.069056,10426.351518
0.069015,10432.546767
0.069023,10431.285509
0.069120,10416.677176
0.068969,10439.471095
0.069075,10423.436536
0.069057,10426.171534
0.069124,10416.066389
0.069048,10427.539571
0.069103,10419.228882
0.069376,10378.230006
0.069464,10365.085927
0.069690,10331.434202
0.069850,10307.807162
0.069915,10298.246102
0.069286,10391.693524
0.069146,10412.762198
0.069081,10422.573150
0.069119,10416.820901
0.069440,10368.680318
0.069102,10419.372678
0.069190,10406.124244
0.069155,10411.398036
0.069104,10419.085091
0.069044,10428.115694
0.069051,10427.071518
0.069179,10407.809841
0.069108,10418.474022
0.069040,10428.727894
0.069070,10424.192115
0.069278,10392.909458
0.069262,10395.342180
0.069153,10411.685198
0.069161,10410.464867
0.069108,10418.474022
0.069246,10397.704441
0.069146,10412.762198
0.069116,10417.288034
0.069025,10430.997264
0.069092,10420.882768
0.069204,10404.009054
0.069276,10393.195602
0.069105,10418.941304
0.069074,10423.616426
0.069116,10417.252099
0.069094,10420.595098
0.069102,10419.372678
0.069066,10424.803855
0.069096,10420.307444
0.069306,10388.690672
0.069017,10432.222414
0.069087,10421.637977
0.069191,10405.980814
0.069038,10429.052030
0.069097,10420.127668
0.069105,10418.905357
0.069094,10420.595098
0.069028,10430.528901
0.069144,10413.049436
0.069075,10423.472513
0.069046,10427.827624
0.069053,10426.783506
0.069094,10420.559140
0.069269,10394.268780
0.069073,10423.760342
0.069083,10422.213449
0.069035,10429.520261
0.069119,10416.820901
0.069101,10419.552427
0.069007,10433.700183
0.069002,10434.493305
0.069049,10427.359545
0.069122,10416.389738
0.069089,10421.314303
0.069128,10415.491597
0.069110,10418.150544
0.069051,10427.071518
0.069091,10421.062570
0.069374,10378.551010
0.069038,10429.016014
0.069025,10430.997264
0.069121,10416.533455
0.069019,10431.898082
0.069201,10404.475039
0.069179,10407.773971
0.069206,10403.722315
0.069046,10427.827624
0.069180,10407.630496
0.069048,10427.539571
0.069063,10425.271705
0.068966,10439.904171
0.069019,10431.934118
0.069137,10414.126719
0.068990,10436.296304
0.068984,10437.198037
0.069294,10390.513625
0.069170,10409.137185
0.069153,10411.685198
0.069151,10412.008275
0.069117,10417.108362
0.069060,10425.703603
0.069187,10406.590418
0.069043,10428.295745
0.069085,10421.925705
0.069198,10404.941065
0.069151,10411.972376
0.069175,10408.383786
0.069142,10413.372597
0.069273,10393.660618
0.069189,10406.267677
0.069258,10395.914751
0.069141,10413.516231
0.069150,10412.151871
0.069181,10407.487025
0.069177,10408.060934
0.069219,10401.787238
0.069143,10413.193061
0.069195,10405.371281
0.069101,10419.552427
0.069048,10427.503565
0.069182,10407.343557
0.069142,10413.336690
0.069124,10416.066389
0.069086,10421.781839
0.069152,10411.864683
0.069116,10417.252099
0.069159,10410.823758
0.069021,10431.573770
0.069293,10390.692380
0.069135,10414.414032
0.069058,10426.027550
0.069036,10429.340167
0.069157,10411.074997
0.069096,10420.307444
0.069049,10427.359545
0.069072,10423.904263
0.069177,10408.096805
0.069296,10390.191881
0.069124,10416.066389
0.069138,10413.947156
0.069083,10422.249418
0.069076,10423.328605
0.069122,10416.353809
0.069115,10417.431776
0.069126,10415.778985
0.069038,10429.016014
0.069121,10416.533455
0.069017,10432.222414
0.069204,10404.009054
0.069154,10411.541615
0.069195,10405.371281
0.069097,10420.127668
0.069093,10420.738931
0.069035,10429.484241
0.069151,10412.008275
0.069033,10429.772402
0.069171,10408.993672
0.069106,10418.797520
0.069087,10421.637977
0.069099,10419.804087
0.069093,10420.738931
0.069061,10425.595625
0.069065,10424.983792
0.069181,10407.487025
0.069110,10418.150544
0.069048,10427.539571
0.069069,10424.372031
0.069346,10382.690169
0.069062,10425.415667
0.069120,10416.677176
0.069157,10411.110889
0.069160,10410.644309
0.069199,10404.761819
0.069135,10414.414032
0.069089,10421.350266
0.069078,10423.004825
0.069055,10426.459512
0.069085,10421.961672
0.069119,10416.784969
0.069062,10425.415667
0.069046,10427.827624
0.068995,10435.538969
0.069255,10396.380011
0.070113,10269.145218
0.069182,10407.307691
0.069073,10423.760342
0.069228,10400.425950
0.069092,10420.882768
