IterTime,Bandwidth
0.027112,26556.499349
0.027151,26518.255005
0.027202,26468.748127
0.027135,26533.865903
0.027087,26581.043033
0.027108,26560.470013
0.027087,26581.043033
0.027105,26563.273549
0.027285,26388.029570
0.027106,26562.572610
0.027625,26063.269237
0.027120,26548.561582
0.027115,26553.463760
0.027106,26562.572610
0.027076,26591.809801
0.027100,26568.414903
0.027119,26549.495191
0.027130,26538.995878
0.027098,26570.051206
0.027122,26546.694562
0.027091,26577.066216
0.027101,26567.246239
0.027088,26580.107204
0.027109,26559.535632
0.027105,26563.273549
0.027100,26568.181162
0.027106,26562.338971
0.027119,26549.728603
0.027108,26560.470013
0.027142,26527.106692
0.027177,26492.897385
0.027120,26548.794978
0.027103,26565.142902
0.027105,26563.507204
0.027142,26527.106692
0.027102,26566.311382
0.027102,26566.311382
0.027098,26570.051206
0.027118,26550.662294
0.027082,26585.957215
0.027678,26013.428202
0.037567,19165.686434
0.027199,26471.532332
0.027123,26545.761150
0.027071,26596.727964
0.027080,26588.063849
0.027077,26590.639077
0.027094,26574.259768
0.027092,26576.130667
0.027107,26561.404459
0.027127,26541.794883
0.027113,26555.565248
0.027105,26563.273549
0.027097,26571.220117
0.027118,26550.662294
0.027109,26559.302047
0.027119,26549.728603
0.027144,26525.242688
0.027107,26561.404459
0.027078,26589.702573
0.027129,26539.928814
0.027093,26574.961324
0.027089,26579.171441
0.027075,26592.746453
0.027096,26572.155320
0.027138,26531.068570
0.027105,26563.507204
0.027101,26567.246239
0.027119,26549.495191
0.027145,26524.310784
0.027106,26562.338971
0.027108,26560.470013
0.027126,26542.728016
0.027110,26558.601317
0.027067,26600.476358
0.027102,26566.311382
0.027078,26589.936693
0.027090,26578.001831
0.027128,26540.861816
0.027123,26545.527808
0.027073,26594.854164
0.027105,26563.273549
0.027115,26553.697243
0.027303,26370.747400
0.027139,26529.903189
0.027598,26088.937575
0.027113,26555.331733
0.027128,26540.861816
0.027110,26558.601317
0.027082,26585.723165
0.027082,26585.957215
0.027123,26545.761150
0.027132,26536.897012
0.027103,26565.376590
0.027065,26602.585294
0.027117,26551.596051
0.027101,26567.479964
0.027105,26563.273549
0.027115,26553.463760
0.027093,26575.195185
0.027102,26566.311382
0.027101,26567.246239
0.027100,26568.181162
0.027057,26610.555404
0.027103,26565.376590
0.027098,26570.284980
0.027089,26578.937511
0.027070,26597.664964
0.027060,26607.507445
0.027111,26557.667068
0.027133,26535.731119
0.027114,26554.631212
0.027176,26494.059517
0.027120,26548.561582
0.027101,26567.246239
0.027108,26560.470013
0.027100,26568.181162
0.027130,26538.995878
0.027126,26542.961309
0.027088,26579.873257
0.027096,26572.155320
0.027062,26605.632125
0.027075,26592.746453
0.027101,26567.246239
0.027123,26545.761150
0.027135,26533.865903
0.027077,26590.873214
0.027101,26567.246239
0.027100,26568.181162
0.027093,26575.195185
0.027106,26562.338971
0.027091,26577.066216
0.027112,26556.499349
0.027086,26581.978927
0.027078,26589.936693
0.027096,26572.155320
0.027092,26576.130667
0.027121,26547.628039
0.027085,26582.914888
0.027076,26591.809801
0.027208,26462.949579
0.027147,26522.214240
0.027088,26580.107204
0.027121,26547.628039
0.027114,26554.397714
0.027102,26566.311382
0.027073,26594.854164
0.027085,26582.914888
0.027083,26585.021040
0.027101,26567.246239
0.027118,26550.662294
0.027103,26565.376590
0.027102,26566.311382
0.027110,26558.367749
0.027105,26563.507204
0.027082,26585.723165
0.027079,26589.000238
0.027079,26588.766134
0.027084,26584.084931
0.027307,26367.063466
0.027082,26585.723165
0.027627,26061.469847
0.027090,26578.235745
0.027106,26562.572610
0.027096,26572.155320
0.027112,26556.499349
0.027078,26589.702573
0.027153,26516.392245
0.027118,26550.662294
0.027112,26556.499349
0.027089,26579.171441
0.027074,26593.683172
0.027127,26541.794883
0.027084,26584.084931
0.027098,26570.284980
0.027088,26580.107204
0.027096,26572.389131
0.027090,26578.001831
0.027093,26575.195185
0.027122,26546.694562
0.027130,26538.762655
0.027095,26573.324417
0.027330,26344.521813
0.027111,26557.433516
0.027136,26533.166514
0.027068,26599.773454
0.027087,26581.043033
0.027098,26570.284980
0.027100,26568.181162
0.027095,26573.090589
0.027113,26555.565248
0.027128,26540.861816
0.027098,26570.051206
0.027118,26550.662294
0.027108,26560.470013
0.027146,26523.145996
0.027125,26543.894524
0.027157,26512.434748
0.027102,26566.311382
0.027093,26574.961324
0.027095,26573.324417
0.027091,26577.066216
0.027106,26562.338971
0.027122,26546.694562
0.027089,26578.937511
0.027082,26585.957215
0.027101,26567.246239
0.027081,26586.893455
0.027082,26585.957215
0.027116,26552.529873
0.027120,26548.794978
0.027103,26565.142902
0.027068,26599.773454
0.027074,26593.683172
0.027106,26562.338971
0.027120,26548.794978
0.027127,26541.794883
0.027121,26547.628039
0.027101,26567.246239
0.027096,26572.155320
0.027069,26598.602029
0.027089,26579.171441
0.027118,26550.662294
0.027174,26495.919141
0.027103,26565.142902
0.027112,26556.499349
0.027129,26539.928814
0.027105,26563.273549
0.027154,26515.460963
0.027058,26609.617496
0.027105,26563.273549
0.027093,26575.195185
0.027112,26556.499349
0.027074,26593.683172
0.027280,26392.872637
0.027134,26535.031632
0.027602,26085.106633
0.027097,26571.220117
0.027093,26574.961324
0.027096,26572.155320
0.027118,26550.662294
0.027107,26561.404459
0.027118,26550.662294
0.027093,26575.195185
0.027106,26562.338971
0.027138,26531.068570
0.027118,26550.662294
0.027075,26592.746453
0.027069,26598.602029
0.027109,26559.535632
0.027146,26523.145996
0.027119,26549.728603
0.027063,26604.694564
0.027077,26590.873214
0.027096,26572.155320
0.027119,26549.728603
0.027071,26596.727964
0.027080,26587.829762
0.027643,26046.409701
0.027080,26587.829762
0.027083,26585.021040
0.027119,26549.495191
