IterTime,Bandwidth
0.068147,10565.404070
0.067995,10589.002777
0.068370,10530.918627
0.068171,10561.672018
0.068037,10582.509120
0.068084,10575.171607
0.068003,10587.740529
0.068140,10566.476137
0.068089,10574.393983
0.068100,10572.691015
0.068252,10549.164876
0.068096,10573.283289
0.068160,10563.371437
0.068251,10549.312281
0.068486,10513.101364
0.068735,10474.994034
0.068778,10468.494254
0.068774,10469.038619
0.068480,10514.016419
0.068466,10516.176580
0.068561,10501.585306
0.068504,10510.357155
0.068583,10498.226644
0.068509,10509.552459
0.068646,10488.600663
0.068448,10518.923829
0.068435,10520.939391
0.068499,10511.088804
0.068622,10492.281244
0.068431,10521.525881
0.068608,10494.396013
0.068531,10506.225251
0.068722,10476.992794
0.068355,10533.232695
0.068567,10500.672413
0.068552,10502.973206
0.068477,10514.455702
0.068488,10512.808580
0.068479,10514.162843
0.068472,10515.261149
0.068540,10504.799950
0.068525,10507.102552
0.068530,10506.371458
0.068532,10506.042499
0.068448,10518.960469
0.068567,10500.708926
0.068417,10523.689130
0.068711,10478.665071
0.068682,10483.102825
0.068789,10466.788945
0.068693,10481.429132
0.068639,10489.693635
0.068652,10487.690026
0.068598,10495.927930
0.069551,10352.117045
0.068574,10499.577152
0.068548,10503.594228
0.068616,10493.192678
0.068466,10516.176580
0.068560,10501.731383
0.068396,10526.954018
0.068604,10495.016021
0.068751,10472.560211
0.068572,10499.905706
0.068590,10497.168381
0.068619,10492.718713
0.068645,10488.746379
0.068531,10506.225251
0.068471,10515.370993
0.068559,10501.913986
0.068547,10503.740361
0.068639,10489.657199
0.068451,10518.484173
0.068548,10503.557695
0.068543,10504.361473
0.068620,10492.572886
0.068563,10501.293163
0.068405,10525.559773
0.068574,10499.613657
0.068704,10479.719606
0.068741,10474.122087
0.068724,10476.665672
0.068695,10481.138109
0.068492,10512.149876
0.068581,10498.518616
0.068574,10499.613657
0.068664,10485.832818
0.068584,10498.080664
0.068683,10482.957265
0.068554,10502.644460
0.068486,10513.101364
0.068669,10485.068277
0.068753,10472.269680
0.068542,10504.507628
0.068492,10512.186469
0.068617,10493.010379
0.068523,10507.431578
0.068757,10471.652357
0.068506,10510.027946
0.068515,10508.638181
0.068525,10507.102552
0.068597,10496.073850
0.068555,10502.534882
0.068553,10502.827094
0.068541,10504.690327
0.068507,10509.881638
0.068554,10502.680986
0.068529,10506.517669
0.068573,10499.759680
0.068443,10519.693316
0.068403,10525.853267
0.068569,10500.343811
0.068890,10451.466127
0.068794,10466.027178
0.068734,10475.139373
0.068608,10494.432482
0.068713,10478.374202
0.068698,10480.665232
0.068589,10497.314336
0.068805,10464.322672
0.068628,10491.369969
0.068666,10485.541551
0.068936,10444.489759
0.068725,10476.520291
0.068565,10501.001036
0.068677,10483.830684
0.068693,10481.429132
0.068618,10492.864544
0.068642,10489.219986
0.068672,10484.595045
0.068658,10486.779548
0.068633,10490.604619
0.068519,10508.016563
0.068566,10500.818465
0.068661,10486.306162
0.068574,10499.613657
0.068585,10497.898195
0.068499,10511.125389
0.068561,10501.585306
0.068623,10492.098976
0.068645,10488.746379
0.068729,10475.938807
0.068769,10469.837123
0.068605,10494.870130
0.068634,10490.422410
0.068666,10485.541551
0.068618,10492.901002
0.068654,10487.362236
0.068573,10499.759680
0.068685,10482.629770
0.068661,10486.306162
0.068622,10492.244790
0.068902,10449.621725
0.068674,10484.303847
0.068622,10492.281244
0.068617,10493.010379
0.068526,10506.956325
0.068664,10485.869228
0.068648,10488.309242
0.068662,10486.124102
0.068568,10500.526365
0.068745,10473.504545
0.068676,10484.012665
0.068752,10472.414943
0.068567,10500.708926
0.068490,10512.479218
0.068565,10501.001036
0.068712,10478.519634
0.068791,10466.498735
0.068690,10481.865696
0.068565,10500.964522
0.068705,10479.610506
0.068638,10489.839382
0.068764,10470.563141
0.068715,10478.083349
0.068665,10485.687183
0.068619,10492.718713
0.068688,10482.156759
0.068666,10485.541551
0.068577,10499.139111
0.068554,10502.680986
0.068881,10452.804630
0.068671,10484.777052
0.068564,10501.147097
0.068634,10490.422410
0.068665,10485.723591
0.068642,10489.183553
0.068595,10496.402186
0.068633,10490.568177
0.068549,10503.448098
0.068616,10493.192678
0.068583,10498.226644
0.068679,10483.539528
0.068582,10498.372628
0.068620,10492.572886
0.068731,10475.611751
0.068764,10470.599445
0.068732,10475.466399
0.068707,10479.283221
0.068684,10482.775321
0.068630,10491.041948
0.068671,10484.777052
0.068574,10499.613657
0.068765,10470.454232
0.068635,10490.240207
0.068540,10504.836491
0.068824,10461.458903
0.068591,10496.985943
0.068735,10475.030368
0.068716,10477.901574
0.068645,10488.746379
0.068842,10458.705363
0.068648,10488.309242
0.068643,10489.037824
0.068630,10491.041948
0.068643,10489.037824
0.068668,10485.250300
0.069776,10318.725629
0.068600,10495.599625
