IterTime,Bandwidth
0.053478,13463.479668
0.053516,13453.942672
0.053461,13467.742695
0.053916,13354.111966
0.053536,13448.909711
0.053459,13468.223205
0.053448,13471.046896
0.053476,13464.019902
0.053410,13480.608165
0.053473,13464.740282
0.053511,13455.141551
0.053477,13463.779793
0.053472,13465.040463
0.053507,13456.160766
0.053495,13459.219339
0.053469,13465.700909
0.053482,13462.519359
0.053507,13456.160766
0.053505,13456.700414
0.053458,13468.523542
0.053470,13465.460739
0.053479,13463.239578
0.053562,13442.384456
0.053496,13458.919418
0.053473,13464.740282
0.053488,13460.959148
0.053443,13472.308928
0.053448,13471.046896
0.053447,13471.287265
0.053448,13471.046896
0.053457,13468.763820
0.053419,13478.321848
0.053514,13454.422198
0.053505,13456.700414
0.053549,13445.616360
0.053441,13472.789764
0.053448,13471.046896
0.053474,13464.500147
0.053442,13472.549342
0.053494,13459.459286
0.053550,13445.376906
0.053544,13446.873631
0.053466,13466.481519
0.053450,13470.566184
0.053441,13472.789764
0.053457,13468.763820
0.053473,13464.740282
0.053489,13460.719147
0.053464,13466.961939
0.053442,13472.549342
0.053478,13463.479668
0.053496,13458.979401
0.053488,13460.959148
0.053534,13449.388878
0.053457,13468.763820
0.053482,13462.459344
0.053472,13464.980426
0.053509,13455.681116
0.053453,13469.785101
0.053540,13447.891594
0.053533,13449.628475
0.053504,13456.940271
0.053470,13465.520781
0.053438,13473.571196
0.053479,13463.179557
0.053458,13468.523542
0.053432,13475.074205
0.053508,13455.920937
0.053474,13464.500147
0.053443,13472.308928
0.053517,13453.642985
0.053488,13460.959148
0.053461,13467.802757
0.053441,13472.789764
0.053524,13451.905067
0.053520,13452.923792
0.053466,13466.481519
0.053451,13470.265757
0.053515,13454.182431
0.053612,13429.830698
0.053476,13464.019902
0.053436,13474.052122
0.053485,13461.739208
0.053482,13462.459344
0.053452,13470.025424
0.053486,13461.499180
0.053454,13469.544786
0.053459,13468.223205
0.053481,13462.759423
0.061712,11667.093753
0.072104,9985.579547
0.055841,12893.759041
0.053502,13457.479980
0.053483,13462.219290
0.053459,13468.223205
0.053486,13461.499180
0.053530,13450.407222
0.053570,13440.350351
0.053493,13459.699241
0.053452,13470.025424
0.053516,13453.942672
0.053472,13465.040463
0.053486,13461.439174
0.053504,13456.940271
0.053505,13456.700414
0.053526,13451.365805
0.053504,13456.940271
0.053464,13467.021994
0.053541,13447.652059
0.053522,13452.384448
0.053478,13463.479668
0.053533,13449.688375
0.053518,13453.403246
0.053490,13460.479156
0.053526,13451.365805
0.053491,13460.239172
0.053572,13439.812014
0.053511,13455.201501
0.053513,13454.661974
0.053485,13461.739208
0.053485,13461.679200
0.053513,13454.721919
0.053440,13473.030195
0.053484,13461.979245
0.053500,13457.959758
0.053475,13464.199990
0.053485,13461.739208
0.053518,13453.403246
0.053486,13461.499180
0.053482,13462.459344
0.053537,13448.610249
0.053502,13457.479980
0.053495,13459.159354
0.053544,13446.933507
0.053455,13469.244404
0.053530,13450.407222
0.053457,13468.763820
0.053488,13460.959148
0.053549,13445.616360
0.053486,13461.499180
0.053523,13452.144753
0.053531,13450.167598
0.053534,13449.388878
0.053517,13453.642985
0.053542,13447.412533
0.053496,13458.919418
0.053538,13448.430578
0.053477,13463.719767
0.053476,13463.959874
0.053551,13445.137461
0.053458,13468.523542
0.053500,13457.959758
0.053502,13457.479980
0.053486,13461.439174
0.053595,13434.132202
0.053459,13468.223205
0.053476,13464.019902
0.053503,13457.180136
0.053436,13474.052122
0.053501,13457.659893
0.053504,13456.940271
0.053487,13461.259160
0.053523,13452.144753
0.053452,13470.025424
0.053541,13447.652059
0.053491,13460.179178
0.053465,13466.781777
0.053490,13460.419159
0.053520,13452.923792
0.053464,13467.021994
0.053461,13467.742695
0.053502,13457.479980
0.053431,13475.314717
0.053520,13452.923792
0.053538,13448.370689
0.053774,13389.340841
0.053515,13454.182431
0.053479,13463.239578
0.053519,13453.163515
0.053483,13462.219290
0.053482,13462.459344
0.053510,13455.441304
0.053579,13438.137465
0.053590,13435.327553
0.053529,13450.646855
0.053496,13458.919418
0.053514,13454.422198
0.053521,13452.684079
0.053486,13461.499180
0.053524,13451.905067
0.053494,13459.459286
0.053550,13445.376906
0.053438,13473.571196
0.053519,13453.163515
0.053507,13456.220725
