IterTime,Bandwidth
0.014240,50561.703752
0.014131,50951.558630
0.014149,50887.166231
0.014146,50897.458076
0.014171,50808.400155
0.014135,50936.948741
0.014256,50505.048667
0.014132,50948.120255
0.014152,50876.878548
0.014121,50987.689606
0.014170,50811.819696
0.014175,50793.872237
0.014169,50815.239698
0.014116,51005.774317
0.014167,50822.081082
0.014149,50887.166231
0.014755,48796.982888
0.014156,50861.454821
0.014109,51031.631884
0.014182,50768.254993
0.014115,51009.220479
0.014131,50952.418296
0.014225,50615.940868
0.014141,50915.478824
0.014136,50933.512337
0.014158,50854.602832
0.014203,50693.259921
0.014124,50977.361242
0.014147,50894.026998
0.014125,50973.919384
0.014160,50846.896552
0.014111,51023.871862
0.014152,50876.878548
0.014141,50915.478824
0.014158,50854.602832
0.014140,50918.912794
0.014147,50894.884724
0.014121,50987.689606
0.014213,50657.544872
0.014171,50808.400155
0.014154,50868.308656
0.014145,50901.747573
0.014140,50918.912794
0.014139,50923.205909
0.014114,51013.528835
0.014151,50879.450079
0.014143,50908.612272
0.014174,50797.289823
0.014123,50980.803565
0.014134,50941.244897
0.014131,50952.418296
0.014114,51012.667106
0.014168,50818.660160
0.014232,50590.502739
0.014156,50861.454821
0.014161,50844.328310
0.014145,50900.889616
0.014126,50970.477991
0.014220,50632.913837
0.014130,50954.997469
0.014116,51005.774317
0.014142,50912.045317
0.014121,50987.689606
0.014142,50912.903650
0.014141,50916.337273
0.014127,50966.176902
0.014170,50811.819696
0.014150,50882.879191
0.014143,50908.612272
0.014222,50625.274593
0.014116,51005.774317
0.014122,50984.246353
0.014131,50952.418296
0.014142,50912.045317
0.014145,50900.889616
0.014139,50923.205909
0.014115,51009.220479
0.014134,50941.244897
0.014156,50861.454821
0.014129,50959.296671
0.014126,50969.617715
0.014159,50851.177530
0.014139,50923.205909
0.014132,50948.120255
0.014171,50808.400155
0.014228,50604.066558
0.014143,50908.612272
0.014138,50926.640921
0.014147,50894.026998
0.014116,51005.774317
0.014136,50933.512337
0.014116,51006.635814
0.014153,50872.593241
0.014111,51023.871862
0.014113,51016.976045
0.014125,50973.919384
0.014115,51009.220479
0.014139,50923.205909
0.014151,50879.450079
0.014167,50822.081082
0.014133,50944.682344
0.014237,50572.711257
0.014145,50900.889616
0.014149,50887.166231
0.014138,50926.640921
0.014147,50894.884724
0.014149,50886.308766
0.014380,50069.617004
0.014163,50836.625143
0.014149,50887.166231
0.014150,50882.879191
0.014151,50880.307314
0.014155,50864.881508
0.014126,50970.477991
0.014155,50865.738252
0.014112,51020.423720
0.014131,50951.558630
0.014190,50740.105852
0.014125,50973.058992
0.014143,50908.612272
0.014693,49002.853944
0.014136,50933.512337
0.014126,50970.477991
0.014143,50908.612272
0.014120,50991.994327
0.014161,50843.472288
0.014135,50937.807914
0.014166,50825.502466
0.014147,50894.026998
0.014117,51002.328621
0.014130,50955.857251
0.014242,50554.932284
0.014130,50954.997469
0.014206,50683.050483
0.014128,50962.736554
0.014140,50919.771359
0.014142,50912.045317
0.014156,50861.454821
0.014127,50966.176902
0.014118,50998.883391
0.014139,50923.205909
0.014176,50790.455111
0.014142,50912.045317
0.014125,50973.058992
0.014150,50883.736541
0.014133,50944.682344
0.014124,50976.500734
0.014141,50915.478824
0.014184,50761.428091
0.014130,50955.857251
0.014125,50973.058992
0.014130,50955.857251
0.014121,50987.689606
0.014139,50923.205909
0.014120,50991.133324
0.014133,50944.682344
0.014154,50869.165516
0.014119,50994.577508
0.014111,51023.871862
0.014147,50894.026998
0.014133,50944.682344
0.014121,50987.689606
0.014122,50984.246353
0.014107,51038.531664
0.014208,50675.396104
0.014134,50941.244897
0.014118,50998.022156
0.014152,50876.878548
0.014152,50876.021429
